訓練日期,20140110 - 20140414
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11030026.660000000149012
真實報酬,1030026.660000000149012

夏普值報酬,0.094302666000000
夏普值風險,0.033510682538989
夏普值,2.814107587641109

預期報酬,18904.583578497840790
風險,101526.236990881225211
趨勢值,0.186203922639187
找到最佳解世代,2978
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](3),MCD[15](8),MSFT[18](2),
Stock#,CAT[3](1),DD[7](3),MCD[15](8),MSFT[18](2),
張數,27867,41206,26188,70363,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.430000000167638,31.979999999981374,93.520000000018626,2.609999999869615,
20140110,2522293.600000000093132,2506180.899999999906868,2508903.919999999925494,2535885.129999999888241,10073263.550000000745058
20140113,2505016.060000000055879,2458381.939999999944121,2483501.560000000055879,2461300.349999999627471,9908199.910000000149012
20140114,2523686.950000000186265,2502884.419999999925494,2493714.879999999888241,2517590.750000000000000,10037877.000000000000000
20140115,2575240.899999999906868,2526371.839999999850988,2500000.000000000000000,2586546.489999999757856,10188159.230000000447035
20140116,2564094.100000000093132,2528432.140000000130385,2515712.800000000279397,2595693.679999999701977,10203932.720000000670552
20140117,2548209.910000000149012,2527608.020000000018626,2486120.360000000335276,2559808.550000000279397,10121746.839999999850988
20140121,2524801.629999999888241,2695316.439999999944121,2490048.560000000055879,2545032.319999999832362,10255198.950000001117587
20140122,2498049.310000000055879,2680482.279999999795109,2484810.959999999962747,2528145.199999999720603,10191487.750000000000000
20140123,2465723.590000000316650,2624442.120000000111759,2496333.679999999701977,2537292.390000000130385,10123791.780000001192093
20140124,2401350.820000000298023,2547386.899999999906868,2473026.360000000335276,2590064.640000000130385,10011828.720000000670552
20140127,2544029.860000000335276,2529256.260000000242144,2463598.679999999701977,2535181.500000000000000,10072066.300000000745058
20140128,2576912.919999999925494,2526783.899999999906868,2466479.360000000335276,2552068.620000000111759,10122244.800000000745058
20140129,2525358.970000000204891,2624854.180000000167638,2439505.720000000204891,2579510.189999999478459,10169229.060000000521541
20140130,2597255.830000000074506,2659055.160000000149012,2456527.919999999925494,2593582.790000000037253,10306421.699999999254942
20140131,2617041.399999999906868,2670592.839999999850988,2466217.479999999981374,2662538.530000000260770,10416390.250000000000000
20140203,2575519.570000000298023,2622381.819999999832362,2436101.279999999795109,2566844.849999999627471,10200847.519999999552965
20140204,2577748.930000000167638,2638452.160000000149012,2437934.439999999944121,2557697.660000000149012,10211833.189999999478459
20140205,2562700.750000000000000,2631859.199999999720603,2450766.560000000055879,2520405.270000000018626,10165731.779999999329448
20140206,2614812.040000000037253,2675125.500000000000000,2486382.239999999757856,2545735.949999999720603,10322055.729999998584390
20140207,2643793.720000000204891,2675949.620000000111759,2512046.479999999981374,2572473.890000000130385,10404263.710000000894070
20140210,2633482.930000000167638,2689959.660000000149012,2484287.200000000186265,2589361.009999999776483,10397090.800000000745058
20140211,2646301.750000000000000,2748472.180000000167638,2496857.439999999944121,2615395.319999999832362,10507026.689999999478459
20140212,2680020.820000000298023,2721276.220000000204891,2485072.839999999850988,2636504.219999999739230,10522874.100000001490116
20140213,2678348.800000000279397,2717155.620000000111759,2500000.000000000000000,2646355.040000000037253,10541859.460000000894070
20140214,2690610.280000000260770,2741055.099999999627471,2508380.160000000149012,2647058.669999999459833,10587104.209999999031425
20140218,2690888.950000000186265,2745175.700000000186265,2514665.279999999795109,2632986.069999999832362,10583716.000000000000000
20140219,2681135.500000000000000,2724984.759999999776483,2502356.919999999925494,2639318.739999999757856,10547795.919999999925494
20140220,2700921.070000000298023,2766190.759999999776483,2507594.520000000018626,2656205.859999999869615,10630912.209999999031425
20140221,2717083.930000000167638,2755889.259999999776483,2525926.120000000111759,2672389.349999999627471,10671288.660000000149012
20140224,2712067.870000000111759,2755065.140000000130385,2527235.520000000018626,2651984.079999999608845,10646352.609999999403954
20140225,2686708.899999999906868,2771135.479999999981374,2530378.080000000074506,2641429.629999999888241,10629652.089999999850988
20140226,2708723.830000000074506,2806572.640000000130385,2511260.839999999850988,2636504.219999999739230,10663061.530000001192093
20140227,2694790.330000000074506,2846542.459999999962747,2490048.560000000055879,2663945.790000000037253,10695327.140000000596046
20140228,2702314.419999999925494,2858492.200000000186265,2491881.720000000204891,2695609.140000000130385,10748297.480000000447035
20140303,2683922.200000000186265,2842421.860000000335276,2470145.679999999701977,2658316.750000000000000,10654806.490000000223517
20140304,2703707.770000000018626,2902582.620000000111759,2487429.760000000242144,2702645.439999999478459,10796365.589999999850988
20140305,2685594.220000000204891,2928954.459999999962747,2488477.279999999795109,2681536.540000000037253,10784562.500000000000000
20140306,2719870.629999999888241,2921125.319999999832362,2503142.560000000055879,2684351.059999999590218,10828489.570000000298023
20140307,2704543.780000000260770,2905467.040000000037253,2501047.520000000018626,2666760.309999999590218,10777818.649999998509884
20140310,2696183.680000000167638,2924009.739999999757856,2493191.120000000111759,2661131.270000000018626,10774515.810000000521541
20140311,2698691.710000000428408,2890632.880000000353903,2586944.160000000149012,2675203.870000000111759,10851472.620000001043081
20140312,2698134.370000000111759,2877034.899999999906868,2585111.000000000000000,2692794.620000000111759,10853074.890000000596046
20140313,2664415.300000000279397,2860140.439999999944121,2550019.080000000074506,2666056.679999999701977,10740631.500000000000000
20140314,2658284.560000000055879,2854783.660000000149012,2555518.560000000055879,2652687.709999999962747,10721274.490000002086163
20140317,2666087.320000000298023,2875386.660000000149012,2556042.319999999832362,2677314.759999999776483,10774831.060000000521541
20140318,2686708.899999999906868,2914532.360000000335276,2548447.800000000279397,2782859.259999999776483,10932548.320000000298023
20140319,2676398.110000000335276,2911235.880000000353903,2516760.319999999832362,2763157.620000000111759,10867551.929999999701977
20140320,2681135.500000000000000,2948321.279999999795109,2529854.319999999832362,2837742.399999999906868,10997053.500000000000000
20140321,2714018.560000000055879,2946260.979999999981374,2500261.879999999888241,2825780.689999999478459,10986322.109999999403954
20140324,2698970.379999999888241,2943376.560000000055879,2518855.360000000335276,2849704.109999999869615,11010906.410000000149012
20140325,2747458.960000000428408,2971808.700000000186265,2511784.600000000093132,2838446.030000000260770,11069498.289999999105930
20140326,2725444.030000000260770,2900522.319999999832362,2509951.439999999944121,2799746.379999999888241,10935664.169999998062849
20140327,2743557.580000000074506,2816050.020000000018626,2518331.600000000093132,2769490.290000000037253,10847429.489999998360872
20140328,2769752.560000000055879,2828411.819999999832362,2546614.639999999664724,2835631.509999999776483,10980410.529999999329448
20140331,2769195.220000000204891,2851487.180000000167638,2567303.160000000149012,2884181.979999999981374,11072167.540000000968575
20140401,2781456.700000000186265,2917004.720000000204891,2563898.720000000204891,2914438.069999999832362,11176798.210000000894070
20140402,2860041.640000000130385,2928130.339999999850988,2555780.439999999944121,2909512.660000000149012,11253465.080000000074506
20140403,2857812.280000000260770,2908351.459999999962747,2557613.600000000093132,2885589.239999999757856,11209366.580000000074506
20140404,2847222.820000000298023,2857256.020000000018626,2563113.080000000074506,2805375.419999999459833,11072967.339999999850988
20140407,2817683.800000000279397,2812753.540000000037253,2540591.400000000372529,2800450.009999999776483,10971478.750000000000000
20140408,2853353.560000000055879,2820994.739999999757856,2568612.560000000055879,2801857.270000000018626,11044818.129999998956919
20140409,2870073.760000000242144,2873738.419999999925494,2575683.319999999832362,2847593.219999999739230,11167088.719999998807907
20140410,2849730.850000000093132,2799155.560000000055879,2603966.360000000335276,2769490.290000000037253,11022343.060000000521541
20140411,2827158.580000000074506,2755065.140000000130385,2600300.040000000037253,2758935.839999999850988,10941459.600000001490116
20140414,2864221.690000000409782,2787205.819999999832362,2621774.200000000186265,2756824.949999999720603,11030026.660000000149012
