訓練日期,20151111 - 20160216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10878394.100000001490116
真實報酬,878394.100000001490116

夏普值報酬,0.079139410000000
夏普值風險,0.032536070541676
夏普值,2.432359184205405

預期報酬,13899.739634548672257
風險,155031.149305926752277
趨勢值,0.089657721669340
找到最佳解世代,1991
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WMT[28](1),
Stock#,MCD[15](2),WMT[28](1),
張數,44161,85207,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,91.580000000074506,53.240000000223517,
20151111,5027821.429999999701977,4906272.299999999813735,9934093.730000000447035
20151112,4950981.290000000037253,4852591.890000000596046,9803573.179999999701977
20151113,4856476.750000000000000,4807432.180000000633299,9663908.929999999701977
20151116,4904612.240000000223517,4930982.330000000074506,9835594.570000000298023
20151117,4899312.919999999925494,5105656.680000000633299,10004969.600000001490116
20151118,4969528.910000000149012,5191715.750000000000000,10161244.660000000149012
20151119,5003532.879999999888241,5172118.140000000596046,10175651.019999999552965
20151120,5030471.089999999850988,5118437.730000000447035,10148908.820000000298023
20151123,5055201.250000000000000,5134627.059999999590218,10189828.309999998658895
20151124,5046810.660000000149012,5105656.680000000633299,10152467.339999999850988
20151125,5052109.980000000447035,5132922.920000000856817,10185032.900000002235174
20151127,5044602.610000000335276,5103100.470000000670552,10147703.080000001937151
20151130,5041511.339999999850988,5013633.120000000111759,10055144.460000000894070
20151201,5054318.030000000260770,5026414.170000000856817,10080732.200000001117587
20151202,5022080.500000000000000,4971881.690000000409782,9993962.190000001341105
20151203,5007507.370000000111759,5030674.520000000484288,10038181.890000000596046
20151204,5131599.780000000260770,5083502.860000000335276,10215102.640000000596046
20151207,5141315.200000000186265,5155076.740000000223517,10296391.940000001341105
20151208,5146172.910000000149012,5079242.509999999776483,10225415.419999999925494
20151209,5148380.959999999962747,5038343.150000000372529,10186724.109999999403954
20151210,5175760.780000000260770,5074982.160000000149012,10250742.940000001341105
20151211,5126300.459999999962747,5057940.759999999776483,10184241.219999998807907
20151214,5134249.440000000409782,5145703.970000000670552,10279953.410000000149012
20151215,5163837.310000000521541,5081798.720000000670552,10245636.030000001192093
20151216,5204023.820000000298023,5138035.339999999850988,10342059.160000000149012
20151217,5189009.080000000074506,5025562.099999999627471,10214571.179999999701977
20151218,5151913.839999999850988,5014485.190000000409782,10166399.030000001192093
20151221,5197399.669999999925494,5074130.089999999850988,10271529.759999999776483
20151222,5198724.500000000000000,5158485.020000000484288,10357209.519999999552965
20151223,5246418.379999999888241,5205348.870000000111759,10451767.250000000000000
20151224,5236261.349999999627471,5183195.049999999813735,10419456.399999998509884
20151228,5244210.330000000074506,5176378.490000000223517,10420588.820000000298023
20151229,5302502.849999999627471,5249656.509999999776483,10552159.359999999403954
20151230,5274239.810000000521541,5255621.000000000000000,10529860.810000000521541
20151231,5217272.120000000111759,5223242.339999999850988,10440514.460000000894070
20160104,5192541.959999999962747,5236875.459999999962747,10429417.419999999925494
20160105,5264082.780000000260770,5361277.680000000633299,10625360.460000000894070
20160106,5228753.980000000447035,5414958.089999999850988,10643712.070000000298023
20160107,5107752.839999999850988,5541064.450000000186265,10648817.289999999105930
20160108,5099803.860000000335276,5414106.020000000484288,10513909.880000000819564
20160111,5153238.669999999925494,5472046.780000000260770,10625285.449999999254942
20160112,5186359.419999999925494,5420922.580000000074506,10607282.000000000000000
20160113,5083905.900000000372529,5276070.680000000633299,10359976.580000001937151
20160114,5150147.400000000372529,5373206.660000000149012,10523354.060000000521541
20160115,5086555.560000000521541,5276922.750000000000000,10363478.310000000521541
20160119,5189009.080000000074506,5330603.160000000149012,10519612.240000000223517
20160120,5113052.160000000149012,5184047.120000000111759,10297099.280000001192093
20160121,5204023.820000000298023,5272662.400000000372529,10476686.220000000670552
20160122,5228753.980000000447035,5341680.070000000298023,10570434.050000000745058
20160125,5264082.780000000260770,5406437.390000000596046,10670520.170000001788139
20160126,5318400.810000000521541,5453301.240000000223517,10771702.050000000745058
20160127,5337831.650000000372529,5449040.890000000596046,10786872.540000000968575
20160128,5404514.759999999776483,5472046.780000000260770,10876561.539999999105930
20160129,5466340.160000000149012,5654389.759999999776483,11120729.919999999925494
20160201,5502993.790000000037253,5751525.740000000223517,11254519.530000001192093
20160202,5473847.530000000260770,5696993.259999999776483,11170840.789999999105930
20160203,5364328.250000000000000,5646721.129999999888241,11011049.379999998956919
20160204,5328557.839999999850988,5659502.180000000633299,10988060.019999999552965
20160205,5096270.980000000447035,5708922.240000000223517,10805193.220000000670552
20160208,5124975.629999999888241,5700401.540000000968575,10825377.170000001788139
20160209,5167370.190000000409782,5607525.910000000149012,10774896.100000001490116
20160210,5190775.520000000484288,5605821.770000000484288,10796597.290000000968575
20160211,5155005.110000000335276,5565774.479999999515712,10720779.589999999850988
20160212,5207998.310000000521541,5639052.500000000931323,10847050.810000002384186
20160216,5263199.560000000521541,5615194.540000000968575,10878394.100000001490116
