訓練日期,20180108 - 20180411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10933492.810000000521541
真實報酬,933492.810000000521541

夏普值報酬,0.084649281000000
夏普值風險,0.036180425976978
夏普值,2.339643017300638

預期報酬,16102.859429028982049
風險,251600.931422515219310
趨勢值,0.064001589095818
找到最佳解世代,1938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](4),
Stock#,INTC[11](1),NKE[19](4),
張數,111756,78149,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.559999999590218,26.980000000447035,
20180108,5000000.000000000000000,5044544.930000000633299,10044544.929999999701977
20180109,4874833.279999999329448,5008596.390000000596046,9883429.669999999925494
20180110,4749666.559999999590218,5018755.760000000707805,9768422.320000000298023
20180111,4851364.519999999552965,5024226.190000001341105,9875590.710000000894070
20180112,4832366.000000000000000,5053922.810000000521541,9886288.810000000521541
20180116,4821190.399999999441206,4956236.560000000521541,9777426.960000000894070
20180117,4960885.399999999441206,4986714.670000000856817,9947600.070000000298023
20180118,4970943.439999999478459,5010159.370000000111759,9981102.809999998658895
20180119,5008940.479999999515712,5252421.269999999552965,10261361.750000000000000
20180122,5112873.559999999590218,5188339.090000000782311,10301212.650000000372529
20180123,5147517.919999999925494,5246950.840000000782311,10394468.760000001639128
20180124,5086052.119999999180436,5314158.980000000447035,10400211.099999999627471
20180125,5062583.359999999403954,5291495.769999999552965,10354079.129999998956919
20180126,5596777.039999999105930,5317284.940000001341105,10914061.980000000447035
20180129,5585601.439999999478459,5281336.400000000372529,10866937.839999999850988
20180130,5452611.799999999813735,5261799.150000000372529,10714410.949999999254942
20180131,5379970.399999999441206,5331351.760000000707805,10711322.160000000149012
20180201,5325209.959999999031425,5286806.830000001005828,10612016.789999999105930
20180202,5157575.959999999031425,5253202.760000000707805,10410778.719999998807907
20180205,4975413.679999999701977,5032041.090000000782311,10007454.769999999552965
20180206,5018998.519999999552965,5096904.760000000707805,10115903.280000001192093
20180207,5051407.759999999776483,5128945.849999999627471,10180353.609999999403954
20180208,4777605.559999999590218,4883557.990000000223517,9661163.550000000745058
20180209,4911712.759999999776483,5118004.990000000223517,10029717.750000000000000
20180212,5010058.039999999105930,5156298.000000000931323,10166356.039999999105930
20180213,4968708.319999999366701,5147701.610000001266599,10116409.929999999701977
20180214,5071523.839999999850988,5311033.019999999552965,10382556.859999999403954
20180215,5131872.080000000074506,5336822.190000001341105,10468694.270000001415610
20180216,5091639.919999999925494,5337603.680000000633299,10429243.600000001490116
20180220,5176574.479999999515712,5274302.990000000223517,10450877.469999998807907
20180221,5134107.199999999254942,5239917.430000000633299,10374024.629999998956919
20180222,5118461.359999999403954,5246169.349999999627471,10364630.709999999031425
20180223,5334150.439999999478459,5326662.820000000298023,10660813.259999999776483
20180226,5488373.719999999739230,5443104.830000001005828,10931478.550000000745058
20180227,5577778.519999999552965,5316503.450000000186265,10894281.969999998807907
20180228,5508489.799999999813735,5238354.450000000186265,10746844.250000000000000
20180301,5346443.599999999627471,5182868.660000000149012,10529312.259999999776483
20180302,5473845.439999999478459,5149264.590000000782311,10623110.030000001192093
20180305,5559897.559999999590218,5083619.430000000633299,10643516.990000000223517
20180306,5667183.319999999366701,5098467.740000000223517,10765651.059999998658895
20180307,5735354.479999999515712,5014848.310000000521541,10750202.789999999105930
20180308,5670536.000000000000000,5088308.370000000111759,10758844.370000001043081
20180309,5832582.199999999254942,5181305.680000000633299,11013887.879999998956919
20180312,5757705.679999999701977,5221943.160000000149012,10979648.839999999850988
20180313,5786762.239999999292195,5171146.310000000521541,10957908.550000000745058
20180314,5795702.719999999739230,5173490.780000000260770,10969193.500000000000000
20180315,5686181.839999999850988,5188339.090000000782311,10874520.929999999701977
20180316,5718591.080000000074506,5150827.570000000298023,10869418.650000000372529
20180319,5680594.039999999105930,5135197.769999999552965,10815791.809999998658895
20180320,5761058.359999999403954,5220380.180000000633299,10981438.539999999105930
20180321,5762175.919999999925494,5185213.129999999888241,10947389.050000000745058
20180322,5680594.039999999105930,5034385.560000000521541,10714979.599999999627471
20180323,5516312.719999999739230,5050796.849999999627471,10567109.570000000298023
20180326,5864991.439999999478459,5150046.080000001005828,11015037.519999999552965
20180327,5720826.199999999254942,5171146.310000000521541,10891972.509999999776483
20180328,5543134.160000000149012,5114097.540000000037253,10657231.699999999254942
20180329,5820289.039999999105930,5192246.540000000037253,11012535.579999998211861
20180402,5467140.080000000074506,5010940.860000001266599,10478080.940000001341105
20180403,5559897.559999999590218,5212565.280000000260770,10772462.839999999850988
20180404,5586719.000000000000000,5346981.560000000521541,10933700.560000000521541
20180405,5630303.839999999850988,5438415.890000000596046,11068719.730000000447035
20180406,5452611.799999999813735,5278991.930000000633299,10731603.730000000447035
20180409,5537546.359999999403954,5250076.800000000745058,10787623.160000000149012
20180410,5729766.679999999701977,5236009.980000000447035,10965776.660000000149012
20180411,5710768.160000000149012,5222724.650000000372529,10933492.810000000521541
