訓練日期,20110909 - 20111209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11779200.150000000372529
真實報酬,1779200.150000000372529

夏普值報酬,0.169220015000000
夏普值風險,0.048421974691041
夏普值,3.494694631512168

預期報酬,26821.849669140014157
風險,193447.139592435269151
趨勢值,0.138652087209197
找到最佳解世代,2596
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),IBM[10](4),WMT[28](3),
Stock#,HD[9](1),IBM[10](4),WMT[28](3),
張數,102690,20171,63844,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,15.600000000093132,75.250000000000000,37.759999999776483,
20110909,3272745.900000000372529,3255069.520000000018626,3279065.599999999627471,9806882.019999999552965
20110912,3322037.100000000093132,3276249.069999999832362,3308433.839999999850988,9906721.009999999776483
20110913,3353870.999999999534339,3296621.780000000260770,3293749.720000000204891,9944243.500000000000000
20110914,3444238.200000000186265,3373473.290000000037253,3332694.560000000055879,10150407.050000000745058
20110915,3520228.800000000279397,3430960.640000000130385,3352486.199999999720603,10303676.640000000596046
20110916,3554116.500000000000000,3489456.540000000037253,3361424.359999999869615,10404998.400000000372529
20110919,3527417.100000000093132,3492280.479999999981374,3348655.560000000055879,10368354.140000000596046
20110920,3574654.500000000465661,3524352.370000000111759,3338440.519999999552965,10437448.390000000596046
20110921,3475045.200000000651926,3490061.670000000391155,3276511.839999999850988,10241619.710000000894070
20110922,3393920.099999999627471,3401309.270000000018626,3210114.080000000074506,10005344.449999999254942
20110923,3462722.399999999906868,3415832.390000000130385,3243312.959999999497086,10121868.750000000000000
20110926,3491475.600000000093132,3520116.459999999962747,3309072.279999999795109,10320665.339999999850988
20110927,3479152.800000000279397,3584663.660000000149012,3321841.080000000074506,10385658.540000000968575
20110928,3450399.600000000093132,3581436.300000000279397,3275873.399999999906868,10307710.300000000745058
20110929,3469910.700000000186265,3614113.319999999832362,3315456.679999999701977,10399481.699999999254942
20110930,3375435.899999999906868,3527378.020000000018626,3313541.359999999869615,10216356.279999999329448
20111003,3243992.700000000186265,3495507.839999999850988,3317372.000000000000000,10056873.539999999105930
20111004,3334359.899999999906868,3524755.790000000037253,3376108.479999999981374,10235225.169999999925494
20111005,3371328.299999999813735,3567316.600000000093132,3361424.359999999869615,10300070.259999999776483
20111006,3427807.800000000279397,3664944.239999999757856,3367808.759999999776483,10460561.800000000745058
20111007,3483260.400000000372529,3679063.939999999944121,3428460.560000000055879,10590785.900000000372529
20111010,3559250.999999999534339,3764387.270000000018626,3499327.399999999906868,10822966.669999999925494
20111011,3564385.500000000000000,3731710.250000000000000,3493581.439999999478459,10789678.189999999478459
20111012,3565412.399999999906868,3754301.770000000018626,3524226.560000000055879,10843941.730000000447035
20111013,3533578.499999999534339,3768421.469999999739230,3512734.640000000130385,10814735.609999999403954
20111014,3599300.099999999627471,3843255.879999999888241,3540826.000000000000000,10983382.980000000447035
20111017,3558224.100000000093132,3763782.140000000130385,3497412.080000000074506,10819419.320000000298023
20111018,3691721.100000000558794,3608667.149999999906868,3568278.919999999925494,10868668.169999999925494
20111019,3635241.600000000093132,3578208.939999999944121,3591262.759999999776483,10804714.300000000745058
20111020,3669129.299999999813735,3575385.000000000000000,3598924.039999999571592,10843439.339999999850988
20111021,3785169.000000000000000,3663733.979999999981374,3634038.239999999757856,11082942.220000000670552
20111024,3768738.600000000558794,3676240.000000000000000,3625100.080000000074506,11070079.679999999701977
20111025,3700963.200000000186265,3638116.810000000055879,3620631.000000000000000,10959712.009999999776483
20111026,3753335.099999999627471,3670592.120000000111759,3662768.039999999571592,11086696.259999999776483
20111027,3837540.899999999906868,3758739.390000000130385,3690859.399999999906868,11287140.689999999478459
20111028,3709178.399999999906868,3781129.199999999720603,3648722.359999999869615,11139030.959999999031425
20111031,3676317.599999999627471,3724246.979999999981374,3621269.439999999478459,11021835.019999999552965
20111101,3649618.200000000186265,3658086.100000000093132,3589985.879999999422580,10897691.179999999701977
20111102,3695828.700000000186265,3709925.569999999832362,3630207.599999999627471,11035962.869999999180436
20111103,3743066.100000000558794,3778103.550000000279397,3665960.239999999757856,11187130.890000000596046
20111104,3736904.700000000186265,3759546.229999999981374,3671067.759999999776483,11167519.689999999478459
20111107,3834460.200000000651926,3778506.969999999739230,3699159.119999999646097,11312127.289999999105930
20111108,3896074.199999999720603,3777095.000000000000000,3787263.839999999850988,11460434.039999999105930
