訓練日期,20130430 - 20130731
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11924429.250000000000000
真實報酬,1924429.250000000000000

夏普值報酬,0.183742925000000
夏普值風險,0.052812255379612
夏普值,3.479172091387984

預期報酬,31992.086247904764605
風險,185294.949909000482876
趨勢值,0.172654928068014
找到最佳解世代,2024
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CSCO[4](2),UNH[23](3),
20130624,3549145.449999999254942,3822686.479999999981374,3591066.440000000409782,10962899.370000001043081
20130625,3578887.669999999459833,3814742.430000000167638,3539964.119999999646097,10933595.219999998807907
20130626,3654331.349999999627471,3875117.210000000428408,3598287.419999999925494,11127736.980000000447035
20130627,3741381.750000000000000,3913248.649999999906868,3671052.680000000167638,11325684.080000000074506
20130628,3715629.339999999385327,3867173.160000000149012,3637169.620000000111759,11219973.120000001043081
20130701,3744646.139999999664724,3867173.160000000149012,3645501.519999999552965,11257321.820000000298023
20130702,3680446.469999999739230,3863995.540000000037253,3625504.959999999962747,11169947.969999998807907
20130703,3731951.289999999571592,3906893.410000000149012,3640502.380000000353903,11279348.080000000074506
20130705,3779466.299999999813735,3903715.790000000037253,3675496.360000000335276,11358679.449999999254942
20130708,3785632.369999999646097,3913248.649999999906868,3752705.300000000279397,11451587.320000000298023
20130709,3796876.379999999888241,3997455.580000000074506,3775479.160000000149012,11569812.120000001043081
20130710,3826618.599999999627471,4037175.830000000074506,3759926.279999999795109,11623721.709999999031425
20130711,3876672.579999999608845,4110261.090000000316650,3797142.100000000093132,11784076.769999999552965
20130712,3694954.869999999646097,4121382.760000000242144,3777145.540000000037253,11593484.169999999925494
20130715,3832421.959999999497086,4119793.950000000186265,3756038.060000000521541,11708254.970000000670552
20130716,3780554.429999999701977,4084840.130000000353903,3716600.399999999906868,11581995.960000000894070
20130717,3800866.189999999944121,4086428.939999999944121,3678829.120000000111759,11566125.250000000000000
20130718,3903875.829999999608845,4108672.279999999795109,3918787.839999999850988,11931336.949999999254942
20130719,3879574.259999999310821,4102317.040000000037253,3968779.240000000223517,11950671.539999999105930
20130722,3875947.159999999683350,4086428.939999999944121,4009327.820000000298023,11971704.919999999925494
20130723,3909679.189999999944121,4061007.979999999981374,4037656.279999999795109,12008344.449999999254942
20130724,3879211.549999999813735,4065774.410000000149012,4028768.919999999925494,11973755.879999998956919
20130725,3870143.799999999813735,4051475.120000000111759,4033768.060000000521541,11955387.980000000447035
20130726,3830245.699999999254942,4051475.120000000111759,4010994.199999999720603,11892716.019999999552965
20130729,3801591.609999999869615,4024465.349999999627471,4043210.880000000353903,11869268.839999999850988
20130730,3834960.929999999701977,4078484.890000000596046,4014326.959999999962747,11927773.780000001192093
20130731,3812110.199999999254942,4065774.410000000149012,4046543.639999999664724,11924429.250000000000000
