訓練日期,20161215 - 20170321
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10915014.169999999925494
真實報酬,915014.169999999925494

夏普值報酬,0.082801417000000
夏普值風險,0.030873654140227
夏普值,2.681944178810836

預期報酬,16351.945795227689814
風險,70180.328211981628556
趨勢值,0.232998992906334
找到最佳解世代,2834
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,4
AAPL[0](2),AXP[1](4),DIS[6](3),KO[14](20),
Stock#,AAPL[0](2),AXP[1](4),DIS[6](3),KO[14](20),
張數,21703,33751,24026,60664,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,31.430000000167638,63.430000000167638,94.700000000186265,36.560000000055879,
20161215,2513672.890000000130385,2529363.370000000111759,2508168.840000000316650,2520625.759999999776483,10071830.859999999403954
20161216,2516928.340000000316650,2531388.430000000167638,2496636.360000000335276,2532151.920000000391155,10077105.050000000745058
20161219,2531469.350000000093132,2516200.479999999981374,2530032.500000000000000,2527905.439999999944121,10105607.769999999552965
20161220,2538197.280000000260770,2533413.490000000223517,2533876.660000000149012,2527298.799999999813735,10132786.230000000447035
20161221,2540584.610000000335276,2542188.750000000000000,2536279.260000000242144,2521839.040000000037253,10140891.660000000149012
20161222,2523873.300000000279397,2517213.010000000242144,2532915.620000000111759,2520625.759999999776483,10094627.690000001341105
20161223,2528864.990000000223517,2530375.899999999906868,2526428.600000000093132,2523658.959999999962747,10109328.449999999254942
20161227,2544925.210000000428408,2530713.410000000149012,2526909.120000000111759,2524265.600000000093132,10126813.340000001713634
20161228,2534073.710000000428408,2510125.300000000279397,2506006.500000000000000,2510919.520000000018626,10061125.030000001192093
20161229,2533422.620000000111759,2494937.350000000093132,2512253.260000000242144,2523658.959999999962747,10064272.190000001341105
20161230,2513672.890000000130385,2500337.510000000242144,2504084.420000000391155,2515166.000000000000000,10033260.820000000298023
20170103,2520834.880000000353903,2543201.279999999795109,2548772.780000000260770,2535791.759999999776483,10148600.699999999254942
20170104,2518013.490000000223517,2573914.690000000409782,2581448.140000000130385,2526692.160000000149012,10200068.480000000447035
20170105,2530818.260000000242144,2542188.750000000000000,2580006.580000000074506,2532758.560000000055879,10185772.150000000372529
20170106,2559032.160000000149012,2547251.399999999906868,2618448.180000000167638,2532151.920000000391155,10256883.660000000149012
20170109,2582471.399999999906868,2560414.290000000037253,2603552.060000000055879,2506673.040000000037253,10253110.789999999105930
20170110,2585075.760000000242144,2587077.580000000540167,2604032.580000000074506,2489687.120000000111759,10265873.040000000968575
20170111,2598965.680000000167638,2595852.839999999850988,2629500.140000000130385,2490293.759999999776483,10314612.419999999925494
20170112,2588114.180000000167638,2594840.310000000055879,2583610.479999999981374,2484227.360000000335276,10250792.330000001937151
20170113,2583556.550000000279397,2586065.050000000279397,2596344.260000000242144,2479980.880000000353903,10245946.740000002086163
20170117,2604391.430000000167638,2585390.029999999795109,2594181.920000000391155,2500606.640000000130385,10284570.020000001415610
20170118,2604174.399999999906868,2615428.419999999925494,2598746.860000000335276,2504853.120000000111759,10323202.800000000745058
20170119,2599616.770000000018626,2588427.620000000111759,2577603.979999999981374,2495753.520000000018626,10261401.890000000596046
20170120,2604391.430000000167638,2571889.630000000353903,2586733.860000000335276,2506673.040000000037253,10269687.960000000894070
20170123,2606127.669999999925494,2564126.899999999906868,2573759.820000000298023,2513346.080000000074506,10257360.470000000670552
20170124,2603740.340000000316650,2613403.360000000335276,2592500.100000000093132,2541858.160000000149012,10351501.960000000894070
20170125,2645193.070000000298023,2595177.820000000298023,2595863.740000000223517,2555204.239999999757856,10391438.870000001043081
20170126,2646495.250000000000000,2596527.860000000335276,2596344.260000000242144,2536398.400000000372529,10375765.770000001415610
20170127,2646712.280000000260770,2593827.779999999795109,2626136.500000000000000,2514559.360000000335276,10381235.920000001788139
