訓練日期,20140213 - 20140516
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10936839.140000000596046
真實報酬,936839.140000000596046

夏普值報酬,0.084983914000000
夏普值風險,0.027639781127868
夏普值,3.074695621027026

預期報酬,15415.501383547742080
風險,54376.840613618864154
趨勢值,0.283493877349080
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](7),CVX[5](1),JNJ[12](4),KO[14](16),MCD[15](5),TRV[22](8),UNH[23](15),
Stock#,CAT[3](7),CVX[5](1),JNJ[12](4),KO[14](16),MCD[15](5),TRV[22](8),UNH[23](15),
張數,14854,12751,15457,37096,15055,17366,20338,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,61.820000000065193,76.469999999972060,35.060000000055879,4.040000000037253,2.050000000046566,43.839999999850988,29.880000000121072,
20140213,1427679.760000000009313,1434691.479999999981374,1430734.979999999981374,1433764.439999999944121,1437152.349999999860302,1439337.919999999692664,1448298.860000000102445,10051662.789999999105930
20140214,1434215.520000000018626,1447059.949999999953434,1433826.380000000121072,1444151.320000000065193,1441969.949999999953434,1459135.159999999683350,1495279.640000000130385,10155640.919999999925494
20140218,1434364.060000000055879,1437241.679999999934807,1424706.750000000000000,1389991.159999999916181,1445583.149999999906868,1465213.260000000009313,1501584.420000000158325,10098687.480000000447035
20140219,1429165.159999999916181,1448590.069999999832362,1416514.540000000037253,1376265.640000000130385,1438507.300000000046566,1458961.500000000000000,1495889.780000000027940,10063896.990000000223517
20140220,1439711.500000000000000,1461341.069999999832362,1427952.719999999972060,1383684.839999999850988,1441518.300000000046566,1455488.299999999813735,1494466.120000000111759,10104165.850000001490116
20140221,1448326.820000000065193,1436859.150000000139698,1414659.699999999953434,1379233.320000000065193,1452056.800000000046566,1455140.979999999981374,1501177.660000000149012,10087457.429999999701977
20140224,1445653.099999999860302,1455603.120000000111759,1408322.330000000074506,1391104.040000000037253,1452809.550000000046566,1449062.879999999888241,1545921.260000000242144,10148479.279999999329448
20140225,1432135.959999999962747,1466058.939999999944121,1408322.330000000074506,1401119.960000000195578,1454616.150000000139698,1447326.279999999795109,1531888.040000000037253,10141470.660000000149012
20140226,1443870.620000000111759,1472944.479999999981374,1408322.330000000074506,1404829.560000000055879,1443626.000000000000000,1448889.219999999972060,1546938.160000000149012,10169423.370000001043081
20140227,1436443.620000000111759,1475239.659999999916181,1412186.580000000074506,1412248.760000000009313,1431431.449999999953434,1456182.939999999711290,1546124.640000000130385,10169860.650000000372529
20140228,1440454.199999999953434,1470649.300000000046566,1423933.900000000139698,1417071.240000000223517,1432485.300000000046566,1456009.279999999795109,1571547.140000000130385,10212153.360000001266599
20140303,1430650.560000000055879,1464401.310000000055879,1415277.979999999981374,1414103.560000000055879,1419989.649999999906868,1444547.719999999972060,1568089.679999999934807,10157063.460000000894070
20140304,1441196.899999999906868,1470521.789999999804422,1442791.440000000176951,1421151.800000000046566,1429925.950000000186265,1460698.099999999860302,1589037.820000000065193,10255326.800000000745058
20140305,1431541.800000000046566,1459173.400000000139698,1431198.690000000176951,1422635.640000000130385,1430528.149999999906868,1465213.260000000009313,1586190.500000000000000,10226484.440000001341105
20140306,1449812.219999999972060,1464528.819999999832362,1435835.790000000037253,1427087.159999999916181,1438958.949999999953434,1465734.239999999990687,1579072.200000000186265,10261032.379999998956919
20140307,1441642.520000000018626,1467461.550000000046566,1442482.300000000046566,1430054.839999999850988,1437754.550000000046566,1457572.219999999972060,1574191.080000000307336,10251162.060000000521541
20140310,1437186.320000000065193,1477152.310000000055879,1444491.710000000195578,1433764.439999999944121,1433238.050000000046566,1454967.319999999832362,1583953.320000000065193,10264756.469999998807907
20140311,1438523.180000000167638,1460193.479999999981374,1445109.989999999990687,1439328.839999999850988,1487134.949999999953434,1451494.119999999878928,1581919.520000000251457,10303707.080000000074506
20140312,1438226.099999999860302,1474729.620000000111759,1446810.260000000009313,1427087.159999999916181,1486081.099999999860302,1448889.219999999972060,1578258.679999999934807,10300085.139999998733401
20140313,1420252.760000000009313,1459428.419999999925494,1437536.060000000055879,1408539.159999999916181,1465907.400000000139698,1434301.779999999795109,1566259.260000000242144,10192227.839999999850988
20140314,1416984.880000000121072,1454965.569999999832362,1434599.229999999981374,1415958.360000000102445,1469068.949999999953434,1435517.399999999906868,1539616.480000000214204,10166713.870000001043081
20140317,1421144.000000000000000,1467334.039999999804422,1451911.070000000065193,1419667.960000000195578,1469370.050000000046566,1450799.479999999981374,1561174.760000000242144,10241404.359999999403954
20140318,1432135.959999999962747,1482252.709999999962747,1452065.640000000130385,1424490.439999999944121,1465004.100000000093132,1457919.539999999804422,1586393.880000000121072,10300265.269999999552965
20140319,1426639.980000000214204,1468991.669999999925494,1446655.690000000176951,1414845.479999999981374,1446787.550000000046566,1444895.039999999804422,1626256.360000000102445,10275074.769999999552965
20140320,1429165.159999999916181,1472944.479999999981374,1454847.900000000139698,1426345.240000000223517,1454315.050000000046566,1445416.020000000018626,1658187.020000000251457,10341223.869999999180436
20140321,1446692.880000000121072,1474474.599999999860302,1482825.070000000065193,1425974.280000000027940,1437302.900000000139698,1454967.319999999832362,1654322.800000000279397,10376562.850000001490116
20140324,1438671.719999999972060,1477279.819999999832362,1471541.460000000195578,1424490.439999999944121,1447991.950000000186265,1456356.599999999860302,1653102.520000000251457,10369437.509999999776483
20140325,1464517.680000000167638,1493091.060000000055879,1505237.719999999972060,1432651.560000000055879,1443927.100000000093132,1459308.819999999832362,1649441.679999999934807,10448178.619999999180436
20140326,1452783.020000000018626,1500996.679999999934807,1500136.909999999916181,1432280.600000000093132,1442873.250000000000000,1448889.219999999972060,1658390.400000000139698,10436353.080000001937151
20140327,1462438.120000000111759,1500486.639999999897555,1503692.020000000018626,1440070.760000000009313,1447690.850000000093132,1449931.179999999701977,1647814.640000000130385,10452127.209999999031425
20140328,1476400.880000000121072,1511069.969999999972060,1506165.140000000130385,1444893.240000000223517,1463950.250000000000000,1458614.179999999701977,1660017.440000000176951,10521114.099999999627471
20140331,1476103.800000000046566,1516297.879999999888241,1518376.170000000158325,1434135.399999999906868,1475843.699999999953434,1477890.439999999711290,1667542.500000000000000,10566192.890000000596046
20140401,1482639.560000000055879,1517445.469999999972060,1513893.640000000130385,1424861.399999999906868,1473886.550000000046566,1465560.579999999841675,1664491.800000000279397,10542782.000000000000000
20140402,1524527.840000000083819,1521908.319999999832362,1518376.170000000158325,1421893.719999999972060,1469219.500000000000000,1470075.739999999990687,1659814.060000000055879,10585818.349999999627471
20140403,1523339.520000000018626,1517955.510000000009313,1518839.880000000121072,1412248.760000000009313,1470273.350000000093132,1475806.520000000018626,1672830.380000000121072,10591296.919999999925494
20140404,1517695.000000000000000,1514895.270000000018626,1521313.000000000000000,1417813.159999999916181,1473434.900000000139698,1479627.039999999804422,1658187.020000000251457,10582968.389999998733401
20140407,1501949.760000000009313,1496278.810000000055879,1513120.790000000037253,1432651.560000000055879,1460487.600000000093132,1476153.839999999850988,1649034.920000000158325,10529680.279999999329448
20140408,1520962.880000000121072,1502144.270000000018626,1515748.479999999981374,1443038.439999999944121,1476596.449999999953434,1471465.020000000018626,1640492.959999999962747,10570451.500000000000000
20140409,1529875.280000000027940,1518720.569999999832362,1529505.210000000195578,1446377.080000000074506,1480661.300000000046566,1490393.959999999729916,1655339.700000000186265,10650876.099999997764826
20140410,1519031.860000000102445,1487990.659999999916181,1492253.840000000083819,1442667.479999999981374,1496920.700000000186265,1475980.179999999701977,1626866.500000000000000,10541714.219999998807907
20140411,1507000.120000000111759,1492326.000000000000000,1497354.650000000139698,1433022.520000000018626,1494813.000000000232831,1481363.639999999897555,1605714.980000000214204,10511597.910000002011657
20140414,1526755.940000000176951,1513620.169999999925494,1501528.040000000037253,1436732.119999999878928,1507158.100000000093132,1484836.839999999850988,1610392.720000000204891,10581026.930000001564622
20140415,1522596.820000000065193,1534021.770000000018626,1533369.460000000195578,1490521.320000000065193,1517997.699999999953434,1491609.579999999841675,1617104.260000000242144,10707223.910000000149012
20140416,1528984.040000000270084,1553530.800000000046566,1526413.810000000055879,1505730.680000000167638,1517997.699999999953434,1507065.319999999832362,1590258.100000000093132,10729983.449999999254942
20140417,1527498.640000000130385,1577120.150000000139698,1529659.780000000027940,1510553.159999999916181,1509265.800000000046566,1505328.719999999972060,1541243.520000000251457,10700672.769999999552965
20140421,1524676.380000000121072,1584260.709999999962747,1545735.060000000055879,1511666.040000000037253,1500533.900000000139698,1500466.239999999990687,1524362.980000000214204,10691704.310000000521541
20140422,1540273.080000000074506,1581200.469999999972060,1548517.320000000065193,1510182.199999999953434,1495264.649999999906868,1508975.579999999841675,1540836.760000000242144,10725253.060000000521541
20140423,1535668.340000000083819,1589998.659999999916181,1549135.600000000093132,1510924.119999999878928,1492404.199999999953434,1530509.419999999692664,1532091.420000000158325,10740734.759999999776483
20140424,1563890.940000000176951,1585025.770000000018626,1545116.780000000027940,1509811.240000000223517,1503093.250000000000000,1538497.779999999795109,1557717.300000000279397,10803156.060000000521541
