訓練日期,20140428 - 20140729
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11325591.020000001415610
真實報酬,1325591.020000001415610

夏普值報酬,0.123859102000000
夏普值風險,0.036806950832081
夏普值,3.365100862743704

預期報酬,21002.063658677208878
風險,45075.212297819605737
趨勢值,0.465933771313444
找到最佳解世代,3568
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CSCO[4](3),CVX[5](16),DIS[6](4),INTC[11](8),JNJ[12](17),UNH[23](1),VZ[26](6),
Stock#,AAPL[0](2),CSCO[4](3),CVX[5](16),DIS[6](4),INTC[11](8),JNJ[12](17),UNH[23](1),VZ[26](6),
張數,15298,54347,10081,15978,47600,12526,16521,27209,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,0.420000000158325,19.000000000000000,56.810000000055879,41.059999999823049,24.000000000000000,30.459999999962747,21.140000000130385,18.540000000037253,
20140428,1298341.680000000167638,1251086.939999999944121,1267540.940000000176951,1242809.899999999906868,1253332.000000000000000,1269415.300000000046566,1251321.679999999934807,1267957.940000000176951,10101806.380000000819564
20140429,1294517.180000000167638,1258695.520000000018626,1269960.380000000121072,1256550.979999999748543,1260472.000000000000000,1265532.239999999990687,1242400.340000000083819,1272583.470000000204891,10120712.110000001266599
20140430,1289621.820000000065193,1255978.169999999925494,1265423.929999999934807,1267735.579999999841675,1270468.000000000000000,1268789.000000000000000,1239756.980000000214204,1271495.109999999869615,10129268.589999999850988
20140501,1292681.420000000158325,1250543.469999999972060,1259576.949999999953434,1271250.739999999757856,1259044.000000000000000,1259269.239999999990687,1238270.090000000083819,1284827.520000000018626,10115463.429999999701977
20140502,1294976.120000000344589,1246739.180000000167638,1257359.130000000121072,1283234.239999999757856,1257140.000000000000000,1243987.520000000018626,1239591.770000000251457,1282106.619999999878928,10105134.579999998211861
20140505,1313333.719999999972060,1247826.120000000111759,1263810.969999999972060,1297774.219999999739230,1245716.000000000000000,1252630.459999999962747,1242895.970000000204891,1289453.050000000046566,10153440.509999999776483
20140506,1299106.580000000074506,1234782.839999999850988,1259879.380000000121072,1294738.399999999906868,1247144.000000000000000,1246492.719999999972060,1243391.600000000325963,1291629.770000000018626,10117165.289999999105930
20140507,1294517.180000000167638,1242934.890000000130385,1272581.440000000176951,1282914.679999999934807,1255236.000000000000000,1264029.119999999878928,1287172.250000000000000,1308771.440000000176951,10208157.000000000000000
20140508,1285032.420000000158325,1251086.939999999944121,1261089.100000000093132,1303845.859999999636784,1253808.000000000000000,1258893.459999999962747,1270320.830000000074506,1319382.950000000186265,10203459.559999998658895
20140509,1279678.120000000344589,1251086.939999999944121,1260484.239999999990687,1309438.159999999916181,1251904.000000000000000,1264029.119999999878928,1271312.090000000083819,1319110.859999999869615,10207043.530000001192093
20140512,1295588.040000000037253,1260325.930000000167638,1262601.250000000000000,1316947.819999999832362,1255236.000000000000000,1259143.979999999981374,1284363.679999999934807,1310403.979999999981374,10244610.679999999701977
20140513,1297576.780000000027940,1242391.419999999925494,1268750.659999999916181,1311515.299999999813735,1259044.000000000000000,1265406.979999999981374,1289319.980000000214204,1301969.190000000176951,10235974.310000000521541
20140514,1297882.740000000223517,1239674.069999999832362,1274496.830000000074506,1292980.819999999832362,1253332.000000000000000,1263528.080000000074506,1274946.710000000195578,1306322.629999999888241,10203163.879999998956919
20140515,1286868.180000000167638,1314129.459999999962747,1248185.420000000158325,1280677.760000000009313,1238100.000000000000000,1261273.399999999906868,1263547.220000000204891,1304962.180000000167638,10197743.620000001043081
20140516,1305837.700000000186265,1324455.390000000130385,1241834.390000000130385,1284512.479999999748543,1229056.000000000000000,1259895.540000000037253,1266355.790000000270084,1335164.170000000158325,10247111.460000000894070
20140519,1321288.680000000167638,1323368.450000000186265,1239515.760000000009313,1295057.959999999729916,1239528.000000000000000,1260647.099999999860302,1275442.340000000083819,1337340.889999999897555,10292189.180000001564622
20140520,1321594.640000000130385,1310868.640000000130385,1234979.310000000055879,1295697.079999999841675,1239528.000000000000000,1255761.959999999962747,1266521.000000000000000,1323736.389999999897555,10248687.019999999552965
20140521,1325113.180000000167638,1330433.560000000055879,1251713.770000000018626,1313272.879999999888241,1247144.000000000000000,1266910.099999999860302,1284033.260000000009313,1337885.070000000065193,10356505.820000000298023
20140522,1327101.920000000158325,1324998.859999999869615,1246370.840000000083819,1315829.359999999636784,1244764.000000000000000,1264655.419999999925494,1294276.280000000260770,1345503.590000000083819,10363500.269999999552965
20140523,1342093.960000000195578,1332607.439999999944121,1243749.780000000027940,1331328.019999999785796,1251428.000000000000000,1264905.939999999944121,1301380.310000000055879,1353394.200000000186265,10420887.650000002235174
20140527,1367335.660000000149012,1342933.370000000111759,1238406.850000000093132,1338038.779999999795109,1271420.000000000000000,1262776.520000000018626,1306997.450000000186265,1350129.119999999878928,10478037.749999998137355
20140528,1363664.140000000130385,1348911.540000000037253,1235180.929999999934807,1335801.859999999636784,1279512.000000000000000,1256388.260000000009313,1298241.320000000065193,1353394.200000000186265,10471094.250000000000000
20140529,1388599.880000000121072,1341302.959999999962747,1233164.729999999981374,1342672.399999999906868,1283320.000000000000000,1262150.219999999972060,1311292.910000000149012,1352850.020000000018626,10515353.119999999180436
20140530,1383398.560000000288710,1338042.140000000130385,1237902.800000000046566,1342352.839999999850988,1300456.000000000000000,1270918.419999999925494,1315588.370000000111759,1359380.180000000167638,10548039.309999998658895
20140602,1373913.800000000279397,1346737.660000000149012,1232055.820000000065193,1346507.119999999646097,1297600.000000000000000,1279811.879999999888241,1312945.010000000009313,1361828.989999999990687,10551400.280000001192093
20140603,1393342.260000000242144,1341302.959999999962747,1235483.360000000102445,1340275.699999999720603,1316640.000000000000000,1283444.419999999925494,1319718.620000000111759,1341150.149999999906868,10571357.470000000670552
