訓練日期,20160225 - 20160526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11180012.250000000000000
真實報酬,1180012.250000000000000

夏普值報酬,0.109301225000000
夏普值風險,0.032141150272594
夏普值,3.400663139713433

預期報酬,19200.742055623763008
風險,89792.208366582271992
趨勢值,0.213835280420274
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](15),JNJ[12](1),PFE[20](8),XOM[29](2),
Stock#,IBM[10](15),JNJ[12](1),PFE[20](8),XOM[29](2),
張數,18825,23818,83277,30667,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,40.000000000000000,62.720000000204891,24.459999999962747,26.160000000149012,
20160225,2532002.500000000000000,2533821.560000000055879,2547467.890000000130385,2515026.830000000074506,10128318.780000001192093
20160226,2485504.750000000000000,2519530.760000000242144,2517488.169999999925494,2507053.410000000149012,10029577.089999999850988
20160229,2466679.750000000000000,2505954.500000000000000,2470853.050000000279397,2457986.210000000428408,9901473.510000001639128
20160301,2529555.250000000000000,2553828.680000000167638,2501665.540000000037253,2492639.920000000391155,10077689.390000000596046
20160302,2565887.500000000000000,2549541.440000000409782,2496668.919999999925494,2536187.060000000055879,10148284.919999999925494
20160303,2594125.000000000000000,2540252.420000000391155,2489173.990000000223517,2526986.960000000428408,10150538.370000001043081
20160304,2594125.000000000000000,2536679.720000000204891,2474184.129999999888241,2523613.590000000316650,10128602.440000001341105
20160307,2638363.750000000000000,2542396.040000000037253,2480846.290000000037253,2590160.979999999981374,10251767.060000000521541
20160308,2618032.750000000000000,2530010.680000000167638,2445037.179999999701977,2534040.370000000111759,10127120.980000000447035
20160309,2643258.250000000000000,2544777.840000000316650,2476682.439999999944121,2526986.960000000428408,10191705.490000000223517
20160310,2639116.750000000000000,2551923.240000000223517,2464190.890000000130385,2520240.220000000204891,10175471.100000001490116
20160311,2679967.000000000465661,2565499.500000000000000,2539972.959999999962747,2520546.890000000130385,10305986.349999999627471
20160314,2687873.500000000000000,2564308.600000000093132,2506662.160000000149012,2527293.629999999888241,10286137.890000000596046
20160315,2691262.000000000000000,2566690.400000000372529,2460027.040000000037253,2539867.100000000093132,10257846.540000000968575
20160316,2725711.750000000000000,2558354.100000000093132,2418388.540000000037253,2541400.450000000186265,10243854.839999999850988
20160317,2768068.000000000000000,2542396.040000000037253,2443371.640000000130385,2579120.859999999869615,10332956.539999999105930
20160318,2769009.250000000000000,2560497.720000000204891,2452532.109999999869615,2582187.560000000055879,10364226.640000000596046
20160321,2797999.750000000000000,2555257.760000000242144,2504163.850000000093132,2564400.700000000186265,10421822.059999998658895
20160322,2788022.500000000000000,2557639.560000000055879,2529979.719999999739230,2579734.200000000186265,10455375.980000000447035
20160323,2737195.000000000000000,2584315.720000000204891,2514157.089999999850988,2568387.410000000149012,10404055.220000000670552
20160324,2785198.750000000000000,2579790.300000000279397,2504996.619999999646097,2575440.820000000298023,10445426.490000000223517
20160328,2793670.000000000000000,2577884.860000000335276,2480013.520000000018626,2582800.899999999906868,10434369.280000001192093
20160329,2811177.250000000465661,2599559.240000000223517,2502498.310000000055879,2592307.670000000391155,10505542.470000000670552
20160330,2793858.250000000000000,2595748.360000000335276,2504163.850000000093132,2592001.000000000000000,10485771.460000000894070
20160331,2851086.250000000000000,2577170.320000000298023,2468354.740000000223517,2563480.690000000409782,10460092.000000000000000
20160401,2871229.000000000000000,2600750.140000000130385,2501665.540000000037253,2544160.479999999981374,10517805.160000000149012
20160404,2862757.750000000000000,2586459.340000000316650,2558293.899999999906868,2550293.879999999888241,10557804.870000001043081
20160405,2823790.000000000000000,2595033.820000000298023,2611591.179999999701977,2521160.229999999981374,10551575.230000000447035
20160406,2824166.500000000000000,2606228.280000000260770,2742336.069999999832362,2554893.930000000167638,10727624.779999999329448
20160407,2790846.250000000000000,2602655.580000000074506,2728178.979999999981374,2526066.950000000186265,10647747.760000001639128
20160408,2811553.750000000000000,2598606.520000000018626,2706526.959999999962747,2551827.229999999981374,10668514.459999999031425
20160411,2809671.250000000000000,2595510.180000000167638,2655727.990000000223517,2555200.600000000093132,10616110.019999999552965
20160412,2816824.750000000000000,2610515.520000000018626,2661557.379999999888241,2586787.609999999869615,10675685.259999999776483
20160413,2846944.750000000000000,2616946.380000000353903,2709858.040000000037253,2601507.770000000018626,10775256.940000001341105
20160414,2845627.000000000000000,2616231.840000000316650,2719018.509999999776483,2619907.970000000204891,10800785.320000000298023
20160415,2856169.000000000000000,2624329.960000000428408,2706526.959999999962747,2605801.149999999906868,10792827.070000000298023
20160418,2871417.250000000000000,2642193.460000000428408,2715687.429999999701977,2630641.420000000391155,10859939.560000000521541
20160419,2710840.000000000000000,2683874.960000000428408,2739004.990000000223517,2643828.229999999981374,10777548.180000001564622
20160420,2750560.750000000465661,2705311.160000000149012,2767319.169999999925494,2661921.760000000242144,10885112.839999999850988
20160421,2810612.500000000000000,2705072.979999999981374,2768151.939999999944121,2661615.090000000316650,10945452.509999999776483
20160422,2795552.500000000000000,2699118.479999999981374,2770650.250000000000000,2684308.670000000391155,10949629.900000000372529
