訓練日期,20161223 - 20170329
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11181211.969999998807907
真實報酬,1181211.969999998807907

夏普值報酬,0.109421197000000
夏普值風險,0.035875400472723
夏普值,3.050034161519590

預期報酬,19607.564027224671008
風險,75008.051563179775258
趨勢值,0.261406123990690
找到最佳解世代,2195
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),DIS[6](3),KO[14](21),V[25](1),
Stock#,AAPL[0](2),DIS[6](3),KO[14](21),V[25](1),
張數,21497,23714,60168,32092,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,113.869999999646097,70.120000000111759,19.600000000093132,33.199999999720603,
20161223,2504944.309999999590218,2493597.220000000204891,2503008.400000000372529,2508023.000000000000000,10009572.929999999701977
20161227,2520852.089999999850988,2494071.500000000000000,2503610.080000000074506,2514441.399999999441206,10032975.070000000298023
20161228,2510103.589999999850988,2473440.319999999832362,2490373.120000000111759,2512836.799999999813735,9986753.830000000074506
20161229,2509458.679999999701977,2479605.959999999962747,2503008.400000000372529,2513799.559999999590218,10005872.599999999627471
20161230,2489896.409999999683350,2471543.200000000186265,2494584.880000000353903,2503851.039999999571592,9959875.529999999329448
20170103,2496990.419999999925494,2515651.240000000223517,2515042.000000000000000,2551347.199999999720603,10079030.859999999403954
20170104,2494195.809999999590218,2547902.280000000260770,2506016.799999999813735,2572207.000000000000000,10120321.890000000596046
20170105,2506879.039999999571592,2546479.439999999944121,2512033.600000000093132,2602373.479999999981374,10167765.560000000521541
20170106,2534825.139999999664724,2584421.840000000316650,2511431.920000000391155,2638316.519999999552965,10268995.419999999925494
20170109,2558041.899999999441206,2569719.160000000149012,2486161.360000000335276,2623554.199999999720603,10237476.619999999180436
20170110,2560621.539999999571592,2570193.439999999944121,2469314.319999999832362,2609433.719999999739230,10209563.019999999552965
20170111,2574379.619999999646097,2595330.280000000260770,2469916.000000000000000,2625158.799999999813735,10264784.699999999254942
20170112,2563631.119999999646097,2550036.540000000037253,2463899.200000000186265,2611359.239999999757856,10188926.099999999627471
20170113,2559116.750000000000000,2562604.959999999962747,2459687.440000000409782,2604940.839999999850988,10186349.990000000223517
20170117,2579753.869999999646097,2560470.700000000186265,2480144.560000000055879,2607829.120000000111759,10228198.250000000000000
20170118,2579538.899999999441206,2564976.359999999869615,2484356.319999999832362,2618419.479999999981374,10247291.060000000521541
20170119,2575024.529999999795109,2544108.040000000037253,2475331.120000000111759,2622912.359999999869615,10217376.050000000745058
20170120,2579753.869999999646097,2553119.359999999869615,2486161.360000000335276,2626442.479999999981374,10245477.070000000298023
20170123,2581473.629999999422580,2540313.800000000279397,2492779.839999999850988,2636391.000000000000000,10250958.269999999552965
20170124,2579108.959999999497086,2558810.720000000204891,2521058.799999999813735,2671050.359999999869615,10330028.839999999850988
20170125,2620168.229999999515712,2562130.680000000167638,2534295.759999999776483,2692552.000000000000000,10409146.669999999925494
20170126,2621458.049999999813735,2562604.959999999962747,2515643.680000000167638,2671371.279999999329448,10371077.969999998807907
20170127,2621673.019999999552965,2592010.319999999832362,2493983.200000000186265,2688380.039999999571592,10396046.580000000074506
20170130,2614793.979999999515712,2630901.280000000260770,2489771.440000000409782,2686133.599999999627471,10421600.300000000745058
20170131,2608774.819999999366701,2624024.220000000204891,2501203.360000000335276,2654362.519999999552965,10388364.919999998062849
20170201,2767852.619999999646097,2639438.319999999832362,2482551.279999999795109,2645697.679999999701977,10535539.899999998509884
20170202,2763123.279999999795109,2623075.660000000149012,2490974.799999999813735,2641204.799999999813735,10518378.539999999105930
20170203,2774946.629999999888241,2615724.319999999832362,2499398.319999999832362,2762512.559999999590218,10652581.829999998211861
20170206,2800957.999999999534339,2598413.100000000093132,2500601.680000000167638,2754489.559999999590218,10654462.339999999850988
20170207,2827614.279999999795109,2584896.120000000111759,2521058.799999999813735,2752884.959999999962747,10686454.160000000149012
20170208,2838577.749999999534339,2584896.120000000111759,2528278.960000000428408,2730741.479999999981374,10682494.310000000521541
20170209,2846746.609999999403954,2596515.979999999981374,2481949.600000000093132,2746466.559999999590218,10671678.750000000000000
20170210,2840297.509999999776483,2591061.760000000242144,2441637.040000000037253,2756736.000000000000000,10629732.309999998658895
20170213,2865448.999999999534339,2600310.220000000204891,2444043.759999999776483,2774065.679999999701977,10683868.660000000149012
20170214,2902638.810000000055879,2616435.740000000223517,2438628.640000000130385,2787223.399999999441206,10744926.589999999850988
20170215,2913172.339999999385327,2612878.640000000130385,2433213.520000000018626,2809366.879999999888241,10768631.379999998956919
20170216,2909732.819999999366701,2625447.060000000055879,2478941.200000000186265,2805194.919999999459833,10819315.999999998137355
20170217,2917686.709999999497086,2610032.959999999962747,2480746.239999999757856,2806799.519999999552965,10815265.429999999701977
20170221,2938753.769999999552965,2608847.260000000242144,2494584.880000000353903,2821561.839999999850988,10863747.750000000000000
20170222,2947567.540000000037253,2611455.800000000279397,2503008.400000000372529,2817710.799999999813735,10879742.539999999105930
20170223,2935099.279999999795109,2602207.340000000316650,2506618.479999999981374,2829905.759999999776483,10873830.859999999403954
20170224,2937893.889999999664724,2616198.600000000093132,2513838.640000000130385,2837928.759999999776483,10905859.890000000596046
20170227,2943698.079999999608845,2614064.340000000316650,2507220.160000000149012,2824129.199999999720603,10889111.779999999329448
20170228,2944987.899999999906868,2610744.380000000353903,2524668.880000000353903,2822203.679999999701977,10902604.839999999850988
20170301,3005179.499999999534339,2633272.680000000167638,2536702.479999999981374,2855900.279999999329448,11031054.939999999478459
20170302,2987336.989999999757856,2622601.380000000353903,2555354.560000000055879,2841137.959999999962747,11006430.890000000596046
20170303,3004964.529999999795109,2638015.479999999981374,2555956.239999999757856,2849481.879999999888241,11048418.129999998956919
20170306,2995505.849999999627471,2624498.500000000000000,2537905.839999999850988,2854295.679999999701977,11012205.869999999180436
20170307,2999375.310000000055879,2629004.160000000149012,2526473.920000000391155,2858146.719999999739230,11013000.109999999403954
20170308,2988196.869999999646097,2628529.880000000353903,2526473.920000000391155,2854937.519999999552965,10998138.189999999478459
20170309,2981317.829999999608845,2633035.540000000037253,2528880.640000000130385,2859751.319999999832362,11002985.330000000074506
20170310,2991206.449999999254942,2630427.000000000000000,2544524.319999999832362,2879648.359999999869615,11045806.129999998956919
20170313,2992496.269999999552965,2644655.399999999906868,2528880.640000000130385,2891843.319999999832362,11057875.630000000819564
20170314,2987981.899999999906868,2663389.459999999962747,2525270.560000000055879,2873871.799999999813735,11050513.719999998807907
20170315,3019582.489999999757856,2652955.300000000279397,2534295.759999999776483,2885745.839999999850988,11092579.390000000596046
20170316,3024526.799999999813735,2649161.060000000055879,2542117.600000000093132,2889596.879999999888241,11105402.339999999850988
20170317,3009478.899999999906868,2650346.760000000242144,2528880.640000000130385,2896015.279999999329448,11084721.580000000074506
20170320,3041079.489999999757856,2672875.060000000055879,2537905.839999999850988,2861997.759999999776483,11113858.149999998509884
20170321,3006254.349999999627471,2650109.620000000111759,2557159.600000000093132,2826054.719999999739230,11039578.289999999105930
20170322,3040219.609999999403954,2657935.240000000223517,2549939.440000000409782,2840817.039999999571592,11088911.330000000074506
20170323,3029471.109999999403954,2661729.479999999981374,2537304.160000000149012,2851728.319999999832362,11080233.070000000298023
20170324,3023451.949999999254942,2659358.080000000074506,2534295.759999999776483,2862318.679999999701977,11079424.469999998807907
20170327,3028611.229999999515712,2665049.439999999944121,2546329.360000000335276,2854616.599999999627471,11094606.629999998956919
20170328,3091382.469999999739230,2680937.819999999832362,2552947.839999999850988,2860072.239999999757856,11185340.369999999180436
20170329,3098261.509999999776483,2668606.540000000037253,2552346.160000000149012,2861997.759999999776483,11181211.969999998807907
