訓練日期,20130628 - 20130930
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11756648.699999999254942
真實報酬,1756648.699999999254942

夏普值報酬,0.166964870000000
夏普值風險,0.045512617718028
夏普值,3.668540250407577

預期報酬,29350.147959856945818
風險,136737.609976723295404
趨勢值,0.214645758141108
找到最佳解世代,1645
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
Stock#,AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
張數,44444,24236,54265,80231,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.000000000000000,56.600000000093132,11.450000000186265,2.040000000037253,
20130628,2517777.600000000093132,2482792.439999999944121,2485891.100000000093132,2554557.080000000074506,10041018.220000000670552
20130701,2598221.240000000223517,2502181.239999999757856,2511395.650000000372529,2500802.310000000055879,10112600.440000001341105
20130702,2656887.319999999832362,2459283.520000000018626,2507054.450000000186265,2512034.649999999906868,10135259.939999999478459
20130703,2671553.839999999850988,2493698.640000000130385,2505969.150000000372529,2521662.370000000111759,10192884.000000000000000
20130705,2650220.720000000204891,2525447.800000000279397,2526047.200000000186265,2552952.459999999962747,10254668.179999999701977
20130708,2635109.759999999776483,2529567.920000000391155,2556978.250000000000000,2556161.700000000186265,10277817.629999998956919
20130709,2681775.959999999962747,2537081.080000000074506,2629150.700000000186265,2564987.109999999869615,10412994.849999999627471
20130710,2671109.399999999906868,2556954.600000000093132,2611243.250000000000000,2551347.840000000316650,10390655.089999999850988
20130711,2712886.759999999776483,2590400.279999999795109,2642716.950000000186265,2556161.700000000186265,10502165.689999999478459
20130712,2707997.919999999925494,2468977.920000000391155,2636747.800000000279397,2554557.080000000074506,10368280.720000000670552
20130715,2713775.640000000130385,2560832.359999999869615,2658453.800000000279397,2541720.120000000111759,10474781.920000001788139
20130716,2731553.240000000223517,2526174.880000000353903,2625352.150000000372529,2515243.890000000130385,10398324.160000002011657
20130717,2731997.680000000167638,2539747.040000000037253,2683958.350000000093132,2540917.810000000055879,10496620.880000000819564
20130718,2741330.919999999925494,2608577.279999999795109,2672562.700000000186265,2540115.500000000000000,10562586.399999998509884
20130719,2698220.240000000223517,2592339.160000000149012,2679074.500000000000000,2541720.120000000111759,10511354.019999999552965
20130722,2706664.600000000093132,2589915.560000000055879,2673105.350000000093132,2539313.189999999944121,10508998.699999999254942
20130723,2660442.839999999850988,2612455.040000000037253,2669849.450000000186265,2535301.640000000130385,10478048.970000000670552
20130724,2796885.919999999925494,2592096.800000000279397,2656283.200000000186265,2512836.959999999962747,10558102.880000000819564
20130725,2783997.160000000149012,2586037.800000000279397,2704036.399999999906868,2507220.790000000037253,10581292.150000002235174
20130726,2799997.000000000000000,2559378.200000000186265,2681787.750000000465661,2508825.410000000149012,10549988.360000001266599
20130729,2843107.680000000167638,2540231.760000000242144,2704579.050000000279397,2516046.200000000186265,10603964.690000001341105
20130730,2878218.440000000409782,2562528.880000000353903,2709462.900000000372529,2521662.370000000111759,10671872.589999999850988
20130731,2873329.600000000093132,2547260.200000000186265,2707834.950000000186265,2524069.300000000279397,10652494.050000000745058
20130801,2899551.559999999590218,2586037.800000000279397,2735510.100000000093132,2646822.729999999981374,10867922.189999999478459
20130802,2936884.520000000018626,2615121.000000000000000,2799000.149999999906868,2659659.689999999944121,11010665.359999999403954
20130805,2980439.640000000130385,2605426.600000000093132,2819078.200000000186265,2663671.240000000223517,11068615.680000001564622
20130806,2953773.239999999757856,2594278.040000000037253,2786519.200000000186265,2669287.410000000149012,11003857.890000000596046
20130807,2952439.920000000391155,2579251.720000000204891,2804426.650000000372529,2633183.459999999962747,10969301.750000000000000
20130808,2927106.839999999850988,2565194.840000000316650,2852179.850000000093132,2650031.970000000204891,10994513.500000000000000
