訓練日期,20140123 - 20140425
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11134389.010000001639128
真實報酬,1134389.010000001639128

夏普值報酬,0.104738901000000
夏普值風險,0.031311635724652
夏普值,3.345047250838373

預期報酬,17745.789664549192821
風險,88011.561281292146305
趨勢值,0.201630210920043
找到最佳解世代,1535
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),MCD[15](5),MSFT[18](2),
Stock#,CAT[3](1),MCD[15](5),MSFT[18](2),
張數,37185,35132,92772,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,69.600000000093132,8.840000000316650,35.040000000037253,
20140123,3290198.400000000372529,3348791.080000000074506,3345393.360000000335276,9984383.839999999850988
20140124,3204301.050000000279397,3317523.600000000558794,3414972.360000000335276,9936798.010000001639128
20140127,3394688.250000000465661,3304876.080000000074506,3342610.200000000186265,10042175.530000001192093
20140128,3438566.550000000279397,3308740.600000000558794,3364875.480000000447035,10112183.630000000819564
20140129,3369774.300000000279397,3272554.640000000596046,3401056.559999999590218,10043386.500000000000000
20140130,3465711.600000000093132,3295390.440000000409782,3419610.959999999962747,10180714.000000000000000
20140131,3492112.950000000186265,3308389.280000000260770,3510527.520000000484288,10311030.750000000000000
20140203,3436707.300000000279397,3267987.479999999981374,3384357.599999999627471,10089053.379999998956919
20140204,3439682.100000000093132,3270446.720000000204891,3372297.240000000223517,10082427.060000000521541
20140205,3419602.199999999720603,3287661.400000000372529,3323128.080000000074506,10030392.679999999701977
20140206,3489138.149999999906868,3335440.920000000391155,3356526.000000000000000,10181106.070000000298023
20140207,3527810.550000000279397,3369870.280000000260770,3391779.360000000335276,10289461.190000001341105
20140210,3514052.100000000093132,3332630.360000000335276,3414044.639999999664724,10260728.100000001490116
20140211,3531157.199999999720603,3349493.720000000204891,3448370.280000000260770,10329022.199999999254942
20140212,3576151.050000000279397,3333684.320000000298023,3476201.879999999888241,10386038.250000000000000
20140213,3573919.950000000186265,3353709.560000000055879,3489189.959999999962747,10416820.469999998807907
20140214,3590281.350000000093132,3364951.800000000279397,3490117.679999999701977,10445351.830000000074506
20140218,3590653.200000000186265,3373383.479999999981374,3471563.280000000260770,10435600.960000000894070
20140219,3577638.449999999720603,3356871.440000000409782,3479912.759999999776483,10414423.650000000372529
20140220,3604039.800000000279397,3363897.840000000316650,3502178.040000000037253,10470116.679999999701977
20140221,3625607.100000000093132,3388490.240000000223517,3523515.599999999627471,10537613.939999999478459
20140224,3618913.799999999813735,3390246.840000000316650,3496611.719999999739230,10505773.359999999403954
20140225,3585075.450000000186265,3394462.680000000633299,3482695.919999999925494,10462235.050000000745058
20140226,3614451.600000000093132,3368816.320000000298023,3476201.879999999888241,10459470.800000000745058
20140227,3595859.100000000093132,3340359.400000000372529,3512382.959999999962747,10448602.460000000894070
20140228,3605899.050000000279397,3342818.640000000596046,3554130.360000000335276,10502849.050000000745058
20140303,3581356.950000000186265,3313659.080000000074506,3504961.200000000186265,10399978.230000000447035
20140304,3607758.299999999813735,3336846.200000000651926,3563407.559999999590218,10508013.059999998658895
20140305,3583588.050000000279397,3338251.479999999981374,3535575.959999999962747,10457416.490000000223517
20140306,3629325.600000000093132,3357925.400000000372529,3539286.839999999850988,10526538.839999999850988
20140307,3608873.850000000093132,3355114.840000000316650,3516093.839999999850988,10480083.530000001192093
20140310,3597718.350000000093132,3344575.240000000223517,3508672.080000000074506,10450966.669999999925494
20140311,3601065.000000000000000,3470347.800000000279397,3527226.480000000447035,10598640.280000001192093
20140312,3600321.299999999813735,3467888.560000000055879,3550419.480000000447035,10618630.339999999850988
20140313,3555327.450000000186265,3420811.680000000633299,3515166.120000000111759,10491306.250000000000000
20140314,3547146.750000000000000,3428189.400000000372529,3497539.440000000409782,10472876.589999999850988
