訓練日期,20091224 - 20100330
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11295824.660000000149012
真實報酬,1295824.660000000149012

夏普值報酬,0.120882466000000
夏普值風險,0.038044978682523
夏普值,3.177356649578876

預期報酬,19345.474416697808920
風險,136253.307857591076754
趨勢值,0.141981686322928
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),PG[21](3),TRV[22](2),UNH[23](4),
Stock#,BA[2](1),PG[21](3),TRV[22](2),UNH[23](4),
張數,45487,40776,50833,79063,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,34.479999999981374,23.439999999944121,33.060000000055879,27.939999999944121,
20091224,2523653.239999999757856,2498776.720000000204891,2538633.080000000074506,2504743.779999999795109,10065806.820000000298023
20091228,2508187.660000000149012,2497553.439999999944121,2533041.450000000186265,2481815.509999999776483,10020598.059999998658895
20091229,2511371.750000000000000,2511009.520000000018626,2535074.770000000018626,2439121.490000000223517,9996577.529999999329448
20091230,2500000.000000000000000,2502446.560000000055879,2554899.640000000130385,2451771.570000000298023,10009117.770000001415610
20091231,2462245.790000000037253,2472272.319999999832362,2534566.439999999944121,2409868.180000000167638,9878952.729999998584390
20100104,2555494.140000000130385,2492252.560000000055879,2532024.790000000037253,2492884.330000000074506,10072655.820000000298023
20100105,2639190.220000000204891,2493068.080000000074506,2472041.850000000093132,2488931.180000000167638,10093231.330000000074506
20100106,2719247.339999999850988,2481243.040000000037253,2436967.080000000074506,2513440.709999999962747,10150898.169999999925494
20100107,2829325.879999999888241,2467786.959999999962747,2472041.850000000093132,2609897.569999999832362,10379052.259999999776483
20100108,2802033.680000000167638,2464524.879999999888241,2468483.540000000037253,2585388.040000000037253,10320430.140000000596046
20100111,2768828.169999999925494,2454738.640000000130385,2467466.879999999888241,2602781.899999999906868,10293815.589999999850988
20100112,2748813.890000000130385,2482874.080000000074506,2483225.110000000335276,2533997.089999999850988,10248910.170000001788139
20100113,2782019.399999999906868,2508562.959999999962747,2491866.720000000204891,2572737.959999999962747,10355187.039999999105930
20100114,2800214.200000000186265,2511009.520000000018626,2505083.300000000279397,2634407.100000000093132,10450714.120000001043081
20100115,2766553.819999999832362,2480019.759999999776483,2480175.129999999888241,2668404.189999999944121,10395152.900000000372529
20100119,2758821.029999999795109,2516718.159999999683350,2512708.250000000000000,2777511.130000000353903,10565758.570000000298023
20100120,2738351.879999999888241,2464932.640000000130385,2487291.750000000000000,2731654.589999999850988,10422230.859999999403954
20100121,2692864.879999999888241,2440059.280000000260770,2488308.410000000149012,2617013.240000000223517,10238245.810000000521541
20100122,2627818.470000000204891,2459224.000000000000000,2455775.290000000037253,2621757.019999999552965,10164574.780000001192093
20100125,2628273.339999999850988,2472272.319999999832362,2485258.430000000167638,2609106.939999999944121,10194911.029999999329448
20100126,2625089.250000000000000,2474718.879999999888241,2553374.649999999906868,2564831.659999999683350,10218014.439999999478459
20100127,2817044.390000000130385,2479612.000000000000000,2587432.759999999776483,2628082.060000000055879,10512171.210000000894070
20100128,2845701.200000000186265,2515087.120000000111759,2555407.970000000204891,2643104.029999999795109,10559300.320000000298023
20100129,2756546.680000000167638,2509786.239999999757856,2575741.169999999925494,2609106.939999999944121,10451181.029999999329448
20100201,2806582.379999999888241,2527727.680000000167638,2576757.830000000074506,2619385.130000000353903,10530453.020000001415610
20100202,2817499.259999999776483,2564833.839999999850988,2597091.030000000260770,2692123.089999999850988,10671547.219999998807907
20100203,2795665.500000000000000,2554639.839999999850988,2570657.870000000111759,2634407.100000000093132,10555370.310000000521541
