訓練日期,20100514 - 20100816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10834558.219999998807907
真實報酬,834558.219999998807907

夏普值報酬,0.074755822000000
夏普值風險,0.036102502441788
夏普值,2.070654856142938

預期報酬,10884.850227512928541
風險,220804.813646355352830
趨勢值,0.049296254224540
找到最佳解世代,1900
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),VZ[26](2),
Stock#,MRK[17](1),VZ[26](2),
張數,150105,186428,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.449999999254942,1.040000000037253,
20100514,4935454.849999999627471,4970171.520000000484288,9905626.370000001043081
20100517,4920444.349999999627471,4996271.440000000409782,9916715.789999999105930
20100518,4855899.199999999254942,4953393.000000000000000,9809292.199999999254942
20100519,4896427.549999998882413,4970171.520000000484288,9866599.070000000298023
20100520,4776343.549999998882413,4837807.639999999664724,9614151.189999997615814
20100521,4809366.649999999441206,4873228.959999999962747,9682595.609999999403954
20100524,4782347.749999999068677,4791200.639999999664724,9573548.389999998733401
20100525,4812368.750000000000000,4776286.400000000372529,9588655.150000000372529
20100526,4866406.549999999813735,4694258.080000000074506,9560664.629999998956919
20100527,5046532.549999998882413,4807979.160000000149012,9854511.709999999031425
20100528,5057039.899999998509884,4796793.480000000447035,9853833.379999998956919
20100601,5033023.099999999627471,4742729.360000000335276,9775752.460000000894070
20100602,5157610.249999999068677,4807979.160000000149012,9965589.410000000149012
20100603,5147102.899999999441206,4817300.559999999590218,9964403.459999999031425
20100604,4978985.299999999813735,4742729.360000000335276,9721714.660000000149012
20100607,5000000.000000000000000,4720358.000000000000000,9720358.000000000000000
20100608,5075052.500000000000000,4824757.679999999701977,9899810.179999999701977
20100609,5060041.999999999068677,4841536.200000000186265,9901578.199999999254942
20100610,5201140.699999999254942,4940343.040000000037253,10141483.739999998360872
20100611,5232662.749999999068677,4977628.639999999664724,10210291.389999998733401
20100614,5256679.549999999813735,4990678.599999999627471,10247358.149999998509884
20100615,5406784.549999999813735,5074571.200000000186265,10481355.750000000000000
20100616,5405283.499999999068677,5085756.879999999888241,10491040.379999998956919
20100617,5382767.749999999068677,5070842.639999999664724,10453610.389999998733401
20100618,5354247.799999999813735,5076435.480000000447035,10430683.280000001192093
20100621,5271690.049999998882413,5065249.800000000745058,10336939.849999999627471
20100622,5273191.099999999627471,5065249.800000000745058,10338440.900000000372529
20100623,5316721.549999999813735,5111856.800000000745058,10428578.350000001490116
20100624,5345241.499999999068677,5048471.279999999329448,10393712.779999997466803
20100625,5393275.099999999627471,4975764.360000000335276,10369039.460000000894070
20100628,5394776.149999998509884,5003728.559999999590218,10398504.709999997168779
20100629,5318222.599999999627471,4988814.320000000298023,10307036.919999999925494
20100630,5249174.299999998882413,4884414.639999999664724,10133588.939999997615814
20100701,5169618.649999998509884,4903057.440000000409782,10072676.089999999850988
20100702,5136595.549999998882413,4998135.719999999739230,10134731.269999999552965
20100706,5201140.699999999254942,4960850.120000000111759,10161990.820000000298023
20100707,5318222.599999999627471,4944071.599999999627471,10262294.199999999254942
20100708,5382767.749999999068677,4992542.879999999888241,10375310.629999998956919
20100709,5448813.949999999254942,4968307.240000000223517,10417121.189999999478459
20100712,5417291.899999999441206,4938478.759999999776483,10355770.660000000149012
20100713,5471329.699999999254942,5013049.959999999962747,10484379.660000000149012
20100714,5433803.449999999254942,5003728.559999999590218,10437532.009999997913837
20100715,5477333.899999999441206,4996271.440000000409782,10473605.339999999850988
20100716,5390272.999999999068677,4975764.360000000335276,10366037.359999999403954
20100719,5373761.449999999254942,4981357.200000000186265,10355118.649999998509884
20100720,5352746.749999999068677,4972035.800000000745058,10324782.550000000745058
20100721,5282197.399999998509884,4944071.599999999627471,10226268.999999998137355
20100722,5280696.349999999627471,5033557.040000000037253,10314253.390000000596046
20100723,5234163.799999998882413,5223713.599999999627471,10457877.399999998509884
20100726,5294205.799999999813735,5272184.879999999888241,10566390.679999999701977
20100727,5280696.349999999627471,5329977.559999999590218,10610673.910000000149012
20100728,5214650.149999999441206,5389634.520000000484288,10604284.669999999925494
20100729,5262683.750000000000000,5384041.679999999701977,10646725.429999999701977
20100730,5172620.749999999068677,5417598.719999999739230,10590219.469999998807907
20100802,5264184.799999998882413,5510812.719999999739230,10774997.519999999552965
20100803,5226658.549999998882413,5507084.160000000149012,10733742.709999999031425
20100804,5282197.399999998509884,5480984.240000000223517,10763181.639999998733401
20100805,5264184.799999998882413,5508948.440000000409782,10773133.239999998360872
20100806,5250675.349999998696148,5508948.440000000409782,10759623.789999999105930
20100809,5307715.249999999068677,5566741.120000000111759,10874456.369999999180436
20100810,5369258.299999999813735,5596569.599999999627471,10965827.899999998509884
20100811,5237165.899999999441206,5510812.719999999739230,10747978.619999999180436
20100812,5259681.649999999441206,5652498.000000000000000,10912179.649999998509884
20100813,5253677.449999999254942,5598433.879999999888241,10852111.329999998211861
20100816,5249174.299999998882413,5585383.919999999925494,10834558.219999998807907
