訓練日期,20130730 - 20131029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328141.299999998882413
真實報酬,1328141.299999998882413

夏普值報酬,0.124114130000000
夏普值風險,0.035791672382177
夏普值,3.467681774540489

預期報酬,21315.212637057586107
風險,116409.908910023063072
趨勢值,0.183104796117767
找到最佳解世代,2011
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
Stock#,AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
張數,31264,19082,40128,63775,27476,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.919999999925494,15.579999999841675,20.479999999748543,16.000000000000000,21.959999999729916,
20130730,2024698.560000000055879,2017555.439999999944121,2003611.519999999785796,2004464.250000000000000,1985712.479999999515712,10036042.250000000000000
20130731,2021259.520000000018626,2005533.779999999795109,2002407.679999999701977,2006377.500000000000000,2001648.559999999590218,10037227.039999999105930
20130801,2039705.279999999795109,2036064.979999999981374,2022872.959999999497086,2103953.250000000000000,2010166.119999999646097,10212762.589999997988343
20130802,2065967.039999999804422,2058963.379999999888241,2069822.719999999739230,2114157.250000000000000,1985437.719999999972060,10294348.109999999403954
20130805,2096605.760000000009313,2051330.579999999841675,2084670.079999999841675,2117346.000000000000000,2015111.799999999813735,10365064.219999998807907
20130806,2077847.359999999636784,2042552.859999999869615,2060593.279999999795109,2121810.250000000000000,2012364.199999999487773,10315167.949999999254942
20130807,2076909.440000000176951,2030722.019999999785796,2073835.519999999785796,2093111.500000000000000,2003571.879999999888241,10278150.359999999403954
20130808,2059088.959999999962747,2019654.459999999962747,2109148.160000000149012,2106504.250000000000000,2010715.639999999897555,10305111.470000000670552
20130809,2029700.800000000046566,2009922.639999999897555,2173754.240000000223517,2114795.000000000000000,2003846.639999999897555,10332019.320000000298023
20130812,2087539.199999999720603,1989123.259999999776483,2141651.839999999850988,2121172.500000000000000,1989009.599999999860302,10328496.399999998509884
20130813,2186646.080000000074506,2027096.439999999944121,2164524.799999999813735,2098851.250000000000000,2015386.559999999590218,10492505.129999998956919
20130814,2226351.359999999869615,1987596.699999999720603,2157301.759999999776483,2051657.750000000000000,1991757.199999999487773,10414664.769999999552965
20130815,2223850.239999999757856,1960309.439999999944121,2123192.959999999962747,2024872.250000000000000,1961808.359999999869615,10294033.250000000000000
20130816,2243546.560000000055879,1974430.119999999878928,2107944.319999999366701,2029974.250000000000000,1962632.639999999897555,10318527.889999998733401
20130819,2267619.839999999850988,1998282.619999999878928,2093096.959999999497086,2063137.250000000000000,1970325.919999999459833,10392462.589999999850988
20130820,2237919.040000000037253,1996565.239999999757856,2111555.839999999850988,2061224.000000000000000,1990932.919999999459833,10398197.039999999105930
20130821,2243859.199999999720603,1982826.199999999720603,2122390.399999999441206,2045280.250000000000000,1974172.559999999590218,10368528.609999999403954
20130822,2246360.319999999832362,2006297.059999999823049,2125199.359999999403954,2068239.250000000000000,1977469.679999999701977,10423565.669999998062849
20130823,2237606.399999999906868,2012784.939999999944121,2213882.240000000223517,2047193.500000000000000,1993131.000000000000000,10504598.080000000074506
20130826,2246360.319999999832362,2013739.039999999804422,2208665.599999999627471,2038265.000000000000000,1988734.839999999618158,10495764.799999998882413
20130827,2182269.119999999646097,1969468.799999999813735,2146467.200000000186265,2003188.750000000000000,1965105.479999999515712,10266499.349999997764826
