訓練日期,20100715 - 20101014
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11476217.339999999850988
真實報酬,1476217.339999999850988

夏普值報酬,0.138921734000000
夏普值風險,0.043355652694658
夏普值,3.204235788546147

預期報酬,24981.692694816632866
風險,112077.033953405349166
趨勢值,0.222897518016068
找到最佳解世代,1814
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](5),VZ[26](1),
Stock#,MCD[15](5),VZ[26](1),
張數,70521,186289,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,61.099999999627471,3.240000000223517,
20100715,5030324.029999999329448,4992548.440000000409782,10022872.469999998807907
20100716,4932299.839999999850988,4972056.650000000372529,9904356.490000000223517
20100719,4930184.209999999031425,4977645.320000000298023,9907829.529999999329448
20100720,4997884.370000000111759,4968330.870000000111759,9966215.240000000223517
20100721,4944288.409999999217689,4940387.520000000484288,9884675.929999999701977
20100722,5035260.500000000000000,5029806.240000000223517,10065066.740000000223517
20100723,4929479.000000000000000,5219821.020000000484288,10149300.019999999552965
20100726,4997884.370000000111759,5268256.160000000149012,10266140.530000001192093
20100727,4964739.500000000000000,5326005.750000000000000,10290745.250000000000000
20100728,4920311.269999999552965,5385618.230000000447035,10305929.500000000000000
20100729,4892808.079999999143183,5380029.559999999590218,10272837.639999998733401
20100730,4917490.429999999701977,5413561.580000000074506,10331052.009999999776483
20100802,4954161.349999999627471,5506706.080000000074506,10460867.429999999701977
20100803,4968265.549999999813735,5502980.299999999813735,10471245.849999999627471
20100804,4985190.589999999850988,5476899.839999999850988,10462090.429999999701977
20100805,4968265.549999999813735,5504843.190000000409782,10473108.740000000223517
20100806,5059237.639999999664724,5504843.190000000409782,10564080.830000000074506
20100809,5142452.419999999925494,5562592.780000000260770,10705045.199999999254942
20100810,5136810.740000000223517,5592399.020000000484288,10729209.760000001639128
20100811,5047249.069999999366701,5506706.080000000074506,10553955.149999998509884
20100812,5081804.359999999403954,5648285.720000000670552,10730090.080000000074506
20100813,5069815.790000000037253,5594261.910000000149012,10664077.699999999254942
20100816,5062763.690000000409782,5581221.680000000633299,10643985.370000001043081
20100817,5163608.719999999739230,5620342.370000000111759,10783951.089999999850988
20100818,5165724.349999999627471,5616616.589999999850988,10782340.939999999478459
20100819,5145978.469999999739230,5517883.420000000856817,10663861.890000000596046
20100820,5153735.779999999329448,5471311.170000000856817,10625046.949999999254942
20100823,5172071.240000000223517,5478762.730000000447035,10650833.970000000670552
20100824,5128348.219999999739230,5489940.070000000298023,10618288.289999999105930
20100825,5161493.089999999850988,5525334.980000000447035,10686828.070000000298023
20100826,5159377.459999999031425,5495528.740000000223517,10654906.199999999254942
20100827,5217909.889999999664724,5558867.000000000000000,10776776.890000000596046
20100830,5129758.639999999664724,5484351.400000000372529,10614110.039999999105930
20100831,5152325.359999999403954,5501117.410000000149012,10653442.769999999552965
20100901,5256696.440000000409782,5637108.380000000819564,10893804.820000000298023
20100902,5290546.519999999552965,5609165.030000000260770,10899711.550000000745058
20100903,5295482.990000000223517,5625931.040000000037253,10921414.030000001192093
20100907,5345552.899999999441206,5629656.820000000298023,10975209.719999998807907
20100908,5365298.779999999329448,5674366.180000000633299,11039664.960000000894070
20100909,5244707.870000000111759,5745156.000000000000000,10989863.870000001043081
20100910,5289841.309999999590218,5741430.220000000670552,11031271.530000001192093
20100913,5258812.069999999366701,5756333.339999999850988,11015145.410000000149012
20100914,5214383.839999999850988,5758196.230000000447035,10972580.070000000298023
20100915,5268685.009999998845160,5810357.150000000372529,11079042.160000000149012
20100916,5275031.899999999441206,5853203.620000000111759,11128235.519999999552965
20100917,5241181.819999999366701,5901638.759999999776483,11142820.579999998211861
20100920,5296893.409999999217689,5978017.250000000931323,11274910.660000000149012
20100921,5325101.809999999590218,6020863.720000000670552,11345965.530000001192093
20100922,5298303.829999999143183,6033903.950000000186265,11332207.779999999329448
20100923,5263748.540000000037253,5992920.370000000111759,11256668.910000000149012
20100924,5296188.199999999254942,6080476.200000000186265,11376664.399999998509884
20100927,5272211.059999999590218,6121459.780000000260770,11393670.839999999850988
20100928,5263043.329999999143183,6095379.320000000298023,11358422.649999998509884
20100929,5250349.549999999813735,6084201.979999999515712,11334551.529999999329448
20100930,5254580.809999999590218,6071161.750000000931323,11325742.560000000521541
20101001,5283494.419999999925494,6127048.450000000186265,11410542.870000001043081
20101004,5285610.049999999813735,6153128.910000000149012,11438738.960000000894070
20101005,5346963.319999999366701,6253724.970000000670552,11600688.289999999105930
20101006,5317344.500000000000000,6194112.490000000223517,11511456.990000000223517
20101007,5349784.159999999217689,6134500.009999999776483,11484284.169999998062849
20101008,5366709.199999999254942,6115871.110000000335276,11482580.309999998658895
20101011,5330743.490000000223517,6153128.910000000149012,11483872.400000000372529
20101012,5330038.279999999329448,6061847.299999999813735,11391885.579999998211861
20101013,5342026.849999999627471,6000371.930000000633299,11342398.780000001192093
20101014,5432998.940000000409782,6043218.399999999441206,11476217.339999999850988
