訓練日期,20111130 - 20120305
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12369937.009999997913837
真實報酬,2369937.009999997913837

夏普值報酬,0.228293701000000
夏普值風險,0.061122887363778
夏普值,3.734995365014270

預期報酬,36841.133210270636482
風險,85008.071338439141982
趨勢值,0.433383943785721
找到最佳解世代,2383
找到最佳解實驗#,2
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AAPL[0](4),HD[9](1),MSFT[18](2),NKE[19](9),PFE[20](24),
Stock#,AAPL[0](4),HD[9](1),MSFT[18](2),NKE[19](9),PFE[20](24),
張數,37516,51334,80515,84317,103092,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.039999999804422,27.359999999869615,7.399999999906868,0.760000000009313,15.200000000186265,
20111130,2048395.639999999897555,2013346.839999999850988,2059581.099999999860302,2027824.610000000102445,2069071.640000000130385,10218219.830000000074506
20111201,2079158.759999999776483,2019506.920000000158325,2035426.600000000093132,2007588.529999999795109,2064947.960000000195578,10206628.769999999552965
20111202,2088537.759999999776483,2050307.319999999832362,2030595.699999999720603,2028667.779999999795109,2050515.080000000307336,10248623.639999998733401
20111205,2106170.280000000260770,2065194.179999999701977,2069242.899999999906868,2036256.309999999823049,2045360.480000000214204,10322224.149999998509884
20111206,2095290.639999999897555,2069814.239999999990687,2066022.299999999813735,2028667.779999999795109,2085566.360000000335276,10345361.320000000298023
20111207,2085161.319999999832362,2090861.179999999701977,2061191.399999999906868,2021079.250000000000000,2110308.439999999944121,10368601.589999999850988
20111208,2093790.000000000000000,2048767.299999999580905,2045088.399999999906868,2006745.360000000102445,2081442.680000000400469,10275833.740000000223517
20111209,2109546.719999999739230,2065194.179999999701977,2069242.899999999906868,2059021.900000000139698,2119586.720000000204891,10422592.419999999925494
20111212,2100167.719999999739230,2055954.059999999823049,2053945.050000000046566,2043844.839999999850988,2102061.080000000074506,10355972.750000000000000
20111213,2083660.679999999701977,2028233.699999999720603,2074073.800000000046566,2003372.680000000167638,2140205.120000000577420,10329545.980000000447035
20111214,2037516.000000000000000,2009240.119999999878928,2060386.250000000000000,1989881.960000000195578,2150514.320000000298023,10247538.650000000372529
20111215,2030763.119999999878928,2023613.639999999897555,2057970.799999999813735,1983136.599999999860302,2179380.080000000074506,10274864.239999998360872
20111216,2042017.919999999692664,2074947.639999999897555,2093397.399999999906868,1974704.900000000139698,2168039.960000000428408,10353107.820000000298023
20111219,2048395.639999999897555,2063654.159999999916181,2055555.350000000093132,1968802.710000000195578,2179380.080000000074506,10315787.940000001341105
20111220,2121927.000000000000000,2153488.660000000149012,2095812.850000000093132,1973861.729999999981374,2212369.520000000484288,10557459.760000001639128
20111221,2124928.280000000260770,2156055.359999999869615,2074073.800000000046566,2031197.290000000037253,2235049.760000000242144,10621304.490000000223517
20111222,2136183.080000000074506,2151948.640000000130385,2078099.549999999813735,1999156.830000000074506,2229895.160000000149012,10595283.260000001639128
20111223,2161693.959999999962747,2160675.419999999925494,2095812.850000000093132,2043001.670000000158325,2250513.560000000055879,10711697.460000000894070
20111227,2178951.319999999366701,2167348.839999999850988,2096617.999999999767169,2060708.240000000223517,2244328.040000000037253,10747954.439999997615814
20111228,2157942.360000000335276,2131928.379999999888241,2078904.699999999953434,2032883.629999999888241,2219585.960000000428408,10621245.030000001192093
20111229,2171072.959999999962747,2156568.699999999720603,2095007.699999999953434,2054806.050000000046566,2238142.520000000484288,10715597.929999999701977
20111230,2170697.799999999813735,2158108.719999999739230,2090176.800000000046566,2031197.290000000037253,2230926.080000000074506,10681106.689999999478459
20120103,2204087.040000000037253,2163242.120000000111759,2155393.949999999720603,2040472.159999999916181,2264946.439999999944121,10828141.709999999031425
20120104,2215717.000000000000000,2194042.520000000018626,2206118.399999999906868,2070826.279999999795109,2244328.040000000037253,10931032.239999998360872
20120105,2240477.559999999590218,2212009.419999999925494,2228662.600000000093132,2069139.939999999944121,2226802.400000000372529,10977091.919999999925494
20120106,2263737.479999999515712,2217656.160000000149012,2263284.049999999813735,2065767.260000000009313,2223709.640000000130385,11034154.589999999850988
20120109,2260361.040000000037253,2219196.179999999701977,2233493.500000000000000,2073355.790000000037253,2249482.640000000130385,11035889.150000000372529
20120110,2268239.399999999441206,2234596.379999999888241,2241545.000000000000000,2075885.300000000046566,2261853.680000000167638,11082119.759999999776483
20120111,2264487.799999999813735,2231003.000000000000000,2231883.199999999720603,2069139.939999999944121,2257730.000000000000000,11054243.939999999478459
20120112,2258485.240000000223517,2227409.620000000111759,2254427.399999999906868,2089376.020000000018626,2267008.279999999795109,11096706.559999998658895
20120113,2249856.559999999590218,2233569.699999999720603,2274556.149999999906868,2072512.619999999878928,2251544.479999999981374,11082039.509999999776483
