訓練日期,20131106 - 20140210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11506584.080000000074506
真實報酬,1506584.080000000074506

夏普值報酬,0.141958408000000
夏普值風險,0.039859001165357
夏普值,3.561514434621174

預期報酬,22697.401785085141455
風險,116094.336360861387220
趨勢值,0.195508260752133
找到最佳解世代,4362
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
CAT[3](4),MRK[17](1),V[25](3),
Stock#,CAT[3](4),MRK[17](1),V[25](3),
張數,39658,73486,67558,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,78.100000000093132,8.040000000037253,21.279999999795109,
20131106,3340074.859999999869615,3377424.600000000093132,3361707.359999999869615,10079207.820000000298023
20131107,3317469.800000000279397,3367136.560000000055879,3312390.020000000018626,9996997.380000000819564
20131108,3340868.020000000018626,3439152.839999999850988,3348871.339999999850988,10128893.199999999254942
20131111,3337298.800000000279397,3453850.040000000037253,3365760.839999999850988,10156910.679999999701977
20131112,3325401.399999999906868,3497206.780000000260770,3348871.339999999850988,10171480.519999999552965
20131113,3339281.700000000186265,3478835.280000000260770,3374543.379999999888241,10192661.359999999403954
20131114,3321832.180000000167638,3514108.560000000055879,3380623.599999999627471,10216565.339999999850988
20131115,3321039.020000000018626,3532480.060000000055879,3411700.279999999795109,10265220.359999999403954
20131118,3332936.420000000391155,3528070.899999999906868,3376570.119999999646097,10237578.439999999478459
20131119,3318262.959999999962747,3532480.060000000055879,3334008.580000000074506,10184752.599999999627471
20131120,3279001.540000000502914,3536889.220000000204891,3346169.020000000018626,10162060.780000001192093
20131121,3256793.060000000055879,3572897.359999999869615,3404944.479999999515712,10234635.899999998509884
20131122,3286933.140000000130385,3596412.879999999888241,3413727.020000000018626,10297074.039999999105930
20131125,3347213.300000000279397,3649322.799999999813735,3410349.119999999646097,10406886.219999998807907
20131126,3345626.979999999981374,3643443.919999999925494,3437372.319999999832362,10426444.220000000670552
20131127,3357920.959999999962747,3661815.419999999925494,3445479.279999999795109,10465216.660000000149012
20131129,3355144.899999999906868,3661815.419999999925494,3436696.739999999757856,10453658.060000000521541
20131202,3341264.600000000093132,3687535.520000000018626,3464395.520000000018626,10493196.640000000596046
20131203,3326194.560000000055879,3656671.399999999906868,3407646.799999999813735,10390513.759999999776483
20131204,3330160.359999999869615,3623602.700000000186265,3424536.299999999813735,10378300.359999999403954
20131205,3347609.879999999888241,3586859.700000000186265,3406971.219999999739230,10341441.800000000745058
20131206,3390837.100000000093132,3629481.580000000074506,3409673.539999999571592,10429993.219999998807907
20131209,3414235.320000000298023,3641974.200000000186265,3404944.479999999515712,10461155.000000000000000
20131210,3427322.459999999962747,3632421.020000000018626,3368463.159999999683350,10428207.640000000596046
20131211,3382112.340000000316650,3597147.740000000223517,3473853.640000000130385,10453114.720000000670552
20131212,3393613.159999999683350,3550851.560000000055879,3436021.159999999683350,10380486.879999998956919
20131213,3412649.000000000000000,3555260.720000000204891,3502228.000000000000000,10470138.720000000670552
20131216,3465394.140000000130385,3533949.780000000260770,3508983.799999999813735,10508328.719999998807907
20131217,3447151.459999999962747,3519987.439999999944121,3601538.259999999776483,10568678.160000000149012
20131218,3496723.959999999962747,3593473.439999999944121,3637344.000000000000000,10727542.400000000372529
20131219,3471739.420000000391155,3585389.979999999981374,3649504.439999999944121,10706634.839999999850988
20131220,3526864.040000000502914,3624337.560000000055879,3647477.699999999720603,10798680.300000000745058
20131223,3567711.779999999795109,3627277.000000000000000,3682607.859999999869615,10877597.639999998733401
20131224,3605386.879999999888241,3630951.299999999813735,3694092.719999999739230,10930431.899999998509884
20131226,3614904.800000000279397,3653731.959999999962747,3719089.179999999701977,10987726.939999999478459
20131227,3603800.560000000055879,3658875.979999999981374,3710306.640000000130385,10972984.179999999701977
20131230,3603800.560000000055879,3669898.879999999888241,3731249.619999999646097,11004950.059999998658895
20131231,3601421.080000000074506,3677982.339999999850988,3760975.140000000130385,11040379.560000000521541
20140102,3564142.560000000055879,3636830.180000000167638,3732600.779999999795109,10933574.519999999552965
20140103,3562159.659999999683350,3654466.819999999832362,3735303.099999999627471,10951930.579999998211861
20140106,3515363.220000000204891,3655201.680000000167638,3713008.959999999962747,10883574.859999999403954
20140107,3526864.040000000502914,3682391.500000000000000,3741383.319999999832362,10950639.860000001266599
20140108,3535192.220000000204891,3658875.979999999981374,3753543.759999999776483,10947612.960000000894070
20140109,3557797.279999999795109,3639034.760000000242144,3748139.119999999646097,10944972.160000000149012
20140110,3589523.680000000167638,3665489.720000000204891,3734627.520000000018626,10989641.919999999925494
20140113,3564935.720000000204891,3903584.359999999869615,3697470.619999999646097,11165991.699999999254942
20140114,3591506.580000000074506,3894766.040000000037253,3760299.559999999590218,11246573.179999999701977
20140115,3664873.879999999888241,3859492.760000000242144,3779215.799999999813735,11303583.440000001341105
20140116,3649010.680000000167638,3858023.040000000037253,3745436.799999999813735,11252471.519999999552965
20140117,3626405.620000000111759,3817605.740000000223517,3921763.179999999701977,11365775.539999999105930
20140121,3593092.899999999906868,3808787.419999999925494,3917034.119999999646097,11318915.439999999478459
20140122,3555021.220000000204891,3773514.140000000130385,3935274.779999999795109,11263811.140000000596046
20140123,3509017.940000000409782,3791885.640000000130385,3854880.759999999776483,11155785.339999999850988
20140124,3417407.959999999962747,3819810.319999999832362,3736654.259999999776483,10973873.539999999105930
20140127,3620456.920000000391155,3860227.620000000111759,3652206.759999999776483,11132892.300000000745058
20140128,3667253.359999999869615,3885212.859999999869615,3731925.199999999720603,11284392.419999999925494
20140129,3593886.060000000055879,3836712.100000000093132,3667069.520000000018626,11097668.679999999701977
20140130,3696203.700000000186265,3932243.899999999906868,3730574.039999999571592,11359022.639999998733401
20140131,3724360.879999999888241,3892561.459999999962747,3638695.159999999683350,11255618.500000000000000
20140203,3665270.459999999962747,3827158.919999999925494,3605591.739999999757856,11098022.119999999180436
20140204,3668443.100000000093132,3932243.899999999906868,3623832.399999999906868,11224520.400000000372529
20140205,3647027.779999999795109,3933713.620000000111759,3641397.479999999515712,11222139.879999998956919
20140206,3721188.240000000223517,3951350.260000000242144,3698821.779999999795109,11371361.279999999329448
20140207,3762432.560000000055879,4024836.260000000242144,3746112.379999999888241,11533382.199999999254942
20140210,3747759.100000000093132,4033654.580000000074506,3725169.399999999906868,11506584.080000000074506
