訓練日期,20091229 - 20100401
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11228047.010000001639128
真實報酬,1228047.010000001639128

夏普值報酬,0.114104701000000
夏普值風險,0.037753048464398
夏普值,3.022397015372283

預期報酬,19642.747819356220134
風險,135072.085809515177971
趨勢值,0.145424183698898
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),PG[21](2),TRV[22](3),UNH[23](4),
Stock#,BA[2](1),PG[21](2),TRV[22](3),UNH[23](4),
張數,45339,40816,50170,79643,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.540000000037253,20.000000000000000,28.899999999906868,6.229999999981374,
20091229,2503173.729999999981374,2513469.279999999795109,2502006.799999999813735,2456992.780000000260770,9975642.589999999850988
20091230,2491838.979999999981374,2504897.919999999925494,2521573.099999999627471,2469735.660000000149012,9988045.660000000149012
20091231,2454207.610000000335276,2474694.080000000074506,2501505.100000000093132,2427524.870000000111759,9857931.660000000149012
20100104,2547152.560000000055879,2494693.919999999925494,2498996.600000000093132,2511150.020000000018626,10051993.099999999627471
20100105,2630576.320000000298023,2495510.240000000223517,2439796.000000000000000,2507167.870000000111759,10073050.429999999701977
20100106,2710372.959999999962747,2483673.600000000093132,2405178.699999999720603,2531857.199999999720603,10131082.459999999031425
20100107,2820093.340000000316650,2470204.320000000298023,2439796.000000000000000,2629021.659999999683350,10359115.320000000298023
20100108,2792889.939999999944121,2466939.040000000037253,2436284.100000000093132,2604332.330000000074506,10300445.410000000149012
20100111,2759792.469999999739230,2457143.200000000186265,2435280.699999999720603,2621853.790000000037253,10274070.160000000149012
20100112,2739843.310000000055879,2485306.240000000223517,2450833.399999999906868,2552564.379999999888241,10228547.330000001937151
20100113,2772940.779999999795109,2511020.320000000298023,2459362.300000000279397,2591589.449999999720603,10334912.849999999627471
20100114,2791076.380000000353903,2513469.279999999795109,2472406.500000000000000,2653710.990000000223517,10430663.150000000372529
20100115,2757525.520000000018626,2482449.120000000111759,2447823.199999999720603,2687957.479999999981374,10375755.320000000298023
20100119,2749817.890000000130385,2519183.520000000018626,2479932.000000000000000,2797864.820000000298023,10546798.230000000447035
20100120,2729415.340000000316650,2467347.200000000186265,2454847.000000000000000,2751671.879999999888241,10403281.420000001788139
20100121,2684076.340000000316650,2442449.439999999944121,2455850.399999999906868,2636189.530000000260770,10218565.710000000894070
20100122,2619241.570000000298023,2461632.959999999962747,2423741.600000000093132,2640968.109999999869615,10145584.240000000223517
20100125,2619694.959999999962747,2474694.080000000074506,2452840.199999999720603,2628225.229999999981374,10175454.470000000670552
20100126,2616521.229999999981374,2477143.040000000037253,2520067.999999999534339,2583625.149999999906868,10197357.419999999925494
20100127,2807851.810000000055879,2482040.959999999962747,2553681.899999999906868,2647339.550000000279397,10490914.220000000670552
20100128,2836415.380000000353903,2517550.879999999888241,2522074.800000000279397,2662471.719999999739230,10538512.780000001192093
20100129,2747550.939999999944121,2512244.799999999813735,2542142.799999999813735,2628225.229999999981374,10430163.769999999552965
20100201,2797423.840000000316650,2530203.839999999850988,2543146.199999999720603,2638578.820000000298023,10509352.699999999254942
20100202,2808305.199999999720603,2567346.399999999906868,2563214.200000000186265,2711850.379999999888241,10650716.179999999701977
20100203,2786542.479999999981374,2557142.399999999906868,2537125.799999999813735,2653710.990000000223517,10534521.669999999925494
20100204,2689517.020000000018626,2506122.399999999906868,2494982.999999999534339,2585218.010000000242144,10275840.429999999701977
