訓練日期,20111021 - 20120125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11907697.199999999254942
真實報酬,1907697.199999999254942

夏普值報酬,0.182069720000000
夏普值風險,0.052563969175658
夏普值,3.463774194668633

預期報酬,30355.826193135118956
風險,155282.138731008424656
趨勢值,0.195488202578919
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](3),
Stock#,HD[9](1),MCD[15](3),
張數,139938,56173,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.260000000707805,41.269999999552965,
20111021,5158129.940000000409782,5185932.629999998956919,10344062.570000000298023
20111024,5135739.860000001266599,5168519.000000000000000,10304258.860000001266599
20111025,5043380.780000000260770,5155037.479999999515712,10198418.259999999776483
20111026,5114749.160000000149012,5155599.209999999962747,10270348.370000001043081
20111027,5229498.320000000298023,5252778.500000000000000,10482276.820000000298023
20111028,5054575.820000000298023,5240420.439999999478459,10294996.259999999776483
20111031,5009795.660000000149012,5215704.319999999366701,10225499.980000000447035
20111101,4973411.780000000260770,5162901.699999999254942,10136313.480000000447035
20111102,5036383.880000000819564,5197728.959999999962747,10234112.839999999850988
20111103,5100755.360000001266599,5224130.269999999552965,10324885.630000000819564
20111104,5092359.080000001005828,5269630.399999999441206,10361989.480000000447035
20111107,5225300.180000001564622,5315130.530000000260770,10540430.710000000894070
20111108,5309262.980000000447035,5314007.069999999366701,10623270.050000000745058
20111109,5200111.339999999850988,5204469.719999999739230,10404581.059999998658895
20111110,5205708.860000001266599,5238735.250000000000000,10444444.110000001266599
20111111,5326055.540000000968575,5322994.750000000000000,10649050.290000000968575
20111114,5352643.760000000707805,5283673.649999999441206,10636317.410000000149012
20111115,5327454.920000000856817,5306704.579999999143183,10634159.500000000000000
20111116,5295269.180000001564622,5232556.219999999739230,10527825.400000002235174
20111117,5264482.820000000298023,5184247.439999999478459,10448730.259999999776483
20111118,5300866.700000001117587,5209525.289999999105930,10510391.990000000223517
20111121,5186117.540000000968575,5183685.709999999962747,10369803.250000000000000
20111122,5191715.060000000521541,5204469.719999999739230,10396184.780000001192093
20111123,5110551.020000001415610,5160654.780000000260770,10271205.800000000745058
20111125,5103554.120000000111759,5173574.569999999366701,10277128.689999999478459
20111128,5219702.660000000149012,5266821.750000000000000,10486524.410000000149012
20111129,5451999.740000001154840,5249969.849999999627471,10701969.589999999850988
20111130,5488383.620000000111759,5365686.229999999515712,10854069.849999999627471
20111201,5505176.180000001564622,5364562.769999999552965,10869738.950000001117587
20111202,5589138.980000000447035,5375797.370000000111759,10964936.350000001490116
20111205,5629721.000000000000000,5356136.819999999366701,10985857.820000000298023
20111206,5642315.420000000856817,5393211.000000000000000,11035526.420000001788139
20111207,5699690.000000000000000,5417927.120000000111759,11117617.120000001043081
20111208,5584940.839999999850988,5444328.429999999701977,11029269.269999999552965
20111209,5629721.000000000000000,5506680.459999999962747,11136401.460000000894070
20111212,5604532.160000000149012,5531958.309999999590218,11136490.469999998807907
20111213,5528965.640000000596046,5504995.269999999552965,11033960.910000000149012
20111214,5477188.580000001005828,5483087.799999999813735,10960276.380000000819564
20111215,5516371.220000000670552,5512859.489999999292195,11029230.710000000894070
20111216,5656309.220000000670552,5476347.039999999105930,11132656.259999999776483
20111219,5625522.860000001266599,5462303.789999999105930,11087826.650000000372529
20111220,5870414.360000001266599,5551057.129999998956919,11421471.490000000223517
20111221,5877411.260000000707805,5572402.870000000111759,11449814.130000000819564
20111222,5866216.220000000670552,5538699.069999999366701,11404915.289999999105930
20111223,5890005.680000001564622,5625767.219999999739230,11515772.900000002235174
20111227,5908197.620000000111759,5648236.419999998994172,11556434.039999999105930
20111228,5811640.400000001303852,5593748.609999999403954,11405389.010000001639128
20111229,5878810.640000000596046,5662841.399999999441206,11541652.039999999105930
20111230,5883008.780000000260770,5635878.359999999403954,11518887.140000000596046
20120103,5897002.580000001005828,5552180.589999999850988,11449183.170000001788139
20120104,5980965.380000000819564,5583075.739999999292195,11564041.120000001043081
20120105,6029943.680000001564622,5607791.859999999403954,11637735.540000000968575
20120106,6045336.860000001266599,5651045.069999999366701,11696381.929999999701977
20120109,6049535.000000000000000,5597118.989999999292195,11646653.989999998360872
20120110,6091516.400000001303852,5600489.370000000111759,11692005.770000001415610
20120111,6081720.740000001154840,5613409.160000000149012,11695129.900000002235174
20120112,6071925.080000001005828,5649359.879999998956919,11721284.960000000894070
20120113,6088717.640000000596046,5637001.819999999366701,11725719.460000000894070
20120117,6120903.380000000819564,5648236.419999998994172,11769139.800000000745058
20120118,6280432.700000001117587,5704971.149999999441206,11985403.850000001490116
20120119,6354599.839999999850988,5688119.250000000000000,12042719.089999999850988
20120120,6228655.640000000596046,5715082.289999999105930,11943737.929999999701977
20120123,6280432.700000001117587,5670705.620000000111759,11951138.320000000298023
20120124,6291627.740000001154840,5547125.019999999552965,11838752.760000001639128
20120125,6333609.140000000596046,5574088.059999999590218,11907697.199999999254942
