訓練日期,20111220 - 20120323
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13212208.750000000000000
真實報酬,3212208.750000000000000

夏普值報酬,0.312520875000000
夏普值風險,0.083984313498248
夏普值,3.721181515718621

預期報酬,54488.763039022029261
風險,114596.210113104680204
趨勢值,0.475484861019771
找到最佳解世代,2567
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](4),NKE[19](2),
Stock#,AAPL[0](1),MSFT[18](4),NKE[19](2),
張數,61050,130565,142755,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.000000000000000,8.549999999813735,3.750000000000000,
20111220,3452991.000000000000000,3398615.500000000000000,3341898.299999999813735,10193505.800000000745058
20111221,3457875.000000000000000,3363362.950000000186265,3438971.700000000186265,10260210.650000000372529
20111222,3476190.000000000000000,3369891.199999999720603,3384724.800000000279397,10230807.000000000000000
20111223,3517704.000000000000000,3398615.500000000000000,3458957.399999999906868,10375277.900000000372529
20111227,3545787.000000000000000,3399921.149999999906868,3488935.950000000186265,10434645.100000001490116
20111228,3511599.000000000000000,3371196.849999999627471,3441826.799999999813735,10324623.649999998509884
20111229,3532966.500000000000000,3397309.849999999627471,3478943.100000000093132,10409220.449999999254942
20111230,3532356.000000000000000,3389475.949999999720603,3438971.700000000186265,10360804.649999998509884
20120103,3586690.500000000000000,3495233.599999999627471,3454674.750000000000000,10536599.849999999627471
20120104,3605616.000000000000000,3577489.549999999813735,3506066.549999999813735,10689173.099999999627471
20120105,3645909.000000000000000,3614047.750000000000000,3503211.449999999720603,10763169.199999999254942
20120106,3683760.000000000000000,3670190.699999999720603,3497501.250000000000000,10851452.949999999254942
20120109,3678265.500000000000000,3621881.649999999441206,3510349.200000000186265,10810497.349999999627471
20120110,3691086.000000000000000,3634938.149999999906868,3514631.850000000093132,10840657.000000000000000
20120111,3684981.000000000000000,3619270.349999999627471,3503211.449999999720603,10807463.799999998882413
20120112,3675213.000000000000000,3655828.549999999813735,3537472.650000000372529,10868515.199999999254942
20120113,3661171.500000000000000,3688469.799999999813735,3508921.649999999906868,10858563.949999999254942
20120117,3703906.500000000000000,3689775.450000000186265,3541755.299999999813735,10935438.250000000000000
20120118,3742368.000000000000000,3685858.500000000000000,3600284.849999999627471,11028512.349999999627471
20120119,3730768.500000000000000,3671496.350000000093132,3625980.750000000000000,11028246.599999999627471
20120120,3665445.000000000000000,3879094.699999999720603,3631690.950000000186265,11176231.649999998509884
20120123,3727716.000000000000000,3881706.000000000000000,3624553.200000000186265,11233976.199999999254942
20120124,3666666.000000000000000,3830785.649999999906868,3647394.000000000000000,11144846.650000000372529
20120125,3895603.500000000000000,3859509.949999999720603,3683082.750000000000000,11438197.199999999254942
20120126,3877899.000000000000000,3851676.049999999813735,3651676.649999999906868,11381252.699999999254942
20120127,3901098.000000000000000,3816423.500000000000000,3644538.900000000372529,11362061.400000000372529
20120130,3951159.000000000000000,3866038.199999999720603,3690220.500000000000000,11507418.699999999254942
