訓練日期,20151231 - 20160405
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11346750.400000000372529
真實報酬,1346750.400000000372529

夏普值報酬,0.125975040000000
夏普值風險,0.046048692277465
夏普值,2.735692020110823

預期報酬,22002.987009128271893
風險,185206.114712811278878
趨勢值,0.118802702833257
找到最佳解世代,2079
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](2),WMT[28](1),
Stock#,VZ[26](2),WMT[28](1),
張數,106906,81063,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.379999999888241,34.160000000149012,
20151231,4941201.700000000186265,4969196.059999999590218,9910397.759999999776483
20160104,4903784.599999999627471,4982166.140000000596046,9885950.740000000223517
20160105,4971135.379999999888241,5100518.120000000111759,10071653.500000000000000
20160106,4866367.500000000000000,5151587.809999999590218,10017955.309999998658895
20160107,4839641.000000000000000,5271561.049999999813735,10111202.050000000745058
20160108,4792602.359999999403954,5150777.179999999701977,9943379.539999999105930
20160111,4820397.919999999925494,5205900.020000000484288,10026297.940000001341105
20160112,4803292.959999999962747,5157262.219999999739230,9960555.179999999701977
20160113,4719906.279999999329448,5019455.120000000111759,9739361.399999998509884
20160114,4796878.599999999627471,5111866.940000000409782,9908745.539999999105930
20160115,4749839.959999999962747,5020265.750000000000000,9770105.710000000894070
20160119,4796878.599999999627471,5071335.440000000409782,9868214.039999999105930
20160120,4748770.900000000372529,4931907.080000000074506,9680677.980000000447035
20160121,4903784.599999999627471,5016212.600000000558794,9919997.199999999254942
20160122,5028864.620000000111759,5081873.629999999888241,10110738.250000000000000
20160125,5027795.559999999590218,5143481.510000000707805,10171277.070000000298023
20160126,5158220.879999999888241,5188066.160000000149012,10346287.039999999105930
20160127,5241607.559999999590218,5184013.010000000707805,10425620.570000000298023
20160128,5239469.439999999478459,5205900.020000000484288,10445369.460000000894070
20160129,5342099.200000000186265,5379374.839999999850988,10721474.039999999105930
20160201,5426554.939999999478459,5471786.660000000149012,10898341.599999999627471
20160202,5335684.839999999850988,5419906.339999999850988,10755591.179999999701977
20160203,5411588.099999999627471,5372079.169999999925494,10783667.269999999552965
20160204,5391275.959999999962747,5384238.620000000111759,10775514.580000000074506
20160205,5449005.200000000186265,5431255.160000000149012,10880260.359999999403954
20160208,5424416.820000000298023,5423148.860000000335276,10847565.679999999701977
20160209,5361342.279999999329448,5334790.190000000409782,10696132.469999998807907
20160210,5343168.259999999776483,5333168.930000000633299,10676337.190000001341105
20160211,5280093.719999999739230,5295069.319999999366701,10575163.039999999105930
20160212,5357066.040000000037253,5364783.500000000931323,10721849.540000000968575
20160216,5370963.820000000298023,5342085.860000000335276,10713049.679999999701977
20160217,5379516.299999999813735,5359109.089999999850988,10738625.390000000596046
20160218,5445798.019999999552965,5197793.720000000670552,10643591.740000000223517
20160219,5437245.540000000037253,5241567.740000000223517,10678813.280000001192093
20160222,5459695.799999999813735,5320198.849999999627471,10779894.649999998509884
20160223,5412657.160000000149012,5389102.400000000372529,10801759.560000000521541
20160224,5432969.299999999813735,5440982.720000000670552,10873952.019999999552965
20160225,5463972.040000000037253,5515560.680000000633299,10979532.720000000670552
20160226,5454350.500000000000000,5391534.290000000968575,10845884.790000000968575
20160229,5423347.759999999776483,5377753.580000000074506,10801101.339999999850988
20160301,5501389.139999999664724,5387481.139999999664724,10888870.279999999329448
20160302,5571947.099999999627471,5367215.389999999664724,10939162.489999998360872
20160303,5547358.719999999739230,5361540.980000000447035,10908899.699999999254942
20160304,5538806.240000000223517,5413421.299999999813735,10952227.539999999105930
20160307,5581568.639999999664724,5503401.230000000447035,11084969.870000001043081
20160308,5608295.139999999664724,5515560.680000000633299,11123855.820000000298023
20160309,5595466.419999999925494,5474218.549999999813735,11069684.969999998807907
20160310,5593328.299999999813735,5464490.990000000223517,11057819.289999999105930
20160311,5615778.559999999590218,5445035.870000000111759,11060814.429999999701977
20160314,5616847.620000000111759,5460437.839999999850988,11077285.460000000894070
20160315,5630745.400000000372529,5519613.830000000074506,11150359.230000000447035
20160316,5688474.639999999664724,5511507.529999999329448,11199982.169999998062849
20160317,5733375.160000000149012,5467733.510000000707805,11201108.670000001788139
20160318,5691681.820000000298023,5427202.010000000707805,11118883.830000001937151
20160321,5713063.019999999552965,5509886.270000000484288,11222949.289999999105930
20160322,5688474.639999999664724,5501779.970000000670552,11190254.609999999403954
20160323,5656402.839999999850988,5468544.139999999664724,11124946.980000000447035
20160324,5725891.740000000223517,5512318.160000000149012,11238209.900000000372529
20160328,5708786.779999999329448,5522045.720000000670552,11230832.500000000000000
20160329,5778275.679999999701977,5514750.049999999813735,11293025.730000000447035
20160330,5777206.620000000111759,5577168.559999999590218,11354375.179999999701977
20160331,5781482.859999999403954,5552039.029999999329448,11333521.889999998733401
20160401,5773999.439999999478459,5598244.940000000409782,11372244.379999998956919
20160404,5817830.900000000372529,5601487.459999999962747,11419318.359999999403954
20160405,5782551.919999999925494,5564198.480000000447035,11346750.400000000372529
