訓練日期,20141020 - 20150122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11553124.219999998807907
真實報酬,1553124.219999998807907

夏普值報酬,0.146612422000000
夏普值風險,0.039075406764560
夏普值,3.752038280327551

預期報酬,23618.910602572999778
風險,123311.047320617450168
趨勢值,0.191539291213399
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
IBM[10](30),PFE[20](5),UNH[23](3),WBA[27](1),WMT[28](4),
Stock#,IBM[10](30),PFE[20](5),UNH[23](3),WBA[27](1),WMT[28](4),
張數,10985,71864,22680,33184,26990,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,180.749999999767169,24.880000000121072,77.599999999860302,0.319999999832362,41.000000000232831,
20141020,1857744.249999999767169,2007186.400000000139698,2008164.800000000046566,1997677.119999999878928,2028069.600000000325963,9898842.169999999925494
20141021,1793262.299999999580905,2032338.800000000279397,2062823.599999999860302,2042475.519999999785796,2051820.800000000046566,9982721.019999999552965
20141022,1777443.899999999674037,2033776.080000000074506,2036061.199999999720603,2040816.319999999832362,2052090.700000000186265,9940188.199999999254942
20141023,1781728.049999999813735,2055335.280000000260770,2056246.399999999674037,2059731.199999999953434,2058028.500000000232831,10011069.429999999701977
20141024,1780629.549999999813735,2091985.920000000158325,2078472.799999999813735,2078977.919999999692664,2061537.200000000186265,10091603.390000000596046
20141027,1778322.699999999720603,2086236.800000000279397,2089585.999999999767169,2094242.559999999823049,2067205.100000000325963,10115593.160000000149012
20141028,1797326.749999999767169,2090548.640000000130385,2101152.799999999813735,2113821.120000000111759,2060727.500000000000000,10163576.809999998658895
20141029,1795788.849999999860302,2119294.240000000223517,2108410.399999999441206,2084951.039999999804422,2061807.100000000325963,10170251.629999998956919
20141030,1805565.499999999767169,2144446.639999999664724,2129276.000000000000000,2089264.959999999962747,2063426.500000000232831,10231979.599999999627471
20141031,1806114.749999999767169,2152351.679999999701977,2154904.400000000372529,2131076.799999999813735,2058568.300000000046566,10303015.929999999701977
20141103,1805675.349999999860302,2169599.040000000037253,2151502.399999999441206,2156296.640000000130385,2058838.200000000186265,10341911.629999998956919
20141104,1786890.999999999767169,2176066.799999999813735,2154224.000000000000000,2164924.479999999515712,2085288.400000000372529,10367394.679999999701977
20141105,1777773.449999999720603,2158819.440000000409782,2172821.599999999627471,2178861.759999999776483,2097164.000000000000000,10385440.250000000000000
20141106,1773818.849999999860302,2158819.440000000409782,2182120.399999999441206,2211713.919999999925494,2100132.900000000372529,10426605.509999999776483
20141107,1780519.699999999720603,2150195.760000000707805,2123152.399999999441206,2220673.600000000093132,2126043.299999999813735,10400584.759999997913837
20141110,1796118.399999999906868,2170317.679999999701977,2149007.599999999627471,2249211.839999999850988,2144126.600000000558794,10508782.120000001043081
20141111,1794031.250000000000000,2178941.360000000335276,2170326.799999999813735,2239920.319999999832362,2132520.900000000372529,10515740.630000000819564
20141112,1778871.949999999720603,2186127.760000000707805,2170100.000000000000000,2237929.279999999795109,2137649.000000000000000,10510677.990000000223517
20141113,1788428.899999999674037,2186127.760000000707805,2175089.599999999627471,2222000.959999999497086,2238591.600000000558794,10610238.820000000298023
20141114,1803478.349999999627471,2180378.639999999664724,2157172.399999999441206,2221005.439999999944121,2239131.400000000372529,10601166.229999998584390
20141117,1803478.349999999627471,2178941.360000000335276,2188017.200000000186265,2208395.519999999552965,2255595.299999999813735,10634427.730000000447035
20141118,1778542.399999999674037,2198344.639999999664724,2227026.799999999813735,2258503.359999999869615,2261533.100000000558794,10723950.300000000745058
20141119,1773489.299999999813735,2187565.040000000037253,2196862.399999999441206,2249543.680000000167638,2293921.100000000558794,10701381.519999999552965
20141120,1764811.149999999674037,2187565.040000000037253,2196635.599999999627471,2234610.879999999888241,2282855.200000000186265,10666477.869999999180436
20141121,1767886.949999999720603,2188283.679999999701977,2193460.399999999441206,2242906.879999999888241,2284744.500000000000000,10677282.410000000149012
20141124,1781398.499999999767169,2171754.959999999962747,2197769.599999999627471,2247552.640000000130385,2304987.000000000000000,10703462.699999999254942
20141125,1777114.349999999627471,2189720.959999999962747,2220449.599999999627471,2250207.359999999869615,2292841.500000000000000,10730333.769999999552965
20141126,1779201.499999999534339,2234995.280000000260770,2225212.399999999441206,2272108.799999999813735,2293651.200000000186265,10805169.179999999701977
20141128,1781618.199999999720603,2238588.480000000447035,2237006.000000000000000,2276754.559999999590218,2362745.600000000558794,10896712.839999999850988
20141201,1774697.649999999674037,2246493.520000000484288,2246758.400000000372529,2248879.999999999534339,2327118.799999999813735,10843948.370000001043081
20141202,1787110.699999999720603,2268771.360000000335276,2264222.000000000000000,2215032.319999999832362,2331977.000000000000000,10867113.380000000819564
20141203,1807432.949999999953434,2281706.879999999888241,2286221.599999999627471,2235938.239999999757856,2292571.600000000558794,10903871.269999999552965
20141204,1802270.000000000000000,2275957.760000000707805,2260593.200000000186265,2253193.919999999925494,2287713.400000000372529,10879728.280000001192093
20141205,1793701.699999999953434,2298954.240000000223517,2275562.000000000000000,2276422.719999999739230,2270439.800000000745058,10915080.460000000894070
20141208,1778212.849999999860302,2297516.959999999962747,2266263.200000000186265,2247552.640000000130385,2273408.700000000186265,10862954.350000001490116
20141209,1790625.899999999906868,2296079.679999999701977,2291211.200000000186265,2276090.879999999888241,2255325.400000000372529,10909333.060000000521541
20141210,1763383.099999999627471,2289611.919999999925494,2247438.799999999813735,2261489.919999999925494,2239671.200000000186265,10801594.939999997615814
20141211,1769534.699999999720603,2274520.480000000447035,2261954.000000000000000,2422764.160000000149012,2262612.700000000186265,10991386.039999999105930
20141212,1707030.049999999813735,2224215.679999999701977,2239954.400000000372529,2472208.319999999832362,2262072.900000000372529,10905481.349999999627471
20141215,1681544.849999999860302,2217747.919999999925494,2228841.200000000186265,2437033.279999999795109,2265581.600000000558794,10830748.850000001490116
20141216,1663419.599999999627471,2204093.760000000707805,2173955.599999999627471,2402190.080000000074506,2239131.400000000372529,10682790.439999999478459
20141217,1669131.799999999813735,2236432.560000000521541,2248572.799999999813735,2388916.479999999515712,2273408.700000000186265,10816462.339999999850988
20141218,1732295.549999999813735,2297516.959999999962747,2318880.799999999813735,2468226.239999999757856,2319561.600000000558794,11136481.149999998509884
20141219,1741413.099999999627471,2295361.040000000037253,2324550.799999999813735,2430064.640000000130385,2298509.400000000372529,11089898.980000000447035
20141222,1773599.149999999674037,2306140.640000000596046,2337024.799999999813735,2464575.999999999534339,2331437.200000000186265,11212777.789999999105930
20141223,1782387.149999999906868,2260147.679999999701977,2332715.599999999627471,2538908.160000000149012,2338994.400000000372529,11253152.990000000223517
20141224,1777773.449999999720603,2257991.760000000707805,2328860.000000000000000,2544217.600000000093132,2332786.700000000186265,11241629.510000001639128
20141226,1783485.649999999906868,2274520.480000000447035,2325911.599999999627471,2537248.959999999497086,2345741.900000000372529,11266908.589999999850988
20141229,1763383.099999999627471,2255835.839999999850988,2320922.000000000000000,2548199.680000000167638,2338454.600000000558794,11226795.219999998807907
20141230,1758330.000000000000000,2255117.200000000186265,2332715.599999999627471,2523643.519999999552965,2342503.100000000558794,11212309.420000001788139
20141231,1762614.149999999674037,2238588.480000000447035,2292798.799999999813735,2528621.120000000111759,2317942.200000000186265,11140564.750000000000000
20150102,1780409.849999999860302,2251524.000000000000000,2285768.000000000000000,2521984.319999999832362,2318482.000000000000000,11158168.169999999925494
20150105,1752398.099999999627471,2239307.120000000111759,2248119.200000000186265,2472208.319999999832362,2311734.500000000000000,11023767.240000000223517
20150106,1714609.699999999720603,2257991.760000000707805,2243583.200000000186265,2478513.279999999795109,2329547.900000000372529,11024245.839999999850988
20150107,1703405.000000000000000,2288893.280000000260770,2266490.000000000000000,2541894.719999999739230,2391355.000000000000000,11192038.000000000000000
20150108,1740424.449999999720603,2335604.879999999888241,2374673.599999999627471,2573419.519999999552965,2441826.299999999813735,11465948.750000000000000
20150109,1748004.099999999860302,2346384.480000000447035,2352447.200000000186265,2511033.600000000093132,2411597.500000000000000,11369466.880000000819564
20150112,1718674.149999999674037,2355008.160000000149012,2325911.599999999627471,2512029.120000000111759,2429680.799999999813735,11341303.829999998211861
