訓練日期,20100428 - 20100729
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10191488.780000001192093
真實報酬,191488.780000001192093

夏普值報酬,0.010448878000000
夏普值風險,0.027130300997737
夏普值,0.385136825458425

預期報酬,3000.941676079656645
風險,255157.862525176635245
趨勢值,0.011761117789516
找到最佳解世代,2217
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),UNH[23](2),
Stock#,MRK[17](1),UNH[23](2),
張數,145011,167785,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,20.720000000670552,7.000000000000000,
20100428,5011600.880000000819564,5107382.400000000372529,10118983.280000001192093
20100429,5111658.470000000670552,5251677.500000000000000,10363335.970000000670552
20100430,5081206.160000000149012,5085570.349999999627471,10166776.509999999776483
20100503,5114558.690000001341105,5077181.100000000558794,10191739.790000002831221
20100504,5192864.630000000819564,4947986.649999999441206,10140851.280000001192093
20100505,5160962.210000000894070,5033557.000000000000000,10194519.210000000894070
20100506,4969547.690000001341105,4906040.399999999441206,9875588.089999999850988
20100507,4856439.110000001266599,4869127.700000000186265,9725566.810000002384186
20100510,4966647.470000000670552,5013422.799999999813735,9980070.269999999552965
20100511,4859339.330000000074506,5008389.250000000000000,9867728.580000000074506
20100512,4878190.760000000707805,5087248.200000000186265,9965438.960000000894070
20100513,4830337.130000000819564,5063758.299999999813735,9894095.429999999701977
20100514,4767982.400000001303852,5098993.150000000372529,9866975.550000000745058
20100517,4753481.300000000745058,5107382.400000000372529,9860863.700000001117587
20100518,4691126.570000001229346,5063758.299999999813735,9754884.870000001043081
20100519,4730279.540000000037253,5031879.149999999441206,9762158.689999999478459
20100520,4614270.740000001154840,4859060.600000000558794,9473331.340000001713634
20100521,4646173.160000000149012,4815436.500000000000000,9461609.660000000149012
20100524,4620071.180000000633299,4837248.549999999813735,9457319.730000000447035
20100525,4649073.380000000819564,4843959.950000000186265,9493033.330000001937151
20100526,4701277.340000000782311,4830537.149999999441206,9531814.490000000223517
20100527,4875290.540000000037253,4919463.200000000186265,9794753.740000000223517
20100528,4885441.310000000521541,4877516.950000000186265,9762958.260000001639128
20100601,4862239.550000000745058,4862416.299999999813735,9724655.850000001490116
20100602,4982598.680000000633299,5018456.349999999627471,10001055.030000001192093
20100603,4972447.910000000149012,5110738.100000000558794,10083186.010000001639128
20100604,4810035.590000000782311,5090603.900000000372529,9900639.490000002086163
20100607,4830337.130000000819564,5110738.100000000558794,9941075.230000000447035
20100608,4902842.630000000819564,5182885.650000000372529,10085728.280000001192093
20100609,4888341.530000001192093,5122483.049999999813735,10010824.580000001937151
20100610,5024651.870000000111759,5151006.500000000000000,10175658.370000001043081
20100611,5055104.180000000633299,5145972.950000000186265,10201077.130000000819564
20100614,5078305.940000001341105,5132550.150000000372529,10210856.090000001713634
20100615,5223316.940000001341105,5233221.150000000372529,10456538.090000001713634
20100616,5221866.830000000074506,5266778.150000000372529,10488644.980000000447035
20100617,5200115.180000000633299,5285234.500000000000000,10485349.679999999701977
20100618,5172563.090000000782311,5256711.049999999813735,10429274.140000000596046
20100621,5092807.040000000037253,5226509.750000000000000,10319316.789999999105930
20100622,5094257.150000001303852,5140939.400000000372529,10235196.550000000745058
20100623,5136310.340000000782311,5068791.850000000558794,10205102.190000001341105
20100624,5163862.430000000633299,4993288.600000000558794,10157151.030000001192093
20100625,5210265.950000000186265,5013422.799999999813735,10223688.750000000000000
20100628,5211716.060000000521541,4897651.150000000372529,10109367.210000000894070
20100629,5137760.450000000186265,4803691.549999999813735,9941452.000000000000000
20100630,5071055.390000000596046,4765101.000000000000000,9836156.390000000596046
20100701,4994199.560000000521541,4672819.250000000000000,9667018.810000000521541
20100702,4962297.140000000596046,4748322.500000000000000,9710619.640000000596046
20100706,5024651.870000000111759,4847315.650000000372529,9871967.519999999552965
20100707,5137760.450000000186265,4899329.000000000000000,10037089.449999999254942
20100708,5200115.180000000633299,4979865.799999999813735,10179980.980000000447035
20100709,5263920.020000000484288,5028523.450000000186265,10292443.470000000670552
20100712,5233467.710000000894070,5040268.399999999441206,10273736.109999999403954
20100713,5285671.670000000856817,5057046.900000000372529,10342718.570000000298023
20100714,5249418.920000000856817,5087248.200000000186265,10336667.120000001043081
20100715,5291472.110000001266599,5181207.799999999813735,10472679.910000000149012
20100716,5207365.730000000447035,5090603.900000000372529,10297969.630000000819564
20100719,5191414.520000000484288,5171140.700000000186265,10362555.220000000670552
20100720,5171112.980000000447035,5172818.549999999813735,10343931.530000001192093
20100721,5102957.810000000521541,5151006.500000000000000,10253964.310000000521541
20100722,5101507.700000000186265,5201342.000000000000000,10302849.699999999254942
20100723,5056554.290000000037253,5187919.200000000186265,10244473.490000000223517
20100726,5114558.690000001341105,5280200.950000000186265,10394759.640000000596046
20100727,5101507.700000000186265,5164429.299999999813735,10265937.000000000000000
20100728,5037702.860000001266599,5088926.049999999813735,10126628.910000000149012
20100729,5084106.380000000819564,5107382.400000000372529,10191488.780000001192093
