訓練日期,20170928 - 20171229
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11389620.410000002011657
真實報酬,1389620.410000002011657

夏普值報酬,0.130262041000000
夏普值風險,0.040179521687293
夏普值,3.242000788705132

預期報酬,22774.011684727502143
風險,39072.157325104606571
趨勢值,0.582870597475168
找到最佳解世代,3718
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,12
AAPL[0](13),CAT[3](2),CSCO[4](11),CVX[5](26),DIS[6](19),HD[9](12),KO[14](22),MCD[15](5),MSFT[18](6),NKE[19](9),V[25](8),WMT[28](1),
Stock#,AAPL[0](13),CAT[3](2),CSCO[4](11),CVX[5](26),DIS[6](19),HD[9](12),KO[14](22),MCD[15](5),MSFT[18](6),NKE[19](9),V[25](8),WMT[28](1),
張數,5403,6692,24890,7095,8397,5178,18667,5409,11284,15821,8021,10509,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,28.310000000055879,45.160000000032596,15.800000000046566,25.250000000000000,14.720000000088476,89.240000000107102,38.119999999995343,76.549999999930151,9.600000000093132,40.929999999934807,31.309999999939464,74.389999999897555,
20170928,828200.150000000023283,838084.320000000065193,830097.300000000046566,834539.150000000023283,823340.570000000065193,840789.320000000181608,838373.089999999967404,851939.959999999962747,833558.680000000167638,832700.160000000032596,838867.489999999874271,829759.939999999944121,10020254.130000000819564
20170929,832738.670000000041910,834604.479999999981374,837066.500000000116415,833687.750000000000000,827707.010000000009313,847002.920000000158325,840239.789999999920838,847558.669999999925494,840554.760000000009313,820359.779999999911524,838867.489999999874271,821247.649999999906868,10021639.470000000670552
20171002,831063.740000000107102,834671.400000000023283,840053.300000000046566,833191.100000000093132,838539.140000000130385,849384.800000000162981,836319.719999999972060,849073.189999999944121,841908.840000000083819,820676.199999999837019,845765.549999999930151,824505.439999999944121,10045156.419999999925494
20171003,834683.750000000000000,839958.080000000074506,842542.300000000046566,835958.149999999906868,846348.350000000093132,855339.500000000000000,843599.849999999976717,848532.290000000037253,837959.440000000176951,814347.799999999930151,846968.699999999953434,832597.369999999878928,10078839.579999998211861
20171004,829280.750000000000000,848189.239999999990687,832337.400000000023283,834255.349999999976717,844333.070000000065193,855960.860000000102445,849386.619999999995343,850425.439999999944121,842811.560000000055879,823998.609999999869615,844722.819999999948777,831231.199999999953434,10086936.919999999925494
20171005,839600.479999999981374,845913.960000000079162,836070.900000000139698,841350.349999999976717,840638.390000000130385,860258.600000000093132,849759.960000000079162,859025.750000000000000,857255.080000000074506,825580.709999999962747,852182.349999999860302,834594.079999999841675,10142234.609999999403954
20171006,839114.210000000079162,849460.720000000088476,840053.300000000046566,830353.099999999976717,840302.510000000009313,858860.540000000037253,849199.950000000069849,863352.949999999953434,857593.600000000093132,829377.750000000000000,856112.640000000013970,830285.389999999897555,10144070.660000002011657
20171009,842031.830000000074506,849126.119999999995343,840302.199999999953434,835177.699999999953434,836104.010000000009313,858135.620000000111759,847706.589999999967404,866165.630000000004657,860865.960000000195578,815138.849999999976717,858358.520000000018626,846364.159999999916181,10155481.189999999478459
20171010,842356.010000000125729,857892.640000000013970,835075.299999999930151,842911.250000000000000,836187.980000000097789,855287.720000000088476,856293.409999999916181,868653.770000000018626,860865.960000000195578,815297.059999999939464,860764.819999999948777,884196.559999999823049,10215786.480000000447035
20171011,845867.960000000079162,860636.359999999986030,836070.900000000139698,846671.599999999976717,827539.070000000065193,855753.740000000107102,860586.820000000065193,882554.899999999906868,862332.880000000121072,807386.559999999939464,869828.549999999930151,901010.959999999962747,10256244.300000000745058
