訓練日期,20140716 - 20141015
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10797476.710000000894070
真實報酬,797476.710000000894070

夏普值報酬,0.071047671000000
夏普值風險,0.042402242953139
夏普值,1.675563980861082

預期報酬,19723.608555597067607
風險,179587.372728290618397
趨勢值,0.109827368461134
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](2),HD[9](1),NKE[19](5),
Stock#,GS[8](2),HD[9](1),NKE[19](5),
張數,19704,41739,85426,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.320000000298023,56.459999999962747,10.479999999515712,
20140716,3358948.200000000186265,3324985.199999999720603,3285494.439999999478459,9969428.839999999850988
20140717,3352445.879999999888241,3320393.909999999683350,3269263.500000000000000,9942104.289999999105930
20140718,3378652.200000000186265,3342515.580000000074506,3311122.239999999292195,10032291.019999999552965
20140721,3383578.200000000186265,3327072.149999999906868,3281223.139999999199063,9991874.489999998360872
20140722,3448601.400000000372529,3361715.520000000018626,3290620.000000000000000,10100937.919999999925494
20140723,3484068.600000000093132,3381750.239999999757856,3305142.419999999459833,10170962.259999999776483
20140724,3473034.360000000335276,3389263.260000000242144,3357252.279999999329448,10219550.900000000372529
20140725,3456088.920000000391155,3382167.629999999888241,3319664.839999999385327,10157922.390000000596046
20140728,3466926.120000000111759,3383837.189999999478459,3348709.679999999701977,10199473.989999998360872
20140729,3458847.479999999981374,3380080.680000000167638,3335895.779999999329448,10174824.939999999478459
20140730,3463182.360000000335276,3412637.100000000093132,3400819.539999999571592,10276640.000000000000000
20140731,3406237.800000000279397,3374654.609999999869615,3294891.299999999348074,10075784.709999999031425
20140801,3354613.320000000298023,3328741.709999999962747,3279514.619999999646097,9962870.650000000372529
20140804,3382987.080000000074506,3340428.629999999888241,3295745.559999999590218,10019162.269999999552965
20140805,3338259.000000000000000,3340428.629999999888241,3285494.439999999478459,9964183.070000000298023
20140806,3344564.280000000260770,3360880.739999999757856,3294891.299999999348074,10000337.319999998435378
20140807,3331953.720000000204891,3358793.790000000037253,3260720.899999999441206,9951469.410000000149012
20140808,3394218.360000000335276,3440602.230000000447035,3291474.259999999776483,10126295.850000001490116
