訓練日期,20160108 - 20160412
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11513536.169999999925494
真實報酬,1513536.169999999925494

夏普值報酬,0.142653617000000
夏普值風險,0.048371656328282
夏普值,2.949115821708836

預期報酬,25322.298792184912600
風險,112977.842337788184523
趨勢值,0.224135089396333
找到最佳解世代,1839
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](12),KO[14](2),MMM[16](1),VZ[26](3),
Stock#,AAPL[0](12),KO[14](2),MMM[16](1),VZ[26](3),
張數,25920,60067,17734,55224,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.000000000000000,11.459999999962747,38.020000000018626,9.520000000018626,
20160108,2513219.199999999720603,2493392.629999999888241,2491487.680000000167638,2475701.439999999944121,9973800.949999999254942
20160111,2553913.600000000093132,2497597.319999999832362,2490955.660000000149012,2490059.680000000167638,10032526.259999999776483
20160112,2590979.199999999720603,2530033.500000000000000,2498049.260000000242144,2481223.839999999850988,10100285.799999998882413
20160113,2524364.799999999813735,2513815.410000000149012,2460098.500000000000000,2438149.120000000111759,9936427.830000000074506
20160114,2579574.399999999906868,2515617.419999999925494,2503724.140000000130385,2477910.399999999906868,10076826.360000001266599
20160115,2517625.600000000093132,2492791.959999999962747,2459566.479999999981374,2453611.839999999850988,9923595.880000000819564
20160119,2505443.199999999720603,2518020.100000000093132,2454246.279999999795109,2477910.399999999906868,9955619.980000000447035
20160120,2508812.800000000279397,2485583.919999999925494,2428886.660000000149012,2453059.600000000093132,9876342.980000000447035
20160121,2496112.000000000000000,2486184.589999999850988,2443073.859999999869615,2533134.399999999906868,9958504.849999999627471
20160122,2628822.399999999906868,2526429.479999999981374,2474285.700000000186265,2597746.479999999981374,10227284.060000000521541
20160125,2577500.799999999813735,2532436.179999999701977,2439704.399999999906868,2597194.240000000223517,10146835.619999999180436
20160126,2591756.799999999813735,2527630.819999999832362,2567566.540000000037253,2664567.520000000018626,10351521.679999999701977
20160127,2421462.399999999906868,2528231.490000000223517,2581221.720000000204891,2707642.240000000223517,10238557.850000001490116
20160128,2438828.800000000279397,2557063.649999999906868,2612610.899999999906868,2706537.759999999776483,10315041.109999999403954
20160129,2523068.800000000279397,2578087.100000000093132,2677872.020000000018626,2759552.799999999813735,10538580.719999998807907
20160201,2499481.600000000093132,2582892.459999999962747,2637615.839999999850988,2803179.759999999776483,10523169.660000000149012
20160202,2448937.600000000093132,2549254.939999999944121,2622364.600000000093132,2756239.359999999869615,10376796.500000000000000
20160203,2497408.000000000000000,2566073.699999999720603,2704827.700000000186265,2795448.399999999906868,10563757.799999998882413
20160204,2503888.000000000000000,2554660.970000000204891,2721142.979999999981374,2784955.839999999850988,10564647.790000000968575
20160205,2437014.399999999906868,2549254.939999999944121,2721675.000000000000000,2814776.799999999813735,10522721.140000000596046
20160208,2462675.200000000186265,2561869.009999999776483,2729300.620000000111759,2802075.280000000260770,10555920.109999999403954
20160209,2462156.799999999813735,2600912.559999999590218,2744197.180000000167638,2769493.120000000111759,10576759.660000000149012
20160210,2443494.399999999906868,2555862.309999999590218,2703586.319999999832362,2760105.040000000037253,10463048.070000000298023
