訓練日期,20150223 - 20150526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10769413.169999999925494
真實報酬,769413.169999999925494

夏普值報酬,0.068241317000000
夏普值風險,0.023323445470150
夏普值,2.925867753430178

預期報酬,12962.795953878185173
風險,95575.931339163129451
趨勢值,0.135628246277591
找到最佳解世代,1865
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),GS[8](5),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](4),
Stock#,DIS[6](2),GS[8](5),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](4),
張數,15941,8702,10184,27870,35109,21608,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,34.449999999953434,145.979999999981374,54.399999999906868,40.000000000000000,41.770000000018626,40.960000000195578,
20150223,1673680.039999999804422,1656223.600000000093132,1659129.839999999850988,1654124.500000000000000,1668070.359999999869615,1698213.680000000167638,10009446.019999999552965
20150224,1668578.919999999925494,1672844.419999999925494,1678683.120000000111759,1695093.399999999906868,1675092.160000000149012,1737108.080000000307336,10127404.099999999627471
20150225,1682925.819999999832362,1668493.419999999925494,1658111.439999999944121,1704011.800000000046566,1699668.459999999962747,1728897.040000000270084,10142111.980000000447035
20150226,1666825.409999999916181,1672670.379999999888241,1638354.479999999981374,1716274.599999999860302,1702828.270000000018626,1764334.160000000381842,10161291.299999998882413
20150227,1659173.729999999981374,1651698.559999999823049,1649251.359999999869615,1707913.600000000093132,1704934.810000000055879,1795233.600000000093132,10168209.660000000149012
20150302,1688026.939999999944121,1669102.559999999823049,1634382.719999999739230,1721569.900000000139698,1733724.190000000176951,1806901.920000000391155,10253712.230000000447035
20150303,1695359.799999999813735,1664577.520000000018626,1639983.919999999925494,1727143.899999999906868,1720031.680000000167638,1798042.640000000130385,10245143.460000000894070
20150304,1682925.819999999832362,1650654.319999999832362,1623587.679999999701977,1731603.100000000093132,1711956.609999999869615,1793937.120000000111759,10194668.649999998509884
20150305,1674317.679999999934807,1654222.140000000130385,1641511.520000000018626,1727980.000000000000000,1728457.839999999850988,1797826.560000000288710,10224319.740000000223517
20150306,1655029.069999999832362,1626636.800000000046566,1614218.399999999906868,1697044.300000000046566,1701423.910000000149012,1779459.760000000009313,10073816.240000000223517
20150309,1677984.110000000102445,1635512.840000000083819,1637336.080000000074506,1714045.000000000000000,1710552.250000000000000,1804308.960000000195578,10179743.240000000223517
20150310,1643392.139999999897555,1590088.400000000139698,1607191.439999999944121,1671125.199999999953434,1694402.109999999869615,1787454.720000000204891,9993658.010000001639128
20150311,1640203.939999999944121,1602880.340000000083819,1596905.600000000093132,1678928.800000000046566,1673687.800000000046566,1782917.040000000270084,9975527.520000001415610
