訓練日期,20170821 - 20171120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11339423.320000000298023
真實報酬,1339423.320000000298023

夏普值報酬,0.125242332000000
夏普值風險,0.035993008858881
夏普值,3.479629405005932

預期報酬,20661.782464741369040
風險,36016.102814598103578
趨勢值,0.573681793699420
找到最佳解世代,2597
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,10
BA[2](4),CAT[3](1),CSCO[4](2),CVX[5](15),DIS[6](25),HD[9](7),INTC[11](8),PG[21](28),UNH[23](13),WMT[28](18),
Stock#,BA[2](4),CAT[3](1),CSCO[4](2),CVX[5](15),DIS[6](25),HD[9](7),INTC[11](8),PG[21](28),UNH[23](13),WMT[28](18),
張數,4241,8778,32927,9391,9930,6780,28563,10814,5240,12608,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,99.429999999934807,10.239999999990687,7.010000000009313,46.319999999948777,49.000000000000000,17.799999999930151,9.370000000111759,29.420000000041910,103.200000000069849,59.520000000018626,
20170821,999618.309999999939464,997191.039999999920838,1010207.369999999995343,993426.299999999930151,1004667.099999999976717,1011593.799999999813735,997429.330000000190921,1004217.460000000079162,1006340.400000000023283,1005043.199999999953434,10029734.309999998658895
20170822,1016879.179999999934807,1016678.199999999953434,1029634.300000000046566,998873.079999999958090,1020555.099999999976717,1016407.599999999860302,989717.320000000065193,1003460.480000000097789,1020802.800000000046566,1008951.679999999934807,10121959.740000000223517
20170823,1009839.119999999995343,1007285.739999999990687,1018109.850000000093132,1001220.829999999958090,1007944.000000000000000,1010915.799999999930151,990002.950000000069849,999675.580000000074506,1017920.800000000162981,1008195.199999999953434,10071109.869999999180436
20170824,1012595.770000000018626,1007549.079999999958090,1028646.489999999990687,1009015.359999999869615,1008142.599999999976717,1005152.799999999930151,991431.100000000093132,997837.199999999953434,1020593.200000000069849,987770.240000000107102,10068733.839999999850988
20170825,1000508.919999999925494,1012552.539999999920838,1035231.890000000013970,1016434.250000000000000,1016980.299999999930151,1014644.799999999930151,990288.580000000190921,1000432.560000000055879,1018549.600000000093132,991426.559999999939464,10097050.000000000000000
20170828,1005979.809999999939464,1010094.699999999953434,1038524.589999999967404,1012020.479999999981374,1018469.800000000046566,1026441.999999999883585,989717.320000000065193,1000000.000000000000000,1022374.800000000046566,983861.760000000009313,10107485.259999999776483
20170829,1020017.520000000018626,1018346.020000000018626,1036548.969999999972060,1012959.579999999958090,1018569.099999999976717,1015933.000000000000000,992002.359999999986030,998377.900000000023283,1030968.400000000023283,993191.679999999934807,10136914.529999999329448
20170830,1019890.289999999920838,1031864.140000000013970,1053341.739999999990687,1011738.750000000000000,1021548.100000000093132,1017017.799999999930151,996572.440000000176951,993511.600000000093132,1026514.400000000023283,990291.840000000083819,10162291.099999999627471
20170831,1016497.489999999874271,1031337.459999999962747,1060585.679999999934807,1010705.739999999990687,1004965.000000000000000,1016136.399999999906868,1001713.780000000144355,997837.199999999953434,1042339.200000000069849,984366.079999999958090,10166484.029999999329448
20170901,1019338.959999999962747,1038272.079999999958090,1063549.109999999869615,1021411.479999999981374,1007944.000000000000000,1022306.199999999953434,1002285.040000000153668,1000648.840000000083819,1046793.200000000069849,988148.480000000097789,10210697.390000000596046
20170905,1005216.429999999934807,1038447.640000000013970,1041158.750000000000000,1027797.359999999869615,1008937.000000000000000,1036883.199999999953434,1000285.630000000237487,1002703.500000000000000,1044487.600000000093132,1006177.919999999925494,10212095.029999999329448
20170906,995122.849999999976717,1026860.680000000051223,1049390.500000000000000,1049866.209999999962747,1007944.000000000000000,1061494.600000000093132,1021422.250000000000000,1002703.500000000000000,1039614.400000000023283,1009708.160000000032596,10264127.150000000372529
20170907,1002290.139999999897555,1033795.299999999930151,1045768.530000000027940,1049960.120000000111759,963854.800000000046566,1070783.200000000186265,1015138.390000000130385,1005407.000000000000000,1038514.000000000000000,1010212.480000000097789,10235723.960000000894070
20170908,1012765.409999999916181,1034234.199999999953434,1036548.969999999972060,1040381.299999999930151,963954.099999999976717,1082512.600000000093132,1005141.340000000083819,1004001.180000000051223,1036313.200000000069849,994578.559999999939464,10210430.859999999403954
20170911,1020441.619999999995343,1043451.099999999976717,1059927.139999999897555,1056721.640000000130385,964152.700000000069849,1073766.399999999906868,1021707.880000000237487,1016437.280000000027940,1045902.400000000139698,997100.160000000032596,10299608.320000000298023
20170912,1020399.209999999962747,1061621.560000000055879,1067171.079999999841675,1056439.909999999683350,972096.699999999953434,1084207.600000000093132,1030848.040000000153668,1011246.560000000055879,1034846.000000000116415,1003782.400000000023283,10342659.060000000521541
20170913,1026124.559999999939464,1050122.379999999888241,1059597.870000000111759,1072310.700000000186265,981331.599999999976717,1084953.399999999906868,1037703.160000000032596,1011679.119999999995343,1039352.400000000139698,1006934.400000000023283,10370109.589999999850988
20170914,1040119.859999999869615,1057583.679999999934807,1059927.139999999897555,1074846.270000000018626,972196.000000000000000,1080614.199999999720603,1041987.609999999986030,1011679.119999999995343,1036208.400000000023283,1004664.960000000079162,10379827.240000000223517
20170915,1056108.429999999934807,1065396.100000000093132,1068158.889999999897555,1076536.649999999906868,978352.599999999976717,1073969.799999999813735,1056840.370000000111759,1008651.199999999953434,1038566.400000000139698,1013490.559999999939464,10436071.000000000000000
20170918,1073411.709999999962747,1086989.979999999981374,1070793.050000000046566,1081795.609999999869615,974182.000000000000000,1069969.600000000093132,1056840.370000000111759,1007353.520000000135042,1038618.800000000046566,1008699.520000000018626,10468654.160000000149012
20170919,1070782.290000000037253,1094977.959999999962747,1069805.239999999990687,1092595.259999999776483,977458.900000000023283,1068952.600000000093132,1063409.860000000102445,1018383.800000000046566,1020069.200000000069849,1009329.919999999925494,10485765.029999999329448
20170920,1083505.290000000037253,1095943.540000000037253,1073427.209999999962747,1092876.990000000223517,985204.299999999930151,1075868.200000000186265,1058839.780000000027940,1020871.020000000135042,1025833.200000000069849,1015003.520000000018626,10527373.049999998882413
20170921,1085965.070000000065193,1095416.860000000102445,1076719.910000000149012,1093816.089999999850988,982026.699999999953434,1079326.000000000000000,1062552.970000000204891,1001838.380000000004657,1023003.600000000093132,1008825.600000000093132,10509491.179999999701977
20170922,1087703.879999999888241,1092256.780000000027940,1098781.000000000000000,1101516.709999999962747,979147.000000000000000,1084614.399999999906868,1061981.710000000195578,997512.780000000027940,1011580.400000000023283,1002773.760000000009313,10517868.419999999925494
20170925,1078670.549999999813735,1091291.199999999953434,1110305.449999999953434,1108090.409999999683350,988779.099999999976717,1092275.799999999813735,1061410.449999999953434,1002703.500000000000000,1004873.200000000069849,997982.720000000088476,10536382.379999998956919
20170926,1076041.129999999888241,1092959.020000000018626,1111622.530000000027940,1103676.640000000130385,979444.899999999906868,1093360.600000000093132,1070264.979999999981374,1001946.520000000135042,1009851.199999999953434,1001008.640000000013970,10540176.160000000149012
