訓練日期,20160518 - 20160818
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10952691.269999999552965
真實報酬,952691.269999999552965

夏普值報酬,0.086569127000000
夏普值風險,0.029746853392606
夏普值,2.910194428211945

預期報酬,16584.419839534508355
風險,77758.890508412194322
趨勢值,0.213280047221615
找到最佳解世代,1975
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,6
AAPL[0](15),JNJ[12](7),MSFT[18](14),PG[21](1),VZ[26](16),WBA[27](17),
Stock#,AAPL[0](15),JNJ[12](7),MSFT[18](14),PG[21](1),VZ[26](16),WBA[27](17),
張數,17827,14641,32996,20673,32743,21792,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,19.770000000018626,80.969999999972060,38.040000000037253,8.739999999990687,47.300000000046566,13.839999999850988,
20160518,1685740.890000000130385,1663152.159999999916181,1676564.800000000046566,1650747.789999999804422,1649967.070000000065193,1667973.520000000018626,9994150.230000000447035
20160519,1679323.170000000158325,1652317.819999999832362,1660396.760000000009313,1657776.609999999869615,1625082.390000000130385,1660782.159999999683350,9935682.910000000149012
20160520,1697506.709999999962747,1649243.209999999962747,1670295.560000000055879,1654262.199999999953434,1626064.679999999934807,1682792.079999999841675,9980168.439999999478459
20160523,1719077.380000000121072,1642215.530000000027940,1650827.920000000158325,1657983.340000000083819,1609038.320000000065193,1667755.599999999860302,9946902.089999999850988
20160524,1745283.070000000065193,1649975.260000000009313,1702301.680000000167638,1673901.550000000046566,1623445.239999999990687,1681266.639999999897555,10076177.439999999478459
20160525,1775945.510000000009313,1659638.319999999832362,1719789.560000000055879,1684444.780000000027940,1632285.850000000093132,1691726.799999999813735,10163834.820000000298023
20160526,1790028.839999999850988,1653049.870000000111759,1712200.479999999981374,1679069.800000000046566,1642436.179999999934807,1673203.599999999860302,10149992.769999999552965
20160527,1788959.219999999972060,1655392.429999999934807,1726388.760000000009313,1683411.130000000121072,1657497.959999999962747,1677997.839999999850988,10189651.339999999850988
20160531,1780223.989999999990687,1649975.260000000009313,1748826.040000000037253,1675348.660000000149012,1666666.000000000000000,1686714.639999999897555,10207758.589999999850988
20160601,1755266.189999999944121,1651292.949999999953434,1743876.640000000130385,1690853.410000000149012,1651276.790000000037253,1701969.039999999804422,10194539.019999999552965
20160602,1742074.209999999962747,1676329.059999999823049,1731668.119999999878928,1694161.090000000083819,1662409.410000000149012,1723761.039999999804422,10230406.929999999701977
20160603,1745639.610000000102445,1680282.130000000121072,1708900.880000000121072,1704911.050000000046566,1667320.860000000102445,1714608.399999999906868,10221666.929999999701977
20160606,1758296.780000000027940,1695069.539999999804422,1720119.520000000018626,1711112.949999999953434,1660444.830000000074506,1714172.559999999823049,10259220.180000001564622
20160607,1765427.580000000074506,1694483.900000000139698,1719129.640000000130385,1701810.099999999860302,1694497.550000000046566,1724196.879999999888241,10299549.650000002235174
20160608,1763823.149999999906868,1695508.770000000018626,1717149.880000000121072,1708632.190000000176951,1686966.660000000149012,1731170.319999999832362,10303254.970000000670552
20160609,1776480.320000000065193,1713077.969999999972060,1703291.560000000055879,1719382.150000000139698,1701046.150000000139698,1721799.760000000009313,10335081.910000000149012
20160610,1761862.179999999934807,1713224.380000000121072,1698672.119999999878928,1720002.340000000083819,1724621.110000000102445,1797200.079999999841675,10415586.209999999031425
20160613,1735299.950000000186265,1710003.360000000102445,1654457.479999999981374,1706978.349999999860302,1721346.810000000055879,1838386.959999999729916,10366476.910000000149012
20160614,1737439.189999999944121,1714834.890000000130385,1644228.719999999972060,1723103.289999999804422,1735098.870000000111759,1837951.119999999878928,10392660.080000000074506
20160615,1731734.550000000046566,1704439.780000000027940,1639609.280000000027940,1714834.090000000083819,1730187.420000000158325,1813326.159999999683350,10334135.280000001192093
20160616,1739043.619999999878928,1707807.209999999962747,1662706.479999999981374,1724343.669999999925494,1750488.080000000074506,1812018.639999999897555,10396411.700000001117587
20160617,1699467.679999999934807,1690823.650000000139698,1654127.520000000018626,1718555.229999999981374,1760965.840000000083819,1801122.639999999897555,10325066.560000000521541
20160620,1695367.469999999972060,1706343.110000000102445,1652147.760000000009313,1716694.660000000149012,1760310.979999999981374,1807224.399999999906868,10338092.380000000819564
