訓練日期,20100729 - 20101028
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11156985.049999998882413
真實報酬,1156985.049999998882413

夏普值報酬,0.106998505000000
夏普值風險,0.033730500269306
夏普值,3.172158851654051

預期報酬,19839.920863823183026
風險,91356.790512945401133
趨勢值,0.217169635146189
找到最佳解世代,3633
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),VZ[26](3),
Stock#,KO[14](2),MCD[15](1),VZ[26](3),
張數,121477,47776,115300,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.119999999646097,1.479999999981374,10.000000000000000,
20100729,3340621.619999999646097,3314700.359999999869615,3329874.000000000000000,9985196.980000000447035
20100730,3347910.239999999292195,3331421.959999999962747,3350628.000000000000000,10029961.199999999254942
20100802,3426870.289999999571592,3356265.479999999981374,3408278.000000000000000,10191414.769999999552965
20100803,3424440.750000000000000,3365820.680000000167638,3405972.000000000000000,10196234.429999999701977
20100804,3435373.679999999701977,3377286.919999999925494,3389830.000000000000000,10202491.599999999627471
20100805,3424440.750000000000000,3365820.680000000167638,3407125.000000000000000,10197387.429999999701977
20100806,3447521.379999999422580,3427451.719999999739230,3407125.000000000000000,10282099.099999999627471
20100809,3469387.239999999292195,3483827.399999999906868,3442868.000000000000000,10396083.639999998733401
20100810,3460883.849999999627471,3480005.320000000298023,3461316.000000000000000,10402206.169999999925494
20100811,3403789.659999999683350,3419329.799999999813735,3408278.000000000000000,10231398.459999999031425
20100812,3383138.569999999832362,3442740.040000000037253,3495906.000000000000000,10321785.609999999403954
20100813,3385568.109999999869615,3434618.120000000111759,3462469.000000000000000,10282656.230000000447035
20100816,3394071.500000000000000,3429840.520000000484288,3454398.000000000000000,10278311.019999999552965
20100817,3408648.739999999292195,3498160.199999999720603,3478611.000000000000000,10385420.939999999478459
20100818,3391641.959999999962747,3499593.479999999981374,3476305.000000000000000,10367541.439999999478459
20100819,3357628.399999999906868,3486216.199999999720603,3415196.000000000000000,10259041.599999999627471
20100820,3358843.169999999459833,3491471.560000000055879,3386371.000000000000000,10236686.730000000447035
20100823,3377064.719999999739230,3503893.320000000298023,3390983.000000000000000,10271942.039999999105930
20100824,3380709.029999999329448,3474272.199999999720603,3397901.000000000000000,10252883.229999998584390
20100825,3364917.019999999552965,3496726.919999999925494,3419808.000000000000000,10281452.939999999478459
20100826,3350339.779999999329448,3495293.639999999664724,3401360.000000000000000,10246994.419999998062849
20100827,3411078.279999999329448,3534947.719999999739230,3440562.000000000000000,10386589.000000000000000
20100830,3374635.179999999701977,3475227.719999999739230,3394442.000000000000000,10244305.899999998509884
20100831,3394071.500000000000000,3490516.040000000037253,3404819.000000000000000,10289407.539999999105930
20100901,3481534.939999999478459,3561224.520000000484288,3488988.000000000000000,10531748.460000000894070
20100902,3485179.250000000000000,3584157.000000000000000,3471693.000000000000000,10541030.250000000000000
20100903,3496112.179999999701977,3587501.320000000298023,3482070.000000000000000,10565684.500000000000000
20100907,3500971.259999999776483,3621422.279999999795109,3484376.000000000000000,10606770.539999999105930
20100908,3513118.959999999962747,3634799.560000000055879,3512048.000000000000000,10659967.519999999552965
20100909,3541058.669999999459833,3553102.600000000093132,3555862.000000000000000,10650024.269999999552965
20100910,3554421.139999999664724,3583679.240000000223517,3553556.000000000000000,10691657.379999998956919
20100913,3525266.659999999683350,3562657.799999999813735,3562780.000000000000000,10650705.459999999031425
20100914,3498541.719999999739230,3532558.919999999925494,3563933.000000000000000,10595034.640000000596046
20100915,3487608.789999999571592,3569346.439999999478459,3596217.000000000000000,10653173.229999998584390
20100916,3493682.639999999664724,3573646.279999999795109,3622736.000000000000000,10690065.919999999925494
20100917,3496112.179999999701977,3550713.799999999813735,3652714.000000000000000,10699540.980000000447035
20100920,3521622.349999999627471,3588456.839999999850988,3699987.000000000465661,10810067.189999999478459
20100921,3530125.739999999292195,3607567.240000000223517,3726506.000000000000000,10864199.980000000447035
20100922,3537414.359999999869615,3589412.359999999869615,3734577.000000000000000,10861404.719999998807907
20100923,3515548.500000000000000,3566002.120000000111759,3709211.000000000000000,10790762.620000001043081
20100924,3560494.989999999292195,3587979.079999999608845,3763402.000000000000000,10911877.069999998435378
20100927,3559280.219999999739230,3571735.240000000223517,3788768.000000000000000,10919784.460000000894070
20100928,3589649.469999999739230,3565524.359999999869615,3772626.000000000000000,10927800.830000000074506
20100929,3568998.379999999422580,3556924.680000000167638,3765707.999999999534339,10891632.059999998658895
20100930,3554421.139999999664724,3559791.240000000223517,3757637.000000000465661,10871850.380000000819564
20101001,3590864.239999999292195,3579379.399999999906868,3792227.000000000000000,10962471.639999998733401
20101004,3576287.000000000000000,3580812.680000000167638,3808369.000000000000000,10965469.679999999701977
20101005,3623663.029999999329448,3622377.799999999813735,3870631.000000000000000,11116672.829999998211861
20101006,3629736.879999999422580,3602311.880000000353903,3833735.000000000000000,11065784.759999999776483
20101007,3610300.559999999590218,3624288.839999999850988,3796839.000000000000000,11031429.399999998509884
20101008,3609085.789999999571592,3635755.079999999608845,3785309.000000000000000,11030150.869999999180436
20101011,3617589.179999999701977,3611389.320000000298023,3808369.000000000000000,11037348.500000000000000
20101012,3620018.719999999739230,3610911.560000000055879,3751872.000000000000000,10982803.279999999329448
20101013,3640669.809999999590218,3619033.479999999981374,3713823.000000000000000,10973527.289999999105930
20101014,3639455.039999999571592,3680664.520000000484288,3740341.999999999534339,11060462.560000000521541
20101015,3640669.809999999590218,3701685.959999999962747,3739189.000000000000000,11081545.769999999552965
20101018,3644314.119999999646097,3694041.799999999813735,3757637.000000000465661,11095993.919999999925494
20101019,3664965.209999999962747,3678275.719999999739230,3708057.999999999534339,11051299.929999999701977
20101020,3714770.779999999329448,3698341.639999999664724,3763402.000000000000000,11176515.419999998062849
20101021,3734207.099999999627471,3747550.919999999925494,3749566.000000000465661,11231325.019999999552965
20101022,3742710.489999999292195,3752806.279999999795109,3699987.000000000465661,11195504.769999999552965
20101025,3706267.389999999664724,3759972.680000000167638,3729965.000000000000000,11196206.070000000298023
20101026,3719629.859999999869615,3762839.240000000223517,3747260.000000000000000,11229730.099999999627471
20101027,3717200.319999999832362,3701685.959999999962747,3748413.000000000000000,11167300.279999999329448
20101028,3718415.089999999385327,3701685.959999999962747,3736882.999999999534339,11156985.049999998882413
