訓練日期,20120622 - 20120924
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11761039.630000000819564
真實報酬,1761039.630000000819564

夏普值報酬,0.167403963000000
夏普值風險,0.049525584207407
夏普值,3.380151202233827

預期報酬,27592.647272193455137
風險,80431.584526995167835
趨勢值,0.343057362781813
找到最佳解世代,2759
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,6
AAPL[0](4),GS[8](8),HD[9](11),MCD[15](18),PG[21](1),WBA[27](10),
Stock#,AAPL[0](4),GS[8](8),HD[9](11),MCD[15](18),PG[21](1),WBA[27](10),
張數,20197,17749,32513,19017,27893,57175,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.560000000055879,34.899999999906868,49.620000000111759,16.119999999878928,59.250000000000000,14.750000000000000,
20120622,1679592.080000000074506,1661873.769999999785796,1691375.880000000121072,1680168.069999999832362,1668897.439999999944121,1690679.500000000000000,10072590.739999998360872
20120625,1646872.940000000176951,1619098.679999999934807,1675119.380000000121072,1675794.159999999916181,1654393.080000000074506,1657518.000000000000000,9928800.240000000223517
20120626,1650508.400000000139698,1615726.369999999878928,1686824.060000000288710,1694430.819999999832362,1653277.360000000102445,1663235.500000000000000,9964006.510000001639128
20120627,1657577.349999999860302,1655484.129999999888241,1676094.770000000018626,1679787.729999999748543,1673081.389999999897555,1682103.250000000000000,10024132.619999999180436
20120628,1641823.690000000176951,1659388.909999999916181,1680646.590000000083819,1676935.179999999934807,1681728.219999999972060,1660376.750000000000000,10000903.339999999850988
20120629,1685045.270000000251457,1701454.039999999804422,1722913.490000000223517,1683591.129999999888241,1708505.500000000000000,1691251.250000000000000,10192764.679999999701977
20120702,1709685.610000000102445,1723995.269999999785796,1723563.750000000000000,1675033.479999999748543,1706831.919999999925494,1707260.250000000000000,10246374.279999999329448
20120703,1729478.669999999925494,1750086.299999999813735,1679346.070000000065193,1684541.979999999748543,1711573.729999999981374,1692966.500000000000000,10247997.250000000000000
20120705,1759774.169999999925494,1702518.979999999981374,1694302.050000000046566,1698234.219999999739230,1711294.800000000046566,1707832.000000000000000,10273960.220000000670552
20120706,1748059.909999999916181,1694531.929999999934807,1695602.570000000065193,1705080.339999999850988,1709342.290000000037253,1693538.250000000000000,10246159.289999999105930
20120709,1771286.460000000195578,1676782.929999999934807,1694627.179999999934807,1707742.719999999739230,1716873.399999999906868,1698112.250000000000000,10265428.939999999478459
20120710,1754926.890000000130385,1672878.149999999906868,1697878.479999999981374,1716300.369999999878928,1721894.139999999897555,1710690.750000000000000,10274572.779999999329448
20120711,1744020.510000000009313,1688497.269999999785796,1679996.330000000074506,1702608.129999999888241,1712689.449999999953434,1711834.250000000000000,10239649.939999999478459
20120712,1728064.880000000121072,1668795.879999999888241,1676094.770000000018626,1748248.929999999934807,1776843.350000000093132,1720982.250000000000000,10319034.059999998658895
20120713,1745434.300000000046566,1729319.969999999972060,1693651.790000000270084,1755095.050000000046566,1815614.620000000111759,1748426.250000000000000,10487545.980000000447035
20120716,1751089.460000000195578,1733757.219999999972060,1672843.470000000204891,1742924.169999999925494,1807804.580000000074506,1743852.250000000000000,10452275.150000000372529
20120717,1751291.429999999934807,1739081.919999999925494,1649108.979999999981374,1747488.250000000000000,1822866.799999999813735,1755287.250000000000000,10465128.629999998956919
20120718,1749271.729999999981374,1712990.889999999897555,1655286.449999999953434,1753763.859999999869615,1808083.509999999776483,1770724.500000000000000,10450124.939999999478459
20120719,1772498.280000000260770,1686189.899999999906868,1656912.100000000093132,1764033.040000000037253,1810872.810000000055879,1979413.249999999767169,10669923.380000000819564
20120720,1743616.570000000065193,1671280.739999999757856,1648458.720000000204891,1741592.979999999748543,1805573.140000000130385,1978269.750000000000000,10588795.899999998509884
20120723,1742202.780000000260770,1653531.739999999757856,1656912.100000000093132,1691388.099999999860302,1796089.520000000018626,1939390.750000000000000,10479518.990000000223517
20120724,1733922.010000000009313,1676782.929999999934807,1663739.830000000074506,1674653.139999999897555,1785769.109999999869615,1950254.000000000000000,10485125.019999999552965
20120725,1658991.140000000130385,1703228.939999999711290,1660488.530000000027940,1674272.800000000046566,1785769.109999999869615,1981128.500000000000000,10463883.019999999552965
20120726,1658789.169999999925494,1740501.839999999850988,1720312.449999999953434,1692529.119999999878928,1800831.330000000074506,1999424.500000000000000,10612392.410000000149012
20120727,1688276.790000000037253,1804043.260000000009313,1746322.850000000093132,1696142.349999999860302,1815614.620000000111759,2042305.750000000000000,10792709.620000001043081
20120730,1716754.560000000055879,1790554.019999999785796,1731366.870000000111759,1698804.729999999748543,1815893.549999999813735,2073752.000000000232831,10827129.730000000447035
20120731,1762197.810000000055879,1790909.000000000000000,1696577.960000000195578,1699375.239999999757856,1800273.470000000204891,2078897.750000000000000,10828235.230000000447035
20120801,1750887.489999999990687,1776532.310000000055879,1680321.460000000195578,1700706.429999999934807,1785490.180000000167638,2073752.000000000232831,10767693.869999999180436
20120802,1753715.070000000065193,1736064.589999999850988,1670892.690000000176951,1703749.149999999906868,1771543.679999999934807,2044021.000000000000000,10679990.179999999701977
