訓練日期,20120106 - 20120410
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12386514.830000000074506
真實報酬,2386514.830000000074506

夏普值報酬,0.229951483000000
夏普值風險,0.071886758512705
夏普值,3.198801667477591

預期報酬,44017.890749052479805
風險,122644.219530640373705
趨勢值,0.358907178157348
找到最佳解世代,1760
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
AAPL[0](2),GS[8](10),HD[9](1),UNH[23](16),
Stock#,AAPL[0](2),GS[8](10),HD[9](1),UNH[23](16),
張數,41862,26432,58018,47537,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.359999999869615,61.439999999944121,4.379999999888241,29.169999999925494,
20120106,2525954.439999999944121,2469338.879999999888241,2506381.979999999981374,2509032.029999999795109,10010707.330000000074506
20120109,2522186.859999999869615,2502907.520000000018626,2508122.519999999552965,2506179.810000000055879,10039396.709999999031425
20120110,2530977.879999999888241,2599120.000000000000000,2525527.919999999925494,2501426.109999999869615,10157051.910000000149012
20120111,2526791.679999999701977,2636917.760000000242144,2521466.660000000149012,2519965.540000000037253,10205141.640000000596046
20120112,2520093.759999999776483,2675244.159999999683350,2517405.399999999906868,2513310.359999999869615,10226053.679999999701977
20120113,2510465.500000000000000,2615772.159999999683350,2524367.559999999590218,2505229.069999999832362,10155834.289999999105930
20120117,2539768.899999999906868,2581939.200000000186265,2537711.700000000186265,2546586.259999999776483,10206006.059999998658895
20120118,2566141.959999999962747,2757183.359999999869615,2603852.220000000204891,2564174.949999999720603,10491352.490000000223517
20120119,2558188.179999999701977,2846259.200000000186265,2634601.759999999776483,2487165.009999999776483,10526214.149999998509884
20120120,2513395.839999999850988,2874277.119999999646097,2582385.559999999590218,2484788.160000000149012,10454846.679999999701977
20120123,2556095.080000000074506,2859739.520000000018626,2603852.220000000204891,2492394.080000000074506,10512080.900000000372529
20120124,2514233.080000000074506,2877713.280000000260770,2608493.660000000149012,2440103.379999999888241,10440543.400000000372529
20120125,2671215.580000000074506,2861854.079999999608845,2625899.059999999590218,2451512.259999999776483,10610480.980000000447035
20120126,2659075.600000000093132,2869519.359999999869615,2607913.479999999981374,2393517.120000000111759,10530025.559999998658895
20120127,2674983.159999999683350,2954366.079999999608845,2603272.039999999571592,2425366.910000000149012,10657988.189999999478459
20120130,2709310.000000000000000,2900444.800000000279397,2597470.240000000223517,2427743.759999999776483,10634968.800000000745058
20120131,2729822.379999999422580,2946436.479999999981374,2575423.399999999906868,2461970.399999999906868,10713652.660000000149012
20120201,2728147.899999999906868,2998771.839999999850988,2580064.839999999850988,2531849.790000000037253,10838834.370000001043081
20120202,2721868.599999999627471,2997185.919999999925494,2579484.660000000149012,2497623.149999999906868,10796162.330000000074506
20120203,2749078.899999999906868,3106614.399999999906868,2620677.439999999944121,2439152.640000000130385,10915523.380000000819564
20120206,2774614.719999999739230,3102913.919999999925494,2622417.979999999981374,2438201.899999999906868,10938148.519999999552965
20120207,2803918.120000000111759,3065644.800000000279397,2637502.660000000149012,2473379.279999999795109,10980444.859999999403954
20120208,2850803.559999999590218,3070138.240000000223517,2620677.439999999944121,2478608.350000000093132,11020227.589999999850988
20120209,2949179.259999999776483,3063001.599999999627471,2626479.240000000223517,2522342.390000000130385,11161002.490000000223517
20120210,2950853.739999999757856,3016481.280000000260770,2629960.319999999832362,2534702.009999999776483,11131997.349999999627471
20120213,3005692.959999999962747,3027318.399999999906868,2664771.119999999646097,2559896.620000000111759,11257679.099999997764826
20120214,3046717.719999999739230,2983441.280000000260770,2672313.459999999962747,2588894.189999999944121,11291366.650000000372529
20120215,2976389.559999999590218,2991370.879999999888241,2652007.160000000149012,2596500.109999999869615,11216267.709999999031425
20120216,3003181.239999999757856,3032869.119999999646097,2664771.119999999646097,2604581.399999999906868,11305402.879999998956919
20120217,3002762.620000000111759,3063794.560000000055879,2710025.160000000149012,2599352.330000000074506,11375934.669999999925494
20120221,3078951.459999999962747,3082825.599999999627471,2722208.939999999944121,2629776.009999999776483,11513762.009999999776483
20120222,3068067.340000000316650,3022824.959999999962747,2701902.640000000130385,2623120.830000000074506,11415915.770000001415610
20120223,3088161.099999999627471,3060887.040000000037253,2723949.479999999981374,2611711.949999999720603,11484709.569999998435378
20120224,3124162.419999999459833,3062737.280000000260770,2725690.019999999552965,2645463.219999999739230,11558052.939999997615814
20120227,3144256.179999999701977,3072252.800000000279397,2722789.119999999646097,2649266.179999999701977,11588564.279999999329448
20120228,3202025.739999999757856,3095512.959999999962747,2740194.519999999552965,2654495.250000000000000,11692228.469999998807907
