訓練日期,20120323 - 20120625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10981302.379999998956919
真實報酬,981302.379999998956919

夏普值報酬,0.089430238000000
夏普值風險,0.032049207614132
夏普值,2.790404027354632

預期報酬,15396.033490951798740
風險,113708.868364550275146
趨勢值,0.135398704713094
找到最佳解世代,1379
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](1),WMT[28](6),
Stock#,TRV[22](1),WMT[28](6),
張數,86251,82440,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.530000000260770,14.000000000000000,
20120323,5019837.730000000447035,5008244.000000000000000,10028081.730000000447035
20120326,5075900.880000000819564,5045342.000000000000000,10121242.880000000819564
20120327,5043988.009999999776483,5036273.600000000558794,10080261.609999999403954
20120328,5069000.800000000745058,5044517.599999999627471,10113518.400000000372529
20120329,5058650.679999999701977,5014014.799999999813735,10072665.480000000447035
20120330,5106088.730000000447035,5045342.000000000000000,10151430.730000000447035
20120402,5117301.360000000335276,5058532.400000000372529,10175833.760000001639128
20120403,5112988.810000000521541,5000000.000000000000000,10112988.810000000521541
20120404,5107813.750000000000000,4967848.399999999441206,10075662.149999998509884
20120405,5078488.410000000149012,5001648.799999999813735,10080137.210000000894070
20120409,5006900.080000000074506,4957131.200000000186265,9964031.280000001192093
20120410,4981024.780000000260770,4940643.200000000186265,9921667.980000000447035
20120411,5017250.200000000186265,4929926.000000000000000,9947176.199999999254942
20120412,5097463.630000000819564,4957955.599999999627471,10055419.230000000447035
20120413,5012937.650000000372529,4927452.799999999813735,9940390.449999999254942
20120416,5102638.690000000409782,4994229.200000000186265,10096867.890000000596046
20120417,5174227.020000000484288,5100576.799999999813735,10274803.820000000298023
20120418,5129376.500000000000000,5116240.400000000372529,10245616.900000000372529
20120419,5321716.230000000447035,5090684.000000000000000,10412400.230000000447035
20120420,5412279.780000000260770,5148392.000000000000000,10560671.780000001192093
20120423,5426079.940000000409782,4908491.599999999627471,10334571.539999999105930
20120424,5465755.400000000372529,4762572.799999999813735,10228328.199999999254942
20120425,5501118.310000000521541,4728772.400000000372529,10229890.710000000894070
20120426,5586506.799999999813735,4859852.000000000000000,10446358.800000000745058
20120427,5520956.040000000968575,4866447.200000000186265,10387403.240000002086163
20120430,5547693.849999999627471,4856554.399999999441206,10404248.250000000000000
20120501,5571844.129999999888241,4869744.799999999813735,10441588.929999999701977
20120502,5583919.269999999552965,4864798.399999999441206,10448717.669999998062849
20120503,5584781.780000000260770,4863149.600000000558794,10447931.380000000819564
20120504,5563219.030000000260770,4839242.000000000000000,10402461.030000001192093
20120507,5570981.620000000111759,4879637.599999999627471,10450619.219999998807907
20120508,5553731.419999999925494,4868096.000000000000000,10421827.419999999925494
20120509,5513193.450000000186265,4866447.200000000186265,10379640.650000000372529
20120510,5575294.169999999925494,4879637.599999999627471,10454931.769999999552965
20120511,5573569.150000000372529,4898598.799999999813735,10472167.949999999254942
20120514,5561494.010000000707805,4869744.799999999813735,10431238.810000000521541
20120515,5533031.180000000633299,4892828.000000000000000,10425859.179999999701977
20120516,5486455.640000000596046,4879637.599999999627471,10366093.240000000223517
20120517,5407967.230000000447035,5084913.200000000186265,10492880.429999999701977
20120518,5363116.709999999962747,5146743.200000000186265,10509859.910000000149012
20120521,5407967.230000000447035,5197031.599999999627471,10604998.830000000074506
20120522,5418317.350000000558794,5253915.200000000186265,10672232.550000000745058
20120523,5418317.350000000558794,5253915.200000000186265,10672232.550000000745058
20120524,5450230.219999999739230,5364384.799999999813735,10814615.019999999552965
20120525,5399342.130000000819564,5384170.400000000372529,10783512.530000001192093
20120529,5423492.410000000149012,5414673.200000000186265,10838165.609999999403954
20120530,5338103.919999999925494,5394887.599999999627471,10732991.519999999552965
20120531,5389854.520000000484288,5426214.799999999813735,10816069.320000000298023
20120601,5225115.110000000335276,5403956.000000000000000,10629071.109999999403954
20120604,5207864.910000000149012,5440229.599999999627471,10648094.509999999776483
20120605,5244090.330000000074506,5399834.000000000000000,10643924.330000000074506
20120606,5316541.169999999925494,5435283.200000000186265,10751824.370000001043081
20120607,5339828.940000000409782,5430336.800000000745058,10770165.740000002086163
20120608,5359666.669999999925494,5624070.799999999813735,10983737.469999998807907
20120611,5309641.090000000782311,5567187.200000000186265,10876828.290000000968575
20120612,5342416.469999999739230,5582850.799999999813735,10925267.269999999552965
20120613,5317403.679999999701977,5529264.799999999813735,10846668.480000000447035
20120614,5444192.650000000372529,5575431.199999999254942,11019623.849999999627471
20120615,5469205.440000000409782,5585324.000000000000000,11054529.440000001341105
20120618,5439880.100000000558794,5615826.800000000745058,11055706.900000002235174
20120619,5472655.480000000447035,5590270.400000000372529,11062925.880000000819564
20120620,5507155.880000000819564,5648802.799999999813735,11155958.679999999701977
20120621,5397617.110000000335276,5581202.000000000000000,10978819.109999999403954
20120622,5464030.380000000819564,5548226.000000000000000,11012256.380000000819564
20120625,5360529.179999999701977,5620773.200000000186265,10981302.379999998956919
