訓練日期,20140904 - 20141204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11747138.359999999403954
真實報酬,1747138.359999999403954

夏普值報酬,0.166013836000000
夏普值風險,0.047602434169754
夏普值,3.487507286034592

預期報酬,26582.028312496673607
風險,146789.130113241466461
趨勢值,0.181089896043323
找到最佳解世代,2601
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](3),
Stock#,NKE[19](1),PG[21](3),
張數,126871,60313,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.890000000596046,52.299999999813735,
20140904,5069779.050000000745058,5048250.400000000372529,10118029.450000001117587
20140905,5204262.310000001452863,5052472.309999999590218,10256734.620000001043081
20140908,5227099.090000000782311,5025331.459999999031425,10252430.550000000745058
20140909,5191575.210000000894070,5005428.169999999925494,10197003.380000000819564
20140910,5232173.930000000633299,5044631.620000000111759,10276805.550000000745058
20140911,5190306.500000000000000,5035584.669999999925494,10225891.169999999925494
20140912,5191575.210000000894070,5021712.679999999701977,10213287.890000000596046
20140915,5177619.400000001303852,5058503.610000000335276,10236123.010000001639128
20140916,5150976.490000001154840,5071169.339999999850988,10222145.830000001937151
20140917,5171275.850000000558794,5075994.379999999888241,10247270.230000000447035
20140918,5200456.180000000633299,5077803.769999999552965,10278259.949999999254942
20140919,5190306.500000000000000,5094691.410000000149012,10284997.910000000149012
20140922,5119258.740000001154840,5115197.830000000074506,10234456.570000000298023
20140923,5082466.150000001303852,5092882.019999999552965,10175348.170000001788139
20140924,5128139.710000000894070,5141132.419999999925494,10269272.130000000819564
20140925,5059629.370000001043081,5086247.589999999850988,10145876.960000000894070
20140926,5677491.140000000596046,5101325.839999999850988,10778816.980000000447035
20140929,5653385.650000001303852,5092882.019999999552965,10746267.670000001788139
20140930,5658460.490000001154840,5050662.919999999925494,10709123.410000000149012
20141001,5563307.240000001154840,5014475.120000000111759,10577782.360000001266599
20141002,5664804.040000000037253,5009046.949999999254942,10673850.989999998360872
20141003,5728239.540000000037253,5053678.570000000298023,10781918.109999999403954
20141006,5659729.200000000186265,5040409.709999999031425,10700138.910000000149012
20141007,5587412.730000000447035,5015681.379999999888241,10603094.109999999403954
20141008,5635623.710000000894070,5077200.640000000596046,10712824.350000001490116
20141009,5534126.910000000149012,5045837.879999999888241,10579964.789999999105930
20141010,5531589.490000001154840,5107960.269999999552965,10639549.760000001639128
20141013,5417405.590000000782311,5028347.110000000335276,10445752.700000001117587
20141014,5398374.940000000409782,5039203.449999999254942,10437578.390000000596046
20141015,5403449.780000001192093,5003015.650000000372529,10406465.430000001564622
20141016,5521439.810000001452863,4960193.419999999925494,10481633.230000000447035
20141017,5530320.780000001192093,5022315.809999999590218,10552636.589999999850988
20141020,5639429.840000000782311,5077200.640000000596046,10716630.480000000447035
20141021,5749807.610000000335276,5103135.229999999515712,10852942.839999999850988
20141022,5700327.920000000856817,5080216.290000000037253,10780544.210000000894070
20141023,5733314.379999999888241,5019903.290000000037253,10753217.669999999925494
20141024,5766300.840000000782311,5136307.379999999888241,10902608.220000000670552
20141027,5813243.110000000335276,5183954.650000000372529,10997197.760000001639128
20141028,5865260.219999999739230,5215317.410000000149012,11080577.629999998956919
20141029,5833542.469999999739230,5219539.320000000298023,11053081.789999999105930
20141030,5899515.390000000596046,5243664.519999999552965,11143179.910000000149012
20141031,5898246.680000000633299,5263567.809999999590218,11161814.490000000223517
20141103,5928695.719999999739230,5270202.239999999292195,11198897.959999999031425
20141104,5960413.469999999739230,5346196.620000000111759,11306610.089999999850988
20141105,6006087.030000001192093,5367909.299999999813735,11373996.330000001937151
20141106,6001012.190000000409782,5361878.000000000000000,11362890.190000001341105
20141107,5948995.080000001005828,5375749.989999999292195,11324745.070000000298023
20141110,6023848.969999999739230,5395050.150000000372529,11418899.120000001043081
20141111,6018774.129999999888241,5408319.009999999776483,11427093.140000000596046
20141112,6078403.500000000000000,5396859.540000000037253,11475263.039999999105930
20141113,6097434.150000001303852,5343784.099999999627471,11441218.250000000000000
20141114,6058104.140000000596046,5314230.729999999515712,11372334.870000001043081
20141117,6093628.020000000484288,5297946.219999999739230,11391574.240000000223517
20141118,6120270.930000000633299,5304580.650000000372529,11424851.580000001937151
20141119,6150719.969999999739230,5351624.790000000037253,11502344.759999999776483
20141120,6172288.040000000037253,5335943.410000000149012,11508231.449999999254942
20141121,6179900.300000000745058,5343784.099999999627471,11523684.400000000372529
20141124,6214155.469999999739230,5314230.729999999515712,11528386.199999999254942
20141125,6172288.040000000037253,5355846.699999999254942,11528134.739999998360872
20141126,6204005.790000000037253,5360671.739999999292195,11564677.529999999329448
20141128,6299159.040000000037253,5454156.890000000596046,11753315.929999999701977
20141201,6197662.240000001154840,5433047.339999999850988,11630709.580000001937151
20141202,6219230.310000001452863,5492757.209999999031425,11711987.519999999552965
20141203,6248410.640000000596046,5428222.299999999813735,11676632.940000001341105
20141204,6283934.520000000484288,5463203.839999999850988,11747138.359999999403954
