訓練日期,20151118 - 20160223
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10843269.880000000819564
真實報酬,843269.880000000819564

夏普值報酬,0.075626988000000
夏普值風險,0.026522753998878
夏普值,2.851400273259695

預期報酬,14370.110842790809329
風險,144692.525568324519554
趨勢值,0.099314811088878
找到最佳解世代,1738
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PG[21](2),WMT[28](1),
Stock#,MCD[15](3),PG[21](2),WMT[28](1),
張數,30046,44402,55629,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.760000000242144,74.860000000335276,43.319999999832362,
20151118,3381106.140000000130385,3370186.660000000614673,3389518.290000000037253,10140812.089999999850988
20151119,3404241.560000000055879,3384395.300000000279397,3376723.620000000111759,10165361.480000000447035
20151120,3422569.620000000111759,3366634.500000000000000,3341677.349999999627471,10130882.469999998807907
20151123,3439395.380000000353903,3373294.800000000279397,3352246.859999999869615,10164938.040000000968575
20151124,3433686.640000000130385,3394607.760000000242144,3333333.000000000000000,10161628.400000000372529
20151125,3437292.160000000614673,3370186.660000000614673,3351134.279999999795109,10158614.100000001490116
20151127,3432184.340000000316650,3361306.260000000242144,3331664.129999999888241,10125155.730000000447035
20151130,3430081.120000000111759,3323120.540000000502914,3273253.680000000167638,10026456.339999999850988
20151201,3438794.460000000428408,3371962.740000000223517,3281598.029999999795109,10092356.230000000447035
20151202,3416860.880000000353903,3365302.440000000409782,3245995.469999999739230,10028159.789999999105930
20151203,3406945.700000000186265,3363082.340000000316650,3284379.479999999981374,10054408.520000001415610
20151204,3491374.960000000428408,3455882.520000000484288,3318869.459999999497086,10266127.939999999478459
20151207,3497985.080000000074506,3479859.600000000558794,3365597.819999999832362,10343443.500000000000000
20151208,3501290.140000000130385,3452330.360000000335276,3316088.009999999776483,10269709.509999999776483
20151209,3502792.440000000409782,3450110.260000000242144,3289386.089999999850988,10242289.790000000968575
20151210,3521420.960000000428408,3454106.440000000409782,3313306.560000000055879,10288834.960000000894070
20151211,3487769.440000000409782,3453662.420000000391155,3302180.759999999776483,10243613.620000001043081
20151214,3493177.720000000204891,3476307.440000000409782,3359478.629999999888241,10328964.789999999105930
20151215,3513308.540000000502914,3538026.220000000670552,3317756.879999999888241,10369092.640000000596046
20151216,3540650.400000000372529,3596192.840000000316650,3354472.019999999552965,10491316.259999999776483
20151217,3530434.760000000242144,3565111.440000000409782,3281041.739999999757856,10376588.940000001341105
20151218,3505196.120000000111759,3469203.120000000111759,3273809.969999999739230,10248210.210000000894070
20151221,3536143.500000000000000,3505612.760000000242144,3312750.269999999552965,10354507.529999999329448
20151222,3537044.880000000353903,3534474.060000000055879,3367822.979999999981374,10439342.919999999925494
20151223,3569494.560000000055879,3548682.700000000186265,3398418.930000000167638,10516597.189999999478459
20151224,3562583.979999999981374,3542910.440000000409782,3383955.389999999664724,10489450.809999998658895
20151228,3567992.260000000242144,3548682.700000000186265,3379505.069999999832362,10496181.030000001192093
20151229,3607652.979999999981374,3568219.580000000540167,3427346.009999999776483,10603219.570000000298023
20151230,3588423.540000000502914,3555343.000000000000000,3431240.040000000037253,10575007.580000001937151
20151231,3549664.200000000186265,3526037.680000000167638,3410101.019999999552965,10485803.900000000372529
20160104,3532838.440000000409782,3479859.600000000558794,3419001.659999999683350,10431700.700000001117587
20160105,3581512.960000000428408,3490960.100000000558794,3500220.000000000000000,10572694.060000000521541
20160106,3557476.160000000614673,3457214.580000000540167,3535266.269999999552965,10549958.010000001639128
20160107,3475150.120000000111759,3427021.220000000670552,3617597.189999999944121,10519769.530000001192093
20160108,3469741.840000000316650,3373294.800000000279397,3534709.979999999981374,10377747.620000001043081
20160111,3506097.500000000000000,3404376.200000000186265,3572537.699999999720603,10483012.400000000372529
20160112,3528632.000000000000000,3397271.880000000353903,3539160.299999999813735,10465065.179999999701977
20160113,3458925.280000000260770,3367966.560000000055879,3444591.000000000000000,10271483.839999999850988
20160114,3503994.280000000260770,3381287.160000000614673,3508008.060000000055879,10393290.500000001862645
20160115,3460728.040000000502914,3329336.820000000298023,3445147.290000000037253,10235213.150000002235174
20160119,3530434.760000000242144,3407040.320000000298023,3480193.560000000055879,10417669.640000000596046
20160120,3478755.640000000130385,3367078.520000000484288,3384511.680000000167638,10230346.839999999850988
20160121,3540650.400000000372529,3406596.300000000279397,3442365.839999999850988,10389613.540000000968575
20160122,3557476.160000000614673,3435013.580000000540167,3487425.329999999608845,10479916.070000000298023
20160125,3581512.960000000428408,3412368.560000000055879,3529703.370000000111759,10523585.890000000596046
20160126,3618469.540000000502914,3499396.480000000447035,3560299.319999999832362,10678166.340000001713634
20160127,3631689.780000000260770,3498952.460000000428408,3557517.870000000111759,10688161.109999999403954
20160128,3677059.240000000223517,3544242.500000000000000,3572537.699999999720603,10793840.439999999478459
20160129,3719123.640000000130385,3627274.240000000223517,3691583.759999999776483,11037982.640000000596046
20160201,3744061.820000000298023,3601965.100000000558794,3755000.819999999832362,11101028.740000000223517
20160202,3724231.460000000428408,3562003.300000000279397,3719398.259999999776483,11005634.019999999552965
20160203,3649717.380000000353903,3601077.060000000055879,3686577.149999999441206,10937372.589999999850988
20160204,3625380.120000000111759,3583316.260000000242144,3694921.500000000000000,10903618.880000000819564
20160205,3467338.160000000614673,3605517.260000000242144,3727186.319999999832362,10800042.740000000223517
20160208,3486868.060000000055879,3668568.100000000558794,3721623.419999999925494,10877060.580000000074506
20160209,3515712.220000000204891,3669456.140000000130385,3660987.810000000055879,10846157.169999999925494
20160210,3531636.600000000558794,3624166.100000000558794,3659875.229999999981374,10815678.930000001564622
20160211,3507299.340000000316650,3547794.660000000614673,3633729.599999999627471,10688824.600000001490116
20160212,3543354.540000000502914,3596192.840000000316650,3681570.540000000037253,10821118.920000001788139
20160216,3580912.040000000502914,3617505.800000000279397,3665994.419999999925494,10864413.260000001639128
20160217,3564687.200000000186265,3661019.760000000242144,3677676.509999999776483,10903384.470000000670552
20160218,3520519.580000000074506,3640150.820000000298023,3566974.800000000279397,10727646.200000001117587
20160219,3501290.140000000130385,3631714.440000000409782,3597014.459999999497086,10730020.039999999105930
20160222,3535542.580000000074506,3646811.120000000111759,3650974.589999999385327,10833329.289999999105930
20160223,3512407.160000000614673,3632602.480000000447035,3698259.240000000223517,10843269.880000000819564
