訓練日期,20121119 - 20130222
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12272400.759999999776483
真實報酬,2272400.759999999776483

夏普值報酬,0.218540076000000
夏普值風險,0.062299883668061
夏普值,3.507872938646250

預期報酬,38000.607639032728912
風險,84790.660011746353121
趨勢值,0.448169735130831
找到最佳解世代,2359
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](6),JNJ[12](13),NKE[19](11),WBA[27](3),
Stock#,GS[8](6),JNJ[12](13),NKE[19](11),WBA[27](3),
張數,21581,36132,107991,77736,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,56.959999999962747,26.919999999925494,8.350000000093132,10.240000000223517,
20121119,2553089.259999999776483,2502167.919999999925494,2600431.629999999888241,2538090.640000000130385,10193779.449999999254942
20121120,2548557.250000000000000,2517343.359999999869615,2580993.250000000000000,2543532.160000000149012,10190426.019999999552965
20121121,2540140.660000000149012,2514452.800000000279397,2580993.250000000000000,2536535.920000000391155,10172122.630000000819564
20121123,2596467.069999999832362,2513368.839999999850988,2612310.640000000130385,2572294.480000000447035,10294441.030000001192093
20121126,2610063.100000000093132,2496386.800000000279397,2637148.570000000298023,2570739.760000000242144,10314338.230000000447035
20121127,2555463.169999999925494,2486269.839999999850988,2618790.100000000093132,2567630.320000000298023,10228153.429999999701977
20121128,2575317.689999999944121,2503613.200000000186265,2676025.330000000074506,2590173.760000000242144,10345129.980000000447035
20121129,2562369.089999999850988,2501083.959999999962747,2671705.689999999944121,2623600.240000000223517,10358758.980000000447035
20121130,2542082.950000000186265,2519511.280000000260770,2631749.020000000018626,2636038.000000000000000,10329381.250000000000000
20121203,2555247.359999999869615,2516620.720000000204891,2633908.840000000316650,2664800.320000000298023,10370577.240000000223517
20121204,2515969.939999999944121,2524208.439999999944121,2637148.570000000298023,2664022.960000000428408,10341349.910000000149012
20121205,2527839.489999999757856,2528182.959999999962747,2637148.570000000298023,2765079.760000000242144,10458250.779999999329448
20121206,2529350.160000000149012,2531073.520000000018626,2657666.859999999869615,2786845.840000000316650,10504936.379999998956919
20121207,2515754.129999999888241,2545526.319999999832362,2661986.500000000000000,2806279.840000000316650,10529546.789999999105930
20121210,2525249.770000000018626,2550946.119999999646097,2647947.669999999925494,2825713.840000000316650,10549857.400000000372529
20121211,2565174.620000000111759,2569012.119999999646097,2683584.700000000186265,2849034.640000000130385,10666806.080000000074506
20121212,2548557.250000000000000,2563953.639999999664724,2678185.150000000372529,2850589.360000000335276,10641285.400000000372529
20121213,2557405.459999999962747,2556365.919999999925494,2627429.379999999888241,2838151.600000000093132,10579352.359999999403954
20121214,2575965.120000000111759,2554198.000000000000000,2616630.280000000260770,2857585.600000000093132,10604379.000000000000000
20121217,2665094.649999999906868,2563231.000000000000000,2645787.850000000093132,2887125.280000000260770,10761238.780000001192093
20121218,2757461.330000000074506,2563592.319999999832362,2670625.780000000260770,2918997.040000000037253,10910676.470000000670552
20121219,2746239.209999999962747,2552030.079999999608845,2640388.299999999813735,2894898.880000000353903,10833556.469999998807907
20121220,2799544.279999999795109,2556365.919999999925494,2672785.600000000093132,2918997.040000000037253,10947692.839999999850988
20121221,2771920.600000000093132,2539022.559999999590218,2838011.830000000074506,2822604.400000000372529,10971559.390000000596046
20121224,2752497.700000000186265,2529989.559999999590218,2850970.750000000000000,2835042.160000000149012,10968500.169999999925494
20121226,2744296.919999999925494,2535409.359999999869615,2772137.320000000298023,2849812.000000000000000,10901655.599999999627471
20121227,2733722.229999999981374,2532518.800000000279397,2794815.430000000167638,2839706.320000000298023,10900762.780000001192093
20121228,2708904.080000000074506,2510478.280000000260770,2753778.850000000093132,2840483.680000000167638,10813644.890000000596046
20121231,2752929.319999999832362,2532880.119999999646097,2786176.150000000372529,2877019.600000000093132,10949005.189999999478459
20130102,2841411.419999999925494,2559617.800000000279397,2799135.070000000298023,2958642.400000000372529,11158806.690000001341105
20130103,2825873.100000000093132,2556004.599999999627471,2828292.640000000130385,2937653.680000000167638,11147824.019999999552965
20130104,2902917.269999999552965,2585271.520000000018626,2855290.390000000130385,2890234.720000000204891,11233713.900000000372529
20130107,2897522.019999999552965,2579851.720000000204891,2859610.030000000260770,2956310.320000000298023,11293294.089999999850988
20130108,2871409.010000000242144,2580213.039999999571592,2829372.549999999813735,2967193.360000000335276,11248187.960000000894070
20130109,2898816.879999999888241,2591775.280000000260770,2832612.280000000260770,2988959.440000000409782,11312163.880000000819564
20130110,2964638.930000000167638,2608396.000000000000000,2838011.830000000074506,2998287.760000000242144,11409334.519999999552965
20130111,2959459.489999999757856,2614177.119999999646097,2867169.400000000372529,3039487.840000000316650,11480293.849999999627471
20130114,2937878.489999999757856,2621764.839999999850988,2872568.950000000186265,3034823.680000000167638,11467035.960000000894070
20130115,2926224.750000000000000,2614899.760000000242144,2896326.970000000204891,3055035.040000000037253,11492486.519999999552965
20130116,3044920.250000000000000,2622487.479999999981374,2901726.520000000018626,3062031.280000000260770,11631165.530000001192093
20130117,3043193.769999999552965,2634049.720000000204891,2887687.689999999944121,3059699.200000000186265,11624630.379999998956919
20130118,3117432.409999999683350,2645973.280000000260770,2877968.500000000000000,3048038.800000000279397,11689412.990000000223517
20130122,3149803.909999999683350,2626462.000000000000000,2887687.689999999944121,3069804.880000000353903,11733758.480000000447035
20130123,3141387.319999999832362,2632243.119999999646097,2867169.400000000372529,3072136.960000000428408,11712936.800000000745058
20130124,3128438.720000000204891,2641276.119999999646097,2908205.979999999981374,3065918.080000000074506,11743838.900000000372529
20130125,3117648.220000000204891,2670904.359999999869615,2999998.330000000074506,3083797.360000000335276,11872348.269999999552965
20130128,3110958.109999999869615,2660064.760000000242144,2942763.100000000093132,3117223.840000000316650,11831009.810000000521541
20130129,3174622.060000000055879,2688609.039999999571592,2911445.709999999962747,3114114.400000000372529,11888791.209999999031425
20130130,3175701.109999999869615,2677046.800000000279397,2895247.060000000055879,3099344.560000000055879,11847339.530000001192093
20130131,3191023.620000000111759,2670904.359999999869615,2919005.080000000074506,3106340.800000000279397,11887273.860000001266599
20130201,3235048.859999999869615,2680298.680000000167638,2899566.700000000186265,3133548.400000000372529,11948462.640000000596046
20130204,3183686.080000000074506,2677769.439999999944121,2897406.879999999888241,3110227.600000000093132,11869089.999999998137355
20130205,3246918.409999999683350,2697642.039999999571592,2910365.799999999813735,3212839.120000000111759,12067765.370000001043081
20130206,3261377.680000000167638,2724018.399999999906868,2924404.629999999888241,3221390.080000000074506,12131190.790000000968575
20130207,3242818.019999999552965,2712094.839999999850988,2952482.290000000037253,3211284.400000000372529,12118679.549999998882413
20130208,3271736.560000000055879,2727270.280000000260770,2948162.650000000372529,3218280.640000000130385,12165450.130000000819564
20130211,3285548.400000000372529,2724741.039999999571592,2981639.859999999869615,3224499.520000000018626,12216428.819999998435378
20130212,3325904.870000000111759,2738832.520000000018626,2975160.400000000372529,3261035.440000000409782,12300933.230000000447035
20130213,3334753.080000000074506,2733774.039999999571592,2946002.830000000074506,3224499.520000000018626,12239029.469999998807907
20130214,3365182.290000000037253,2739193.839999999850988,2949242.560000000055879,3254039.200000000186265,12307657.890000000596046
20130215,3344896.150000000372529,2751840.039999999571592,2967601.030000000260770,3198846.640000000130385,12263183.859999999403954
20130219,3423882.609999999869615,2780745.639999999664724,2941683.189999999944121,3241601.440000000409782,12387912.879999998956919
20130220,3348996.540000000037253,2769544.720000000204891,2916845.260000000242144,3233827.840000000316650,12269214.359999999403954
20130221,3256198.239999999757856,2777493.760000000242144,2944922.919999999925494,3235382.560000000055879,12213997.480000000447035
20130222,3325473.250000000000000,2755091.919999999925494,2941683.189999999944121,3250152.400000000372529,12272400.759999999776483
