訓練日期,20101210 - 20110315
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11102216.199999999254942
真實報酬,1102216.199999999254942

夏普值報酬,0.101521620000000
夏普值風險,0.037796017296527
夏普值,2.686040150831654

預期報酬,21034.009904339924105
風險,77715.756108195622801
趨勢值,0.270653094786293
找到最佳解世代,2248
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](1),KO[14](22),MMM[16](6),PFE[20](2),UNH[23](7),
Stock#,CVX[5](1),KO[14](22),MMM[16](6),PFE[20](2),UNH[23](7),
張數,23081,61690,23778,119331,54570,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.349999999860302,10.199999999953434,32.419999999925494,12.439999999711290,9.500000000000000,
20101210,2008770.779999999795109,1994447.899999999906868,2004993.379999999655411,2031026.059999999590218,2001091.400000000139698,10040329.519999999552965
20101213,2039699.320000000065193,2000000.000000000000000,2028295.819999999832362,2051312.329999999841675,2013642.500000000000000,10132949.970000000670552
20101214,2039930.129999999655411,1971005.699999999953434,2041135.939999999944121,2041765.849999999627471,1991814.500000000000000,10085652.119999999180436
20101215,2031390.159999999916181,1996915.499999999767169,2040422.600000000093132,2038185.919999999459833,1934516.000000000232831,10041430.179999999701977
20101216,2055625.209999999962747,2015422.500000000000000,2054451.620000000111759,2054892.259999999543652,1943247.199999999953434,10123638.789999999105930
20101217,2042469.039999999804422,2026526.699999999953434,2053738.280000000027940,2032219.369999999878928,1912687.999999999767169,10067641.389999998733401
20101220,2049624.149999999906868,2014805.599999999627471,2076802.939999999944121,2048925.709999999962747,1919782.100000000093132,10109940.500000000000000
20101221,2059548.979999999981374,2019740.800000000046566,2057542.760000000009313,2073985.219999999506399,1927967.599999999860302,10138785.359999999403954
20101222,2075474.869999999878928,2023442.199999999720603,2062060.579999999841675,2095464.799999999580905,1955798.300000000279397,10212240.750000000000000
20101223,2093016.429999999934807,2022825.299999999813735,2056116.079999999841675,2101431.349999999627471,1951978.400000000139698,10225367.559999998658895
20101227,2080091.070000000065193,2006785.900000000139698,2068956.199999999953434,2087111.629999999422580,1939427.300000000046566,10182372.099999999627471
20101228,2104787.740000000223517,2016039.399999999906868,2062536.139999999897555,2099044.729999999515712,1949249.899999999906868,10231657.910000000149012
20101229,2108942.320000000298023,2019123.899999999674037,2063011.699999999953434,2100238.040000000037253,1959618.199999999720603,10250934.160000000149012
20101230,2114250.950000000186265,2020357.699999999953434,2057780.540000000037253,2087111.629999999422580,1961255.299999999813735,10240756.120000001043081
20101231,2106172.599999999627471,2028994.300000000046566,2052073.819999999832362,2089498.250000000000000,1970532.199999999953434,10247271.169999998062849
20110103,2122098.490000000223517,2011721.099999999860302,2063725.040000000037253,2109784.519999999552965,2026193.600000000093132,10333522.750000000000000
20110104,2114250.950000000186265,1970388.800000000046566,2060871.679999999934807,2146777.129999999888241,2044747.399999999906868,10337035.959999999031425
20110105,2110557.990000000223517,1958667.699999999953434,2060871.679999999934807,2161096.849999999627471,2051295.800000000279397,10342490.019999999552965
20110106,2093247.239999999757856,1944479.000000000000000,2048269.339999999850988,2169450.019999999552965,2093860.399999999906868,10349306.000000000000000
20110107,2104787.740000000223517,1940777.600000000093132,2050409.360000000102445,2188542.979999999515712,2098226.000000000000000,10382743.679999999701977
20110110,2086784.559999999823049,1945095.900000000139698,2072285.120000000111759,2178996.500000000000000,2098226.000000000000000,10381388.080000000074506
20110111,2119559.580000000074506,1933991.699999999953434,2086314.139999999897555,2174223.259999999776483,2132605.100000000093132,10446693.779999999329448
20110112,2133869.799999999813735,1944479.000000000000000,2108189.899999999906868,2192122.910000000149012,2120599.700000000186265,10499261.309999998658895
20110113,2127637.929999999701977,1955583.199999999953434,2093447.540000000037253,2174223.259999999776483,2160981.500000000000000,10511873.429999999701977
