訓練日期,20131115 - 20140220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11469012.100000001490116
真實報酬,1469012.100000001490116

夏普值報酬,0.138201210000000
夏普值風險,0.041485027127422
夏普值,3.331351563915192

預期報酬,21389.142891368162964
風險,121199.016496952870511
趨勢值,0.176479508741772
找到最佳解世代,2380
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),MRK[17](2),V[25](3),
Stock#,CAT[3](1),MRK[17](2),V[25](3),
張數,39796,69705,66613,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.039999999571592,39.899999999906868,18.479999999981374,
20131115,3332537.079999999143183,3350759.250000000000000,3363974.979999999981374,10047272.309999998658895
20131118,3344475.879999999888241,3346576.949999999720603,3329336.219999999739230,10020390.050000000745058
20131119,3329751.359999999869615,3350759.250000000000000,3287370.030000000260770,9967881.640000000596046
20131120,3290353.319999999832362,3354941.550000000279397,3299360.370000000111759,9944656.240000000223517
20131121,3268067.559999999590218,3389096.999999999534339,3357313.679999999701977,10014479.239999998360872
20131122,3298312.519999999552965,3411402.599999999627471,3365973.370000000111759,10075689.489999998360872
20131125,3358802.439999999944121,3461590.199999999720603,3362642.719999999739230,10183036.359999999403954
20131126,3357210.599999999627471,3456013.799999999813735,3389287.919999999925494,10202513.320000000298023
20131127,3369547.359999999869615,3473440.049999999813735,3397281.479999999981374,10240269.890000000596046
20131129,3366761.639999999199063,3473440.049999999813735,3388621.790000000037253,10228824.480000000447035
20131202,3352833.039999999571592,3497836.799999999813735,3415933.120000000111759,10266603.960000000894070
20131203,3337710.559999999590218,3468560.699999999720603,3359978.199999999720603,10166250.459999999031425
20131204,3341690.159999999683350,3437193.450000000186265,3376631.449999999720603,10155516.059999998658895
20131205,3359200.399999999441206,3402340.950000000186265,3359312.069999999832362,10120854.419999999925494
20131206,3402578.039999999571592,3442769.850000000093132,3361976.589999999850988,10207325.480000000447035
20131209,3426057.679999999701977,3454619.700000000186265,3357313.679999999701977,10237992.059999998658895
20131210,3439190.359999999869615,3445558.049999999813735,3321342.660000000149012,10206092.070000000298023
20131211,3393822.919999999459833,3412099.649999999906868,3425258.939999999944121,10231182.509999999776483
20131212,3405363.759999999310821,3368185.500000000000000,3387955.660000000149012,10161505.919999999925494
20131213,3424465.839999999385327,3372367.800000000279397,3453236.400000000372529,10250071.039999999105930
20131216,3477394.519999999552965,3352153.350000000093132,3459897.699999999720603,10289446.569999998435378
20131217,3459088.359999999869615,3338909.399999999906868,3551157.510000000242144,10349156.269999999552965
20131218,3508833.359999999869615,3408614.399999999906868,3586462.400000000372529,10503911.160000000149012
20131219,3483761.879999999888241,3400946.849999999627471,3598452.740000000223517,10483162.469999998807907
20131220,3539078.319999999832362,3437890.500000000000000,3596454.350000000093132,10573424.169999999925494
20131223,3580068.199999999254942,3440678.699999999720603,3631093.109999999869615,10651841.009999997913837
20131224,3617874.399999999441206,3444163.949999999720603,3642417.319999999832362,10704456.669999999925494
20131226,3627425.439999999944121,3465772.500000000000000,3667064.129999999888241,10760263.070000000298023
20131227,3616282.559999999590218,3470651.849999999627471,3658404.439999999944121,10745339.849999999627471
20131230,3616282.559999999590218,3481107.599999999627471,3679054.469999999739230,10776445.629999998956919
20131231,3613894.799999999813735,3488775.149999999906868,3708364.189999999944121,10811035.139999998733401
20140102,3576486.559999999590218,3449740.350000000093132,3680386.729999999981374,10706614.640000000596046
20140103,3574496.759999999310821,3466469.549999999813735,3683051.250000000000000,10724018.559999998658895
20140106,3527537.479999999515712,3467166.600000000093132,3661068.959999999962747,10655774.039999999105930
20140107,3539078.319999999832362,3492957.449999999720603,3689046.419999999925494,10721083.189999999478459
20140108,3547435.479999999515712,3470651.849999999627471,3701036.760000000242144,10719125.089999999850988
20140109,3570119.199999999254942,3451831.500000000000000,3695707.719999999739230,10717659.419999998062849
20140110,3601956.000000000000000,3476925.300000000279397,3682385.120000000111759,10761267.420000001788139
20140113,3577282.479999999515712,3702769.499999999534339,3645747.969999999739230,10925800.949999999254942
20140114,3603945.799999999813735,3694404.899999999906868,3707698.059999999590218,11006049.759999997913837
20140115,3677568.399999999441206,3660946.500000000000000,3726349.699999999720603,11064865.599999999627471
20140116,3661650.000000000000000,3659552.399999999906868,3693043.199999999720603,11014246.599999999627471
20140117,3638966.279999999329448,3621214.649999999906868,3866903.129999999888241,11127085.059999998658895
20140121,3605537.639999999199063,3612850.049999999813735,3862240.219999999739230,11080628.910000000149012
20140122,3567333.479999999515712,3579391.649999999906868,3880225.729999999981374,11026951.859999999403954
20140123,3521170.119999999646097,3596817.899999999906868,3800956.260000000242144,10918945.279999999329448
20140124,3429241.359999999869615,3623305.799999999813735,3684383.510000000242144,10736931.669999999925494
20140127,3632996.879999999888241,3661643.549999999813735,3601117.260000000242144,10895758.689999999478459
20140128,3679956.159999999683350,3685343.249999999534339,3679720.600000000093132,11045021.009999999776483
20140129,3606333.559999999590218,3639337.950000000186265,3615772.120000000111759,10861444.629999998956919
20140130,3709007.239999999757856,3729954.449999999720603,3678388.339999999850988,11117351.029999999329448
20140131,3737262.399999999441206,3692313.750000000000000,3587794.660000000149012,11017371.809999998658895
20140203,3677966.359999999869615,3630276.299999999813735,3555154.290000000037253,10863397.949999999254942
20140204,3681150.039999999571592,3729954.449999999720603,3573139.799999999813735,10984245.289999999105930
20140205,3659660.199999999254942,3731348.549999999813735,3590459.179999999701977,10981468.929999999701977
20140206,3734078.719999999273568,3748077.750000000000000,3647080.229999999981374,11129237.699999999254942
20140207,3775466.559999999590218,3817782.750000000000000,3693709.330000000074506,11286959.640000000596046
20140210,3760742.039999999571592,3826147.350000000093132,3673059.299999999813735,11259949.689999999478459
20140211,3779048.199999999254942,3882608.399999999906868,3702369.020000000018626,11364026.619999999180436
20140212,3827201.359999999869615,3833814.899999999906868,3733011.000000000000000,11394028.259999999776483
20140213,3824813.599999999627471,3840785.399999999906868,3731012.609999999869615,11396612.609999999403954
20140214,3842323.839999999385327,3864485.099999999627471,3763652.979999999981374,11470462.919999999925494
20140218,3842721.799999999813735,3881911.349999999627471,3764985.240000000223517,11489619.390000000596046
20140219,3828793.199999999254942,3836603.099999999627471,3728348.089999999850988,11393745.389999998733401
20140220,3857048.359999999869615,3890275.950000000186265,3721686.790000000037253,11469012.100000001490116
