訓練日期,20170321 - 20170621
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10667774.740000000223517
真實報酬,667774.740000000223517

夏普值報酬,0.058077474000000
夏普值風險,0.022301876482083
夏普值,2.604151899355083

預期報酬,11305.031508354244579
風險,51533.305188026723044
趨勢值,0.219373305614810
找到最佳解世代,3074
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](2),MCD[15](1),PFE[20](20),WMT[28](3),XOM[29](16),
Stock#,KO[14](2),MCD[15](1),PFE[20](20),WMT[28](3),XOM[29](16),
張數,47415,15530,58173,28579,24390,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.300000000046566,46.600000000093132,12.259999999776483,41.579999999841675,20.000000000000000,
20170321,2015172.800000000046566,1995962.200000000186265,1992437.509999999776483,1997713.679999999934807,1995853.699999999953434,9997139.889999998733401
20170322,2009483.000000000232831,2004969.600000000093132,2005235.569999999599531,2007716.329999999841675,1994146.400000000139698,10021550.900000000372529
20170323,1999525.850000000093132,2003416.600000000093132,1994764.429999999701977,1996570.519999999785796,1996585.399999999906868,9990862.799999998882413
20170324,1997155.099999999860302,2008696.800000000046566,1977894.259999999776483,1989425.769999999785796,1981219.700000000186265,9954391.629999998956919
20170327,2006638.100000000093132,2011026.300000000279397,1988365.399999999674037,1990854.719999999739230,1981707.500000000000000,9978592.019999999552965
20170328,2011853.750000000000000,2010405.099999999860302,1987201.939999999478459,2009716.859999999636784,1996097.600000000093132,10015275.249999998137355
20170329,2011379.600000000093132,2000931.800000000046566,1997091.349999999627471,2021720.039999999804422,2000487.799999999813735,10031610.589999999850988
20170330,2019914.300000000046566,2008386.199999999953434,1998254.809999999823049,2046012.189999999944121,2041463.000000000000000,10114030.500000000000000
20170331,2012327.899999999906868,2012889.900000000372529,1990110.589999999850988,2060015.899999999906868,2000243.900000000139698,10075588.190000001341105
20170403,2010905.449999999953434,2012889.900000000372529,1991855.779999999795109,2052871.149999999906868,2001707.299999999813735,10070229.580000001937151
20170404,2023707.500000000000000,2007920.300000000046566,1997673.080000000074506,2058015.369999999878928,2009024.300000000046566,10096340.550000000745058
20170405,2018491.850000000093132,2025313.900000000139698,1988947.129999999655411,2047726.929999999934807,2012926.699999999953434,10093406.509999999776483
20170406,2023233.350000000093132,2021276.100000000093132,1984293.289999999804422,2041439.550000000046566,2024633.900000000139698,10094876.189999999478459
20170407,2020388.449999999953434,2018325.400000000139698,1983711.559999999823049,2083450.679999999934807,2018536.400000000139698,10124412.490000000223517
20170410,2024181.649999999906868,2018636.000000000000000,1980221.179999999701977,2088023.319999999832362,2027560.699999999953434,10138622.849999999627471
20170411,2022759.199999999953434,2037582.599999999860302,1973822.149999999674037,2098597.549999999813735,2020487.600000000093132,10153249.099999999627471
20170412,2036035.399999999906868,2038514.399999999906868,1973240.419999999925494,2098883.339999999850988,2023658.300000000046566,10170331.859999999403954
20170413,2028923.149999999906868,2030749.399999999906868,1970913.500000000000000,2090595.429999999934807,1992439.099999999860302,10113620.580000000074506
20170417,2042199.350000000093132,2039912.100000000093132,1977894.259999999776483,2100312.290000000037253,1989756.199999999953434,10150074.199999999254942
20170418,2061639.500000000000000,2054665.600000000325963,1968586.580000000074506,2111743.889999999664724,1976829.500000000000000,10173465.070000000298023
20170419,2049785.750000000000000,2059945.799999999813735,1955206.789999999804422,2116888.109999999403954,1963171.099999999860302,10144997.549999998882413
20170420,2043147.650000000139698,2069729.700000000186265,1962769.279999999795109,2137750.779999999329448,1975853.900000000139698,10189251.310000000521541
20170421,2042199.350000000093132,2071903.900000000139698,1956951.979999999748543,2141751.839999999850988,1968049.099999999860302,10180856.169999999925494
20170424,2052156.500000000000000,2084638.500000000000000,1962769.279999999795109,2137179.200000000186265,1978292.899999999906868,10215036.379999998956919
20170425,2044095.949999999953434,2200647.600000000093132,1963932.739999999757856,2144895.529999999329448,1993414.700000000186265,10346986.519999999552965
20170426,2050259.900000000139698,2187291.800000000279397,1969168.309999999823049,2155755.549999999813735,1985366.000000000232831,10347841.560000000521541
20170427,2039354.449999999953434,2187757.700000000186265,1969750.039999999804422,2156041.339999999850988,1981951.400000000139698,10334854.929999999701977
20170428,2045992.550000000046566,2173159.500000000000000,1973240.419999999925494,2148610.799999999813735,1991463.500000000232831,10332466.769999999552965
20170501,2049311.600000000093132,2192106.100000000093132,1965096.199999999953434,2150039.750000000000000,2001463.400000000139698,10358017.050000000745058
20170502,2057372.150000000139698,2193348.500000000000000,1955206.789999999804422,2158327.660000000149012,2001219.500000000000000,10365474.600000001490116
