訓練日期,20160122 - 20160425
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11568582.390000000596046
真實報酬,1568582.390000000596046

夏普值報酬,0.148158239000000
夏普值風險,0.042935432805335
夏普值,3.450721917064032

預期報酬,25472.789847755298979
風險,69131.514258221068303
趨勢值,0.368468564895150
找到最佳解世代,2058
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
DD[7](4),KO[14](10),MCD[15](20),MMM[16](6),MRK[17](23),PFE[20](28),UNH[23](8),UTX[24](2),XOM[29](11),
Stock#,DD[7](4),KO[14](10),MCD[15](20),MMM[16](6),MRK[17](23),PFE[20](28),UNH[23](8),UTX[24](2),XOM[29](11),
張數,18577,26844,9428,8065,21820,36334,9789,12984,14994,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,20.629999999888241,37.840000000083819,115.479999999981374,76.600000000093132,36.599999999860302,17.280000000027940,59.500000000000000,70.120000000111759,55.600000000093132,
20160122,1143434.979999999748543,1129096.480000000214204,1116390.679999999934807,1125305.400000000139698,1120493.599999999860302,1115834.420000000158325,1119235.869999999878928,1121238.520000000018626,1148146.179999999934807,10139177.129999998956919
20160125,1115941.019999999785796,1131780.879999999888241,1123933.080000000074506,1109578.650000000139698,1111111.000000000000000,1108204.280000000027940,1109936.320000000065193,1102411.720000000204891,1109311.720000000204891,10022209.670000001788139
20160126,1123371.819999999832362,1129633.360000000102445,1135529.520000000018626,1167727.300000000046566,1122675.599999999860302,1114381.060000000055879,1115613.939999999944121,1112149.720000000204891,1150095.400000000139698,10171178.720000000670552
20160127,1095506.319999999832362,1129901.800000000279397,1139677.840000000083819,1173937.350000000093132,1099109.999999999767169,1108930.959999999962747,1099657.869999999878928,1114227.160000000149012,1128953.860000000102445,10089904.160000000149012
20160128,1099221.719999999972060,1142786.920000000158325,1153914.119999999878928,1188212.400000000139698,1073580.599999999860302,1097304.080000000074506,1090358.320000000065193,1122536.920000000158325,1154443.659999999916181,10122359.740000000223517
20160129,1111111.000000000000000,1152182.320000000065193,1167113.320000000065193,1217891.600000000093132,1105656.000000000000000,1107840.939999999944121,1127360.739999999990687,1138637.080000000074506,1167338.500000000000000,10295132.500000000000000
20160201,1126529.909999999916181,1154329.840000000083819,1174938.560000000055879,1199584.050000000046566,1107401.599999999860302,1096214.060000000055879,1134506.709999999962747,1136949.160000000149012,1143947.860000000102445,10274402.750000000000000
20160202,1191363.639999999897555,1139297.199999999953434,1168716.080000000074506,1192648.150000000139698,1099982.799999999813735,1095124.040000000037253,1114830.820000000065193,1109163.400000000139698,1118458.060000000055879,10229585.190000001341105
20160203,1236505.750000000000000,1146813.520000000018626,1145334.639999999897555,1230150.400000000139698,1092127.599999999860302,1078047.060000000055879,1103769.250000000000000,1116174.760000000009313,1176784.720000000204891,10325708.700000001117587
20160204,1253782.359999999869615,1141713.160000000149012,1137697.959999999962747,1237570.200000000186265,1060270.399999999906868,1053703.280000000027940,1117963.300000000046566,1144220.200000000186265,1197026.620000000111759,10343948.480000000447035
20160205,1235205.359999999869615,1139297.199999999953434,1088106.679999999934807,1237812.150000000139698,1077508.199999999953434,1054793.300000000046566,1093686.580000000074506,1140584.680000000167638,1200775.120000000111759,10267770.269999999552965
20160208,1223130.310000000055879,1144934.439999999944121,1094234.879999999888241,1241280.100000000093132,1065507.199999999720603,1037716.319999999948777,1077045.280000000027940,1126821.640000000130385,1216968.640000000130385,10227639.810000000521541
20160209,1232790.349999999860302,1162383.040000000037253,1103285.760000000009313,1248054.700000000186265,1072707.799999999813735,1057336.680000000167638,1088204.739999999990687,1132794.280000000027940,1200775.120000000111759,10298333.469999998807907
20160210,1221272.609999999869615,1142250.040000000037253,1108282.600000000093132,1229585.850000000093132,1080781.199999999953434,1071506.939999999944121,1103671.359999999869615,1129158.760000000009313,1189829.500000000000000,10276339.859999999403954
20160211,1185233.229999999748543,1138491.879999999888241,1100645.919999999925494,1215230.149999999906868,1065943.599999999860302,1058426.699999999953434,1082918.679999999934807,1099295.560000000055879,1193578.000000000000000,10139764.719999998807907
20160212,1217185.669999999925494,1157282.680000000167638,1111959.520000000018626,1241764.000000000232831,1069871.199999999953434,1066783.520000000018626,1094665.479999999981374,1116044.920000000158325,1215019.420000000158325,10290577.410000000149012
20160216,1238920.759999999776483,1163993.680000000167638,1123744.520000000018626,1254426.050000000046566,1086236.199999999953434,1083133.820000000065193,1127262.850000000093132,1122926.440000000176951,1217868.280000000027940,10418513.599999999627471
20160217,1269572.810000000055879,1167483.400000000139698,1118653.399999999906868,1263216.900000000139698,1104128.599999999860302,1076593.699999999953434,1158098.199999999953434,1144220.200000000186265,1229563.600000000093132,10531531.810000000521541
20160218,1258426.609999999869615,1170704.680000000167638,1104794.239999999990687,1264507.300000000046566,1098018.999999999767169,1073686.979999999981374,1149777.550000000046566,1147336.360000000102445,1236310.900000000139698,10503564.620000001043081
20160219,1245608.479999999748543,1174999.720000000204891,1098760.320000000065193,1261845.850000000093132,1093654.999999999767169,1071506.939999999944121,1152029.020000000018626,1145648.440000000176951,1237060.600000000093132,10481115.369999999180436
20160222,1266972.030000000027940,1179563.199999999953434,1109508.239999999990687,1271927.100000000093132,1107838.000000000000000,1091853.979999999981374,1187171.530000000027940,1199402.200000000186265,1235411.260000000009313,10649648.540000000968575
20160223,1242821.929999999934807,1172852.199999999953434,1102248.679999999934807,1259587.649999999906868,1102819.399999999906868,1088583.920000000158325,1185996.850000000093132,1189404.520000000018626,1218018.220000000204891,10562334.369999999180436
20160224,1248395.030000000027940,1178757.879999999888241,1103757.159999999916181,1268055.900000000139698,1103255.799999999813735,1090763.959999999962747,1176697.300000000046566,1215502.360000000102445,1222366.479999999981374,10607552.870000001043081
20160225,1272545.129999999888241,1185468.879999999888241,1116107.840000000083819,1282330.950000000186265,1112856.599999999860302,1111474.340000000083819,1186486.300000000046566,1273411.000000000000000,1229713.540000000270084,10770395.580000000074506
20160226,1289450.199999999720603,1158088.000000000000000,1103757.159999999916181,1276524.150000000139698,1105001.399999999906868,1098394.100000000093132,1187758.869999999878928,1268477.080000000074506,1225815.100000000093132,10713267.060000000521541
20160229,1286106.339999999850988,1157819.560000000055879,1104982.800000000046566,1265233.150000000139698,1095618.799999999813735,1078047.060000000055879,1165929.399999999906868,1254584.200000000186265,1201824.700000000186265,10610147.010000001639128
20160301,1324560.729999999748543,1172852.199999999953434,1120633.280000000027940,1287169.950000000186265,1129221.599999999860302,1091490.639999999897555,1191087.130000000121072,1234199.320000000065193,1218767.920000000158325,10769983.769999999552965
20160302,1312671.449999999720603,1174999.720000000204891,1117144.919999999925494,1285718.250000000000000,1140568.000000000000000,1089310.600000000093132,1187171.530000000027940,1240431.640000000130385,1240059.400000000139698,10788076.509999999776483
