訓練日期,20120625 - 20120925
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11672705.559999998658895
真實報酬,1672705.559999998658895

夏普值報酬,0.158570556000000
夏普值風險,0.050305843285014
夏普值,3.152129964338324

預期報酬,28952.702169220097858
風險,90347.154260641662404
趨勢值,0.320460587897375
找到最佳解世代,1596
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AAPL[0](4),GS[8](7),HD[9](12),PG[21](1),WBA[27](9),WMT[28](11),
Stock#,AAPL[0](4),GS[8](7),HD[9](12),PG[21](1),WBA[27](9),WMT[28](11),
張數,20041,17800,32038,27856,56363,24764,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,56.440000000176951,52.000000000000000,49.239999999990687,41.520000000018626,12.090000000083819,48.800000000046566,
20120625,1634199.580000000307336,1623768.000000000000000,1650647.000000000000000,1652180.880000000121072,1633975.459999999962747,1688458.320000000298023,9883233.240000000223517
20120626,1637806.960000000195578,1620386.000000000000000,1662180.680000000167638,1651066.640000000130385,1639611.760000000009313,1698363.919999999925494,9909419.960000000894070
20120627,1644821.310000000055879,1660258.000000000000000,1651608.139999999897555,1670844.399999999906868,1658211.550000000279397,1698611.560000000055879,9984358.960000000894070
20120628,1629189.330000000307336,1664174.000000000000000,1656093.459999999962747,1679479.760000000009313,1636793.610000000102445,1691430.000000000000000,9957164.160000000149012
20120629,1672077.070000000298023,1706360.000000000000000,1697742.860000000102445,1706221.520000000018626,1667229.629999999888241,1726594.880000000121072,10176229.960000002756715
20120702,1696527.090000000316650,1728966.000000000000000,1698383.619999999878928,1704550.159999999916181,1683011.270000000018626,1717432.199999999953434,10228874.339999999850988
20120703,1716167.270000000018626,1755132.000000000000000,1654811.939999999944121,1709285.679999999934807,1668920.520000000018626,1752101.800000000046566,10256423.210000000894070
20120705,1746228.770000000018626,1707428.000000000000000,1669549.419999999925494,1709007.120000000111759,1683574.900000000139698,1760273.919999999925494,10276066.129999998956919
20120706,1734604.990000000223517,1699418.000000000000000,1670830.939999999944121,1707057.199999999953434,1669484.150000000139698,1767207.840000000083819,10248607.119999999180436
20120709,1757652.140000000130385,1681618.000000000000000,1669869.799999999813735,1714578.319999999832362,1673993.189999999944121,1777113.440000000176951,10274828.889999998733401
20120710,1741418.930000000167638,1677702.000000000000000,1673073.599999999860302,1719592.399999999906868,1686393.050000000279397,1785780.840000000083819,10283964.820000000298023
20120711,1730596.790000000037253,1693366.000000000000000,1655452.699999999953434,1710399.919999999925494,1687520.310000000055879,1789495.440000000176951,10266835.160000000149012
20120712,1714764.400000000139698,1673608.000000000000000,1651608.139999999897555,1774468.720000000204891,1696538.390000000130385,1790733.640000000130385,10301725.290000000968575
20120713,1731999.660000000149012,1734306.000000000232831,1668908.660000000149012,1813188.560000000055879,1723592.629999999888241,1812278.320000000298023,10484277.830000001937151
20120716,1737611.140000000130385,1738756.000000000232831,1648404.340000000083819,1805388.880000000121072,1719083.590000000083819,1807325.520000000251457,10456573.470000000670552
20120717,1737811.550000000046566,1744096.000000000000000,1625016.599999999860302,1820431.119999999878928,1730356.189999999944121,1810297.199999999953434,10468012.659999998286366
20120718,1735807.450000000186265,1717930.000000000000000,1631103.819999999832362,1805667.439999999944121,1745574.199999999953434,1804106.199999999953434,10440193.109999997541308
20120719,1758854.600000000325963,1691052.000000000000000,1632705.719999999972060,1808453.040000000037253,1951299.149999999906868,1771417.719999999972060,10613786.230000000447035
20120720,1730195.970000000204891,1676100.000000000000000,1624375.840000000083819,1803160.400000000139698,1950171.890000000130385,1789247.800000000046566,10573255.900000002235174
20120723,1728793.100000000325963,1658300.000000000000000,1632705.719999999972060,1793689.360000000102445,1911845.050000000279397,1779342.199999999953434,10504679.429999999701977
20120724,1720576.290000000037253,1681618.000000000000000,1639433.699999999953434,1783382.639999999897555,1922554.020000000018626,1786523.760000000009313,10534092.410000000149012
20120725,1646224.180000000167638,1708140.000000000000000,1636229.899999999906868,1783382.639999999897555,1952990.040000000037253,1785037.919999999925494,10512008.679999999701977
20120726,1646023.770000000018626,1745520.000000000000000,1695179.819999999832362,1798424.880000000121072,1971026.199999999953434,1824412.680000000167638,10680591.349999999627471
20120727,1675283.630000000353903,1809244.000000000000000,1720810.219999999972060,1813188.560000000055879,2013298.449999999953434,1845462.079999999841675,10877290.939999999478459
20120730,1703541.440000000176951,1795716.000000000000000,1706072.739999999990687,1813467.119999999878928,2044298.100000000325963,1856853.520000000251457,10919952.919999999925494
20120731,1748633.690000000176951,1796072.000000000000000,1671792.080000000074506,1797867.760000000242144,2049370.770000000018626,1843233.320000000298023,10906973.620000001043081
20120801,1737410.730000000214204,1781654.000000000000000,1655773.080000000074506,1783104.080000000074506,2044298.100000000325963,1823174.480000000214204,10825418.470000000670552
20120802,1740216.470000000204891,1741070.000000000000000,1646482.060000000055879,1769176.080000000074506,2014989.340000000083819,1833823.000000000000000,10745760.950000001117587
20120803,1762862.800000000046566,1797496.000000000000000,1675316.260000000009313,1824609.520000000018626,2017807.489999999990687,1846205.000000000000000,10924301.070000000298023
20120806,1782502.980000000214204,1816008.000000000000000,1666025.239999999990687,1833244.880000000121072,2017243.860000000102445,1839518.719999999972060,10954547.680000001564622
20120807,1777693.140000000130385,1837724.000000000000000,1678840.439999999944121,1844665.840000000083819,2030770.980000000214204,1832337.159999999916181,11002035.560000000521541
20120808,1774686.990000000223517,1824552.000000000000000,1691335.260000000009313,1858593.840000000083819,2042607.210000000195578,1840261.640000000130385,11032040.940000001341105
20120809,1777292.320000000298023,1844132.000000000000000,1702868.939999999944121,1858872.400000000139698,2034152.760000000242144,1828870.199999999953434,11046192.619999999180436
20120810,1779897.650000000139698,1833808.000000000000000,1699985.520000000018626,1859986.639999999897555,2038661.800000000279397,1824660.320000000298023,11037003.929999999701977
20120813,1803746.440000000176951,1844310.000000000000000,1692296.399999999906868,1851908.400000000139698,2027389.199999999953434,1817726.400000000139698,11037380.839999999850988
20120814,1808556.280000000027940,1838080.000000000000000,1752848.219999999972060,1858872.400000000139698,2012734.820000000065193,1832832.440000000176951,11103928.160000000149012
20120815,1806151.360000000335276,1835766.000000000000000,1762139.239999999990687,1856365.360000000102445,2004280.370000000111759,1843728.600000000093132,11108434.930000001564622
20120816,1821983.750000000000000,1842174.000000000000000,1804109.020000000018626,1866393.520000000018626,2002025.850000000325963,1786771.400000000139698,11123461.539999999105930
20120817,1855652.630000000353903,1844132.000000000000000,1817564.979999999981374,1866393.520000000018626,2020062.010000000242144,1782809.159999999916181,11186618.300000000745058
20120820,1904352.260000000009313,1874036.000000000000000,1812438.899999999906868,1859429.520000000018626,2030770.980000000214204,1790486.000000000000000,11271517.660000000149012
20120821,1878298.960000000195578,1874747.999999999767169,1804429.399999999906868,1859986.639999999897555,2009353.040000000037253,1768941.320000000298023,11195761.359999999403954
20120822,1914973.990000000223517,1863178.000000000000000,1814681.560000000055879,1862215.119999999878928,2003716.739999999990687,1777361.079999999841675,11236130.490000000223517
20120823,1897137.500000000000000,1852676.000000000000000,1811798.139999999897555,1857479.600000000093132,2009916.669999999925494,1772160.640000000130385,11201172.550000000745058
20120824,1898941.190000000176951,1868340.000000000000000,1824933.719999999972060,1866950.639999999897555,2009353.040000000037253,1785780.840000000083819,11254303.429999999701977
20120827,1934614.170000000158325,1871188.000000000000000,1815642.699999999953434,1869457.679999999934807,2006534.890000000130385,1795438.800000000046566,11292880.240000000223517
20120828,1932008.840000000316650,1869586.000000000000000,1811157.380000000121072,1866114.959999999962747,1995262.290000000037253,1793210.040000000037253,11267343.510000001639128
20120829,1928201.050000000046566,1878486.000000000000000,1821089.160000000149012,1862772.240000000223517,1989625.989999999990687,1802125.079999999841675,11282303.519999999552965
20120830,1900744.880000000353903,1864068.000000000000000,1814040.799999999813735,1863050.799999999813735,1984553.320000000065193,1789247.800000000046566,11215709.599999999627471
20120831,1904552.670000000158325,1881868.000000000000000,1818205.739999999990687,1871686.159999999916181,2015552.969999999972060,1797915.199999999953434,11289784.740000000223517
20120904,1932409.660000000149012,1894150.000000000000000,1819487.260000000009313,1877535.920000000158325,2012171.190000000176951,1820450.440000000176951,11356208.469999998807907
20120905,1918982.190000000176951,1956984.000000000000000,1811477.760000000009313,1874471.760000000242144,2022316.530000000260770,1821441.000000000000000,11405677.240000002086163
20120906,1936217.450000000186265,2021064.000000000000000,1847039.939999999944121,1900934.959999999962747,1983989.690000000176951,1852643.640000000130385,11541893.680000001564622
20120907,1948242.050000000046566,2070726.000000000000000,1834545.119999999878928,1908734.639999999897555,1969335.310000000055879,1828127.279999999795109,11559714.399999998509884
20120910,1897538.320000000298023,2041356.000000000232831,1835826.639999999897555,1908456.080000000074506,1980607.910000000149012,1820450.440000000176951,11484239.389999998733401
20120911,1891325.610000000335276,2077134.000000000000000,1817244.599999999860302,1901492.080000000074506,1978917.020000000018626,1834070.640000000130385,11500187.950000001117587
20120912,1917579.320000000298023,2104724.000000000000000,1827817.139999999897555,1897035.119999999878928,1993007.770000000018626,1834318.279999999795109,11574485.629999998956919
20120913,1955456.810000000055879,2147978.000000000000000,1867864.639999999897555,1919598.479999999981374,2030207.350000000325963,1860815.760000000009313,11781925.039999999105930
20120914,1979105.190000000176951,2160260.000000000000000,1905028.719999999972060,1926562.479999999981374,2030207.350000000325963,1844966.800000000046566,11846134.540000000968575
20120917,2003555.210000000195578,2134272.000000000000000,1887407.819999999832362,1929069.520000000018626,2012171.190000000176951,1832337.159999999916181,11798816.899999998509884
