訓練日期,20110124 - 20110426
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10950102.839999999850988
真實報酬,950102.839999999850988

夏普值報酬,0.086310284000000
夏普值風險,0.029524387370656
夏普值,2.923355628566963

預期報酬,16439.476445203650655
風險,99788.176822757333866
趨勢值,0.164743729854923
找到最佳解世代,2756
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](17),PFE[20](1),
Stock#,CVX[5](2),MCD[15](17),PFE[20](1),
張數,35544,44438,181554,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.680000000167638,38.619999999646097,1.560000000055879,
20110124,3344707.080000000074506,3349775.059999999590218,3349672.859999999869615,10044156.000000000000000
20110125,3343996.200000000186265,3354218.859999999869615,3353303.939999999944121,10051520.000000000000000
20110126,3363900.840000000316650,3340443.079999999608845,3333333.000000000000000,10037677.919999999925494
20110127,3367810.680000000167638,3304003.919999999459833,3355119.479999999981374,10026935.080000000074506
20110128,3318759.960000000428408,3256455.259999999776483,3295206.659999999683350,9870422.880000000819564
20110131,3374208.600000000558794,3273786.079999999608845,3307915.439999999944121,9955911.119999999180436
20110201,3420060.360000000335276,3264898.479999999515712,3489469.439999999944121,10174429.279999999329448
20110202,3429301.800000000279397,3272452.939999999478459,3442265.400000000372529,10144021.140000000596046
20110203,3458803.320000000298023,3280896.159999999683350,3480391.740000000223517,10220092.220000000670552
20110204,3451694.520000000018626,3290672.519999999552965,3503993.760000000242144,10246361.799999998882413
20110207,3471243.720000000204891,3264009.719999999739230,3456789.719999999739230,10192044.160000000149012
20110208,3474087.239999999757856,3348886.299999999813735,3478576.200000000186265,10301550.739999998360872
20110209,3420771.239999999757856,3374215.959999999962747,3458605.260000000242144,10253593.459999999031425
20110210,3437121.480000000447035,3366661.500000000000000,3454974.180000000167638,10258758.160000000149012
20110211,3428235.480000000447035,3383547.939999999478459,3418663.379999999888241,10230447.800000000745058
20110214,3446007.480000000447035,3387991.739999999292195,3458605.260000000242144,10292605.480000000447035
20110215,3424325.640000000130385,3383992.319999999832362,3458605.260000000242144,10266924.220000000670552
20110216,3435699.720000000204891,3378215.379999999422580,3500362.680000000167638,10314278.779999999329448
20110217,3453827.160000000149012,3376437.859999999869615,3516702.540000000037253,10346968.559999998658895
20110218,3508920.360000000335276,3383103.559999999590218,3484022.820000000298023,10376047.740000000223517
20110222,3565790.759999999776483,3363995.219999999739230,3429556.620000000111759,10359343.599999999627471
20110223,3635101.560000000055879,3341331.839999999385327,3405954.600000000558794,10382389.000000000000000
20110224,3626571.000000000000000,3342220.599999999161810,3431372.159999999683350,10400164.759999999776483
20110225,3629059.080000000074506,3308003.339999999385327,3424110.000000000000000,10361173.419999999925494
20110228,3687706.680000000167638,3363106.459999999962747,3493100.519999999552965,10543914.660000000149012
20110301,3657494.280000000260770,3328000.439999999478459,3474945.120000000111759,10460440.839999999850988
20110302,3677754.360000000335276,3319112.839999999385327,3484022.820000000298023,10480891.019999999552965
20110303,3703346.040000000037253,3387991.739999999292195,3589324.140000000130385,10680662.919999999925494
20110304,3687706.680000000167638,3378659.759999999776483,3569353.200000000186265,10635720.640000000596046
20110307,3661404.120000000577420,3390213.640000000130385,3560275.500000000000000,10611894.260000001639128
20110308,3688417.560000000055879,3356885.140000000130385,3572984.279999999795109,10618287.980000000447035
20110309,3630480.840000000316650,3367550.259999999776483,3569353.200000000186265,10567385.300000000745058
20110310,3521716.200000000186265,3407544.459999999962747,3514887.000000000000000,10444148.660000000149012
20110311,3551928.600000000558794,3409766.359999999869615,3534857.939999999944121,10496553.900000000372529
20110314,3582851.879999999888241,3362662.079999999608845,3596586.299999999813735,10542101.259999997913837
20110315,3598135.800000000279397,3338221.179999999701977,3587508.600000000558794,10523866.580000001937151
20110316,3537000.120000000577420,3260899.059999999590218,3503993.760000000242144,10301893.939999999478459
20110317,3634035.239999999757856,3261787.819999999832362,3609295.080000000074506,10505119.140000000596046
20110318,3653939.879999999888241,3243568.239999999292195,3663761.279999999795109,10561270.399999998509884
20110321,3738890.040000000037253,3277785.500000000000000,3627450.479999999981374,10644127.019999999552965
20110322,3740311.800000000279397,3282673.679999999701977,3620188.320000000298023,10643174.800000000745058
20110323,3749197.800000000279397,3312002.759999999776483,3616557.240000000223517,10677758.800000000745058
20110324,3745643.399999999906868,3329777.959999999962747,3685547.760000000242144,10760970.119999999180436
20110325,3795405.000000000000000,3343998.119999999646097,3694625.460000000428408,10834029.580000000074506
20110328,3769102.440000000409782,3332888.619999999646097,3680101.140000000130385,10782093.200000001117587
20110329,3816375.960000000428408,3349330.679999999701977,3700072.080000000074506,10865779.720000000670552
20110330,3839124.120000000577420,3368883.399999999906868,3692809.919999999925494,10900818.440000001341105
20110331,3820641.239999999757856,3381326.039999999571592,3687363.299999999813735,10889331.579999998211861
20110401,3850142.759999999776483,3376882.239999999292195,3700072.080000000074506,10927098.079999998211861
20110404,3846943.800000000279397,3394657.439999999478459,3729120.719999999739230,10970722.960000000894070
20110405,3886042.200000000186265,3403989.419999999459833,3712780.859999999869615,11002813.479999998584390
20110406,3862227.720000000204891,3409321.979999999515712,3683732.219999999739230,10955282.919999998062849
20110407,3872180.040000000037253,3377771.000000000000000,3690994.379999999888241,10940946.419999999925494
20110408,3897771.720000000204891,3379104.140000000130385,3714596.400000000372529,10991473.260000001639128
20110411,3830949.000000000000000,3388436.119999999646097,3752722.740000000223517,10972108.859999999403954
20110412,3702990.600000000558794,3406655.699999999720603,3714596.400000000372529,10824243.700000001117587
20110413,3689839.320000000298023,3416876.439999999478459,3714596.400000000372529,10821313.160000000149012
20110414,3727871.399999999906868,3424875.279999999329448,3720043.019999999552965,10872790.699999999254942
20110415,3776211.239999999757856,3438651.059999999590218,3727305.180000000167638,10942168.479999998584390
20110418,3714364.680000000167638,3421764.619999999646097,3703703.159999999683350,10839833.459999999031425
20110419,3746354.280000000260770,3403989.419999999459833,3727305.180000000167638,10877649.879999998956919
20110420,3832015.320000000298023,3483977.819999999832362,3701887.620000000111759,11017881.760000001639128
20110421,3843389.399999999906868,3417765.199999999720603,3592955.219999999739230,10854110.820000000298023
20110425,3818153.160000000149012,3427541.559999999590218,3656499.120000000111759,10902194.839999999850988
20110426,3865426.680000000167638,3419098.339999999385327,3665576.820000000298023,10950102.839999999850988
