訓練日期,20091106 - 20100210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11282026.339999999850988
真實報酬,1282026.339999999850988

夏普值報酬,0.119502634000000
夏普值風險,0.042874249828348
夏普值,2.787282214346424

預期報酬,25023.471372871401400
風險,186776.738417056680191
趨勢值,0.133975309692988
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MCD[15](13),UNH[23](2),
Stock#,BA[2](1),MCD[15](13),UNH[23](2),
張數,66974,54218,118161,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,37.020000000018626,10.360000000335276,11.189999999944121,
20091106,3327305.339999999850988,3346345.320000000298023,3387687.060000000055879,10061338.720000000670552
20091109,3439151.919999999925494,3396225.880000000353903,3442041.119999999646097,10277419.919999999925494
20091110,3370168.700000000186265,3376707.400000000372529,3423135.359999999869615,10170012.460000000894070
20091111,3394279.339999999850988,3406527.300000000279397,3470399.760000000242144,10271207.400000000372529
20091112,3367489.740000000223517,3370743.420000000391155,3398321.550000000279397,10136555.710000000894070
20091113,3394279.339999999850988,3447190.800000000279397,3436133.069999999832362,10277604.210000000894070
20091116,3514832.540000000037253,3498697.900000000372529,3444404.339999999850988,10457935.780000001192093
20091117,3518181.240000000223517,3446648.620000000577420,3423135.359999999869615,10387966.220000000670552
20091118,3484024.500000000000000,3468878.000000000000000,3411319.260000000242144,10364222.759999999776483
20091119,3444509.839999999850988,3437973.740000000223517,3382960.619999999646097,10265445.199999999254942
20091120,3462592.820000000298023,3468335.820000000298023,3374689.349999999627471,10305618.990000000223517
20091123,3524878.640000000130385,3469420.180000000633299,3436133.069999999832362,10430432.890000000596046
20091124,3480675.799999999813735,3481890.320000000298023,3492850.349999999627471,10455417.469999998807907
20091125,3544970.839999999850988,3494360.460000000428408,3490487.129999999888241,10529819.429999999701977
20091127,3512823.320000000298023,3448275.160000000614673,3478671.030000000260770,10439770.510000001639128
20091130,3510144.359999999869615,3429298.860000000335276,3387687.060000000055879,10327131.280000001192093
20091201,3597880.299999999813735,3445022.080000000074506,3391231.889999999664724,10434135.269999999552965
