訓練日期,20170908 - 20171208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11519017.300000000745058
真實報酬,1519017.300000000745058

夏普值報酬,0.143201730000000
夏普值風險,0.041948454146713
夏普值,3.413754640377385

預期報酬,24239.742702396833920
風險,47167.913286200389848
趨勢值,0.513903223899636
找到最佳解世代,2938
找到最佳解實驗#,2
找到最佳解次數,19

stock[index](rank)
投資組合檔數,8
CAT[3](1),CSCO[4](4),CVX[5](23),DIS[6](15),HD[9](12),INTC[11](6),V[25](11),WMT[28](9),
Stock#,CAT[3](1),CSCO[4](4),CVX[5](23),DIS[6](15),HD[9](12),INTC[11](6),V[25](11),WMT[28](9),
張數,10613,39357,11180,12878,7914,35171,11954,15601,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,106.989999999990687,21.679999999934807,76.000000000000000,61.320000000065193,141.979999999981374,22.659999999916181,89.760000000009313,47.879999999888241,
20170908,1250530.649999999906868,1238980.040000000037253,1238596.399999999906868,1250128.780000000027940,1263691.219999999972060,1237690.149999999906868,1248445.979999999981374,1230654.759999999776483,9958717.980000000447035
20170911,1261674.300000000046566,1266923.509999999776483,1258049.599999999860302,1250386.340000000083819,1253482.159999999916181,1258089.330000000074506,1269006.860000000102445,1233774.959999999962747,10051387.059999998658895
20170912,1283643.209999999962747,1275582.049999999813735,1257714.199999999953434,1260688.739999999990687,1265669.719999999972060,1269344.050000000046566,1269724.099999999860302,1242043.489999999990687,10124409.560000000521541
20170913,1269740.179999999934807,1266529.939999999944121,1276608.400000000139698,1272665.280000000027940,1266540.260000000009313,1277785.089999999850988,1265181.580000000074506,1245943.739999999990687,10140994.470000000670552
20170914,1278761.229999999981374,1266923.509999999776483,1279627.000000000000000,1260817.520000000251457,1261475.300000000046566,1283060.739999999757856,1268170.080000000074506,1243135.560000000055879,10141970.939999999478459
20170915,1288206.800000000046566,1276762.759999999776483,1281639.399999999906868,1268801.880000000121072,1253719.580000000074506,1301349.659999999916181,1258845.959999999962747,1254056.259999999776483,10183382.299999998882413
20170918,1314314.780000000027940,1279911.320000000065193,1287900.199999999953434,1263393.119999999878928,1249050.320000000065193,1301349.659999999916181,1253227.580000000074506,1248127.879999999888241,10197274.859999999403954
20170919,1323972.609999999869615,1278730.610000000102445,1300757.199999999953434,1267642.860000000102445,1247863.219999999972060,1309438.989999999757856,1260160.899999999906868,1248907.929999999934807,10237474.320000000298023
20170920,1325140.040000000037253,1283059.879999999888241,1301092.600000000093132,1277687.699999999953434,1255935.500000000000000,1303811.629999999888241,1260160.899999999906868,1255928.379999999888241,10262816.629999998956919
20170921,1324503.260000000009313,1286995.580000000074506,1302210.600000000093132,1273566.739999999990687,1259971.639999999897555,1308383.860000000102445,1258965.500000000000000,1248283.889999999897555,10262881.070000000298023
20170922,1320682.580000000074506,1313364.769999999785796,1311378.200000000186265,1269832.119999999878928,1266144.560000000055879,1307680.439999999944121,1261954.000000000000000,1240795.409999999916181,10291832.080000000074506
20170925,1319515.149999999906868,1327139.719999999972060,1319204.199999999953434,1282323.780000000027940,1275087.379999999888241,1306977.019999999785796,1231590.839999999850988,1234867.030000000027940,10296705.119999999180436
20170926,1321531.620000000111759,1328713.999999999767169,1313949.599999999860302,1270218.459999999962747,1276353.619999999878928,1317880.029999999795109,1230634.520000000018626,1238611.269999999785796,10297893.119999999180436
20170927,1321637.750000000000000,1317694.039999999804422,1313167.000000000000000,1278074.040000000037253,1273662.859999999869615,1320342.000000000000000,1241990.820000000065193,1237051.169999999925494,10303619.679999999701977
20170928,1329172.979999999981374,1312577.629999999888241,1315067.600000000093132,1262749.219999999972060,1285059.020000000018626,1330541.589999999850988,1250239.080000000074506,1231746.829999999841675,10317153.949999999254942
20170929,1323654.219999999972060,1323597.590000000083819,1313726.000000000000000,1269445.780000000027940,1294555.820000000065193,1339334.339999999850988,1250239.080000000074506,1219110.019999999785796,10333662.849999999627471
20171002,1323760.350000000093132,1328320.429999999934807,1312943.400000000139698,1286058.400000000139698,1298196.260000000009313,1373098.500000000000000,1260519.520000000018626,1223946.329999999841675,10406843.190000001341105
20171003,1332144.620000000111759,1332256.129999999888241,1317303.599999999860302,1298034.940000000176951,1307297.359999999869615,1385056.639999999897555,1262312.620000000111759,1235959.099999999860302,10470365.009999999776483
20171004,1345198.609999999869615,1316119.759999999776483,1314620.399999999906868,1294944.219999999972060,1308247.039999999804422,1383649.800000000046566,1258965.500000000000000,1233930.969999999972060,10455676.299999998882413
20171005,1341590.189999999944121,1322023.310000000055879,1325800.399999999906868,1289277.900000000139698,1314815.659999999916181,1390332.290000000037253,1270082.719999999972060,1238923.289999999804422,10492845.759999999776483
20171006,1347215.080000000074506,1328320.429999999934807,1308471.399999999906868,1288762.780000000027940,1312678.879999999888241,1393849.389999999897555,1275940.180000000167638,1232526.879999999888241,10487765.019999999552965
20171009,1346684.429999999934807,1328713.999999999767169,1316073.799999999813735,1282323.780000000027940,1311570.920000000158325,1401938.719999999972060,1279287.300000000046566,1256396.409999999916181,10522989.359999999403954
20171010,1360587.459999999962747,1320449.029999999795109,1328260.000000000000000,1282452.560000000055879,1307218.219999999972060,1394552.809999999823049,1282873.500000000000000,1312560.009999999776483,10588953.589999997988343
20171011,1364938.790000000037253,1322023.310000000055879,1334185.399999999906868,1269188.219999999972060,1307930.479999999981374,1382242.959999999729916,1296381.520000000018626,1337521.609999999869615,10614412.289999999105930
20171012,1379690.860000000102445,1309035.499999999767169,1332061.199999999953434,1248325.860000000102445,1302707.239999999990687,1378374.149999999906868,1292436.699999999953434,1343293.979999999748543,10585925.490000000223517
20171013,1387332.219999999972060,1317300.469999999972060,1332284.800000000046566,1254120.959999999962747,1301757.560000000055879,1395256.229999999981374,1299011.399999999906868,1351406.500000000000000,10638470.140000000596046
20171016,1395398.100000000093132,1320055.459999999962747,1343129.399999999906868,1263779.459999999962747,1299779.060000000055879,1398421.619999999878928,1294707.959999999962747,1337677.619999999878928,10652948.679999999701977
20171017,1385528.010000000009313,1322416.879999999888241,1344135.600000000093132,1266741.400000000139698,1292893.879999999888241,1399476.750000000000000,1285622.920000000158325,1341421.859999999869615,10638237.299999998882413
20171018,1393487.760000000009313,1320449.029999999795109,1320993.000000000000000,1265324.820000000065193,1293685.279999999795109,1415655.409999999916181,1288730.959999999962747,1345166.099999999860302,10643492.360000001266599
20171019,1396247.140000000130385,1328320.429999999934807,1321552.000000000000000,1275112.100000000093132,1292023.340000000083819,1410028.050000000046566,1279406.839999999850988,1347974.280000000027940,10650664.179999997839332
20171020,1394230.670000000158325,1347998.929999999934807,1326471.199999999953434,1280134.520000000251457,1293527.000000000000000,1421986.189999999944121,1285742.459999999962747,1364199.319999999832362,10714290.289999999105930
