訓練日期,20151228 - 20160331
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11418528.269999999552965
真實報酬,1418528.269999999552965

夏普值報酬,0.133152827000000
夏普值風險,0.046049737364487
夏普值,2.891500247788311

預期報酬,22389.145963807186490
風險,184872.899556455668062
趨勢值,0.121105613735290
找到最佳解世代,1949
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](2),WMT[28](1),
Stock#,VZ[26](2),WMT[28](1),
張數,107043,82196,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.469999999739230,17.320000000298023,
20151228,5004281.719999999739230,4993424.320000000298023,9997706.039999999105930
20151229,5053521.500000000000000,5064112.879999999888241,10117634.379999998956919
20151230,5006422.580000000074506,5069866.600000000558794,10076289.179999999701977
20151231,4947548.929999999701977,5038632.120000000111759,9986181.050000000745058
20160104,4910083.879999999888241,5051783.480000000447035,9961867.359999999403954
20160105,4977520.969999999739230,5171789.640000000596046,10149310.609999999403954
20160106,4872618.830000000074506,5223573.120000000111759,10096191.949999999254942
20160107,4845858.080000000074506,5345223.200000000186265,10191081.280000001192093
20160108,4798759.159999999217689,5222751.160000000149012,10021510.320000000298023
20160111,4826590.339999999850988,5278644.440000000409782,10105234.780000001192093
20160112,4809463.459999999962747,5229326.839999999850988,10038790.300000000745058
20160113,4725969.919999999925494,5089593.640000000596046,9815563.560000000521541
20160114,4803040.879999999888241,5183297.080000000074506,9986337.960000000894070
20160115,4755941.959999999962747,5090415.600000000558794,9846357.560000000521541
20160119,4803040.879999999888241,5142199.080000000074506,9945239.960000000894070
20160120,4754871.530000000260770,5000821.960000000894070,9755693.490000002086163
20160121,4910083.879999999888241,5086305.800000000745058,9996389.679999999701977
20160122,5035324.189999999478459,5152884.560000000521541,10188208.750000000000000
20160125,5034253.759999999776483,5215353.520000000484288,10249607.280000001192093
20160126,5164846.219999999739230,5260561.320000000298023,10425407.539999999105930
20160127,5248339.759999999776483,5256451.520000000484288,10504791.280000001192093
20160128,5246198.899999999441206,5278644.440000000409782,10524843.339999999850988
20160129,5348960.179999999701977,5454543.879999999888241,10803504.059999998658895
20160201,5433524.149999999441206,5548247.320000000298023,10981771.469999998807907
20160202,5342537.599999999627471,5495641.879999999888241,10838179.480000000447035
20160203,5418538.129999999888241,5447146.240000000223517,10865684.370000001043081
20160204,5398199.959999999962747,5459475.640000000596046,10857675.600000001490116
20160205,5456003.179999999701977,5507149.320000000298023,10963152.500000000000000
20160208,5431383.290000000037253,5498929.720000000670552,10930313.010000001639128
20160209,5368227.919999999925494,5409336.080000000074506,10777564.000000000000000
20160210,5350030.609999999403954,5407692.160000001080334,10757722.769999999552965
20160211,5286875.240000000223517,5369060.040000000037253,10655935.280000001192093
20160212,5363946.199999999254942,5439748.600000000558794,10803694.800000000745058
20160216,5377861.790000000037253,5416733.720000000670552,10794595.510000001639128
20160217,5386425.229999999515712,5433994.879999999888241,10820420.109999999403954
20160218,5452791.889999999664724,5270424.840000000782311,10723216.730000000447035
20160219,5444228.449999999254942,5314810.679999999701977,10759039.129999998956919
20160222,5466707.479999999515712,5394540.799999999813735,10861248.279999999329448
20160223,5419608.559999999590218,5464407.400000000372529,10884015.960000000894070
20160224,5439946.729999999515712,5517012.840000000782311,10956959.570000000298023
20160225,5470989.199999999254942,5592633.160000001080334,11063622.359999999403954
20160226,5461355.330000000074506,5466873.280000000260770,10928228.609999999403954
20160229,5430312.859999999403954,5452899.960000000894070,10883212.820000000298023
20160301,5508454.250000000000000,5462763.479999999515712,10971217.730000000447035
20160302,5579102.629999999888241,5442214.479999999515712,11021317.109999999403954
20160303,5554482.740000000223517,5436460.760000000707805,10990943.500000000000000
20160304,5545919.299999999813735,5489066.200000000186265,11034985.500000000000000
20160307,5588736.500000000000000,5580303.760000000707805,11169040.260000001639128
20160308,5615497.250000000000000,5592633.160000001080334,11208130.410000000149012
20160309,5602652.089999999850988,5550713.200000000186265,11153365.289999999105930
20160310,5600511.229999999515712,5540849.679999999701977,11141360.910000000149012
20160311,5622990.259999999776483,5521122.640000000596046,11144112.900000000372529
20160314,5624060.689999999478459,5536739.879999999888241,11160800.570000000298023
20160315,5637976.280000000260770,5596742.960000000894070,11234719.240000002086163
20160316,5695779.500000000000000,5588523.360000000335276,11284302.859999999403954
20160317,5740737.559999999590218,5544137.520000000484288,11284875.080000000074506
20160318,5698990.790000000037253,5503039.520000000484288,11202030.310000000521541
20160321,5720399.389999999664724,5586879.440000000409782,11307278.830000000074506
20160322,5695779.500000000000000,5578659.840000000782311,11274439.339999999850988
20160323,5663666.599999999627471,5544959.479999999515712,11208626.079999998211861
20160324,5733244.549999999813735,5589345.320000000298023,11322589.870000001043081
20160328,5716117.669999999925494,5599208.840000000782311,11315326.510000001639128
20160329,5785695.619999999180436,5591811.200000000186265,11377506.820000000298023
20160330,5784625.189999999478459,5655102.120000000111759,11439727.309999998658895
20160331,5788906.909999999217689,5629621.360000000335276,11418528.269999999552965
