訓練日期,20160314 - 20160614
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10989854.710000000894070
真實報酬,989854.710000000894070

夏普值報酬,0.090285471000000
夏普值風險,0.028861534549666
夏普值,3.128228363763313

預期報酬,16230.727514226242420
風險,72963.065638448038953
趨勢值,0.222451282333091
找到最佳解世代,3014
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](10),JNJ[12](2),PFE[20](3),XOM[29](1),
Stock#,IBM[10](10),JNJ[12](2),PFE[20](3),XOM[29](1),
張數,17561,23210,81967,30417,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.039999999571592,50.900000000372529,6.500000000000000,26.770000000018626,
20160314,2507375.619999999646097,2498839.500000000465661,2467213.200000000186265,2506691.739999999757856,9980120.060000000521541
20160315,2510536.599999999627471,2501160.500000000465661,2421311.679999999701977,2519162.709999999962747,9952171.489999998360872
20160316,2542673.229999999515712,2493037.000000000465661,2380328.179999999701977,2520683.560000000055879,9936721.970000000670552
20160317,2582185.479999999515712,2477486.300000000279397,2404918.279999999795109,2558096.469999999739230,10022686.529999997466803
20160318,2583063.529999999795109,2495125.900000000372529,2413934.649999999906868,2561138.169999999925494,10053262.250000000000000
20160321,2610107.469999999273568,2490019.700000000186265,2464754.189999999944121,2543496.310000000055879,10108377.669999999925494
20160322,2600800.139999999664724,2492340.700000000186265,2490163.959999999962747,2558704.810000000055879,10142009.609999999403954
20160323,2553385.439999999478459,2518335.900000000372529,2474590.229999999981374,2547450.520000000018626,10093762.089999999850988
20160324,2598165.989999999292195,2513926.000000000465661,2465573.859999999869615,2554446.430000000167638,10132112.279999999329448
20160328,2606068.439999999478459,2512069.200000000651926,2440983.760000000242144,2561746.509999999776483,10120867.910000000149012
20160329,2622400.169999999925494,2533190.300000000279397,2463114.850000000093132,2571175.780000000260770,10189881.100000001490116
20160330,2606244.049999999348074,2529476.700000000651926,2464754.189999999944121,2570871.609999999869615,10171346.549999998882413
20160331,2659629.489999999292195,2511372.900000000372529,2429508.379999999888241,2542583.800000000279397,10143094.570000000298023
20160401,2678419.759999999776483,2534350.800000000279397,2462295.179999999701977,2523421.089999999850988,10198486.830000000074506
20160404,2670517.309999999590218,2520424.800000000279397,2518032.739999999757856,2529504.489999999757856,10238479.339999999850988
20160405,2634166.039999999571592,2528780.400000000372529,2570491.620000000111759,2500608.339999999850988,10234046.399999998509884
20160406,2634517.259999999776483,2539689.100000000558794,2699179.810000000055879,2534067.040000000037253,10407453.210000000894070
20160407,2603434.289999999571592,2536207.600000000093132,2685245.419999999925494,2505475.060000000055879,10330362.369999999180436
20160408,2622751.389999999664724,2532261.900000000372529,2663934.000000000000000,2531025.339999999850988,10349972.629999998956919
20160411,2620995.289999999571592,2529244.600000000558794,2613934.129999999888241,2534371.209999999962747,10298545.230000000447035
20160412,2627668.469999999273568,2543866.900000000372529,2619671.820000000298023,2565700.719999999739230,10356907.910000000149012
20160413,2655766.069999999366701,2550133.600000000558794,2667212.679999999701977,2580300.879999999888241,10453413.230000000447035
20160414,2654536.799999999348074,2549437.300000000279397,2676229.049999999813735,2598551.080000000074506,10478754.230000000447035
20160415,2664370.959999999497086,2557328.700000000651926,2663934.000000000000000,2584559.259999999776483,10470192.919999999925494
