訓練日期,20130201 - 20130506
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11421327.480000000447035
真實報酬,1421327.480000000447035

夏普值報酬,0.133432748000000
夏普值風險,0.042883960393099
夏普值,3.111483798997986

預期報酬,24698.070761650567874
風險,64549.664289399006520
趨勢值,0.382621211644423
找到最佳解世代,3632
找到最佳解實驗#,2
找到最佳解次數,9

stock[index](rank)
投資組合檔數,3
JNJ[12](1),TRV[22](3),VZ[26](2),
20130318,3553837.770000000018626,3506242.880000000353903,3726208.899999999906868,10786290.550000000745058
20130319,3556092.419999999925494,3534282.320000000298023,3741495.899999999906868,10831871.640000000596046
20130320,3582697.290000000037253,3561896.920000000391155,3714743.649999999906868,10859338.860000001266599
20130321,3562856.370000000111759,3558073.360000000335276,3730030.649999999906868,10850961.380000000819564
20130322,3595774.259999999776483,3555524.320000000298023,3746846.350000000093132,10898145.929999999701977
20130325,3593068.680000000167638,3541929.440000000409782,3757547.249999999534339,10892546.370000001043081
20130326,3645827.489999999757856,3541504.600000000093132,3782006.449999999720603,10969339.539999999105930
20130327,3664766.549999999813735,3541929.440000000409782,3740731.549999999813735,10947428.539999999105930
20130328,3676490.729999999981374,3576766.320000000298023,3756782.899999999906868,11010040.950000001117587
20130401,3694527.930000000167638,3566570.160000000614673,3762133.349999999627471,11023232.440000001341105
20130402,3728798.609999999869615,3586112.800000000279397,3783535.149999999906868,11098447.560000000521541
20130403,3700840.949999999720603,3556798.840000000316650,3744553.300000000279397,11002194.089999999850988
20130404,3716172.569999999832362,3583138.920000000391155,3768248.149999999906868,11067560.640000000596046
20130405,3699488.160000000149012,3586112.800000000279397,3788121.250000000000000,11073723.210000000894070
20130408,3657551.669999999925494,3599707.680000000633299,3778184.699999999720603,11035445.050000000745058
20130409,3676039.799999999813735,3622649.040000000037253,3772834.250000000000000,11071524.089999999850988
20130410,3698586.299999999813735,3603106.400000000372529,3811051.750000000000000,11112745.449999999254942
20130411,3712114.199999999720603,3656211.400000000372529,3860734.499999999534339,11229061.099999999627471
20130412,3731053.259999999776483,3664708.200000000651926,3887486.750000000000000,11283249.210000000894070
20130415,3684607.469999999739230,3598858.000000000000000,3870671.049999999813735,11154137.519999999552965
20130416,3762618.359999999869615,3677028.560000000055879,3856912.750000000000000,11296560.669999999925494
20130417,3783361.140000000130385,3614152.240000000223517,3786592.549999999813735,11184106.929999999701977
20130418,3750894.180000000167638,3572942.760000000242144,3891308.499999999534339,11215146.439999999478459
20130419,3809966.009999999776483,3603106.400000000372529,3993731.399999999906868,11406804.810000000521541
20130422,3825297.629999999888241,3593335.080000000074506,3989145.299999999813735,11407779.009999999776483
20130423,3853255.290000000037253,3668531.760000000242144,3999081.850000000093132,11520869.900000000372529
20130424,3805456.709999999962747,3647714.600000000093132,3959335.649999999906868,11412507.960000000894070
20130425,3842883.899999999906868,3622649.040000000037253,4067873.349999999627471,11533407.289999999105930
20130426,3838374.600000000093132,3617550.960000000428408,4099211.700000000186265,11555138.260000001639128
20130429,3859117.379999999888241,3631570.680000000633299,4086217.750000000000000,11576906.810000000521541
20130430,3843334.830000000074506,3628596.800000000279397,4120613.499999999534339,11592546.130000000819564
20130501,3798241.830000000074506,3572942.760000000242144,4005196.649999999906868,11376382.240000000223517
20130502,3840178.319999999832362,3586537.640000000596046,4015133.200000000186265,11441850.160000000149012
20130503,3866783.189999999944121,3628596.800000000279397,4026598.449999999720603,11521979.439999999478459
20130506,3818533.680000000167638,3624348.400000000372529,3978444.399999999906868,11421327.480000000447035
