訓練日期,20131025 - 20140129
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10833621.239999998360872
真實報酬,833621.239999998360872

夏普值報酬,0.074662124000000
夏普值風險,0.027065512891700
夏普值,2.758570447149938

預期報酬,15096.787480488977963
風險,90403.269872480537742
趨勢值,0.166993821150318
找到最佳解世代,2756
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](13),MRK[17](1),MSFT[18](15),UTX[24](2),V[25](14),
Stock#,CAT[3](13),MRK[17](1),MSFT[18](15),UTX[24](2),V[25](14),
張數,23660,43271,59311,18681,39424,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.199999999953434,14.380000000121072,33.080000000074506,12.139999999897555,20.480000000214204,
20131025,2005678.399999999906868,2013846.719999999972060,2119215.109999999869615,2008593.259999999776483,2001576.960000000428408,10148910.450000001117587
20131028,1994085.000000000000000,1962354.230000000214204,2109725.350000000093132,1980011.329999999841675,2001576.960000000428408,10047752.870000001043081
20131029,1989116.399999999906868,1972306.560000000055879,2106759.800000000279397,1988044.159999999916181,2013009.920000000391155,10069236.839999999850988
20131030,1975393.599999999860302,1957594.420000000158325,2107946.020000000018626,1979264.089999999850988,2009067.520000000251457,10029265.650000000372529
20131031,1972317.800000000046566,1951103.770000000251457,2100235.589999999850988,1984868.389999999897555,1938498.560000000288710,9947024.109999999403954
20131101,1977759.600000000093132,1957161.709999999962747,2107352.910000000149012,2008406.449999999953434,1962941.440000000176951,10013622.110000001266599
20131104,1984857.599999999860302,1978364.500000000000000,2131670.419999999925494,2017186.520000000018626,1936133.120000000111759,10048212.160000000149012
20131105,1988643.199999999953434,1962786.940000000176951,2173188.120000000111759,2011582.219999999972060,1945200.640000000363216,10081401.119999999180436
20131106,1992665.399999999906868,1988749.540000000270084,2264527.060000000055879,2030076.409999999916181,1961758.720000000204891,10237777.130000000819564
20131107,1979179.200000000186265,1982691.600000000093132,2224195.580000000074506,2003923.009999999776483,1932979.200000000186265,10122968.589999999850988
20131108,1993138.599999999860302,2025097.179999999934807,2240802.660000000149012,2027834.689999999944121,1954268.160000000149012,10241141.289999999105930
20131111,1991009.200000000186265,2033751.380000000121072,2229533.570000000298023,2019054.619999999878928,1964124.160000000149012,10237472.929999999701977
20131112,1983911.199999999720603,2059281.270000000251457,2215892.040000000037253,2007285.589999999850988,1954268.160000000149012,10220638.259999999776483
20131113,1992192.199999999953434,2048463.520000000251457,2263340.839999999850988,2007472.399999999674037,1969249.280000000260770,10280718.240000000223517
20131114,1981781.800000000046566,2069233.600000000093132,2255037.300000000279397,2030450.029999999795109,1972797.440000000176951,10309300.169999999925494
20131115,1981308.599999999860302,2080051.350000000093132,2244361.320000000298023,2028581.929999999934807,1990932.480000000214204,10325235.679999999701977
20131118,1988406.600000000093132,2077455.090000000083819,2206402.280000000260770,2038669.669999999925494,1970432.000000000000000,10281365.640000000596046
20131119,1979652.399999999906868,2080051.350000000093132,2179119.220000000204891,2038109.239999999757856,1945594.880000000353903,10222527.090000001713634
20131120,1956229.000000000000000,2082647.610000000335276,2199284.959999999962747,2033065.369999999878928,1952691.200000000186265,10223918.140000000596046
20131121,1942979.400000000139698,2103850.400000000372529,2218264.479999999981374,2050625.509999999776483,1986990.080000000074506,10302709.870000001043081
20131122,1960960.999999999767169,2117697.120000000111759,2228347.350000000093132,2058658.339999999850988,1992115.200000000186265,10357779.010000001639128
20131125,1996924.200000000186265,2148852.240000000223517,2232499.120000000111759,2060713.250000000000000,1990144.000000000000000,10429132.810000000521541
20131126,1995977.800000000046566,2145390.559999999590218,2215298.930000000167638,2072482.279999999795109,2005913.600000000325963,10435063.169999998062849
20131127,2003312.399999999906868,2156208.309999999590218,2230126.680000000167638,2083130.449999999953434,2010644.480000000214204,10483422.320000000298023
20131129,2001656.199999999720603,2156208.309999999590218,2261561.510000000242144,2070987.799999999813735,2005519.360000000102445,10495933.179999999701977
20131202,1993375.199999999953434,2171353.160000000149012,2280541.030000000260770,2060713.250000000000000,2021683.200000000186265,10527665.839999999850988
20131203,1984384.400000000139698,2153179.339999999850988,2272237.490000000223517,2049131.029999999795109,1988567.040000000037253,10447499.300000000745058
20131204,1986750.399999999906868,2133707.390000000596046,2309603.419999999925494,2035120.279999999795109,1998423.040000000037253,10463604.530000001192093
20131205,1997160.799999999813735,2112071.890000000596046,2253851.080000000074506,2037175.189999999944121,1988172.800000000279397,10388431.760000001639128
20131206,2022950.199999999953434,2137169.070000000298023,2275203.040000000037253,2075844.859999999869615,1989749.760000000242144,10500916.929999999701977
20131209,2036909.600000000093132,2144525.140000000596046,2295961.890000000130385,2076965.719999999972060,1986990.080000000074506,10541352.430000001564622
20131210,2044717.399999999906868,2138899.910000000149012,2260375.290000000037253,2073229.520000000018626,1965701.120000000111759,10482923.239999998360872
20131211,2017745.000000000000000,2118129.830000000074506,2230719.790000000037253,2029889.599999999860302,2027202.560000000288710,10423686.780000001192093
20131212,2024606.399999999906868,2090869.100000000093132,2207588.500000000000000,2019241.429999999934807,2005125.120000000111759,10347430.550000000745058
20131213,2035963.199999999953434,2093465.360000000335276,2176153.669999999925494,2005417.489999999757856,2043760.640000000363216,10354760.360000001266599
20131216,2067430.999999999767169,2080916.770000000251457,2187422.760000000242144,2027461.069999999832362,2047703.040000000037253,10410934.640000000596046
20131217,2056547.399999999906868,2072695.280000000027940,2166070.800000000279397,2010461.359999999869615,2101713.919999999925494,10407488.759999999776483
20131218,2086122.399999999906868,2115966.280000000260770,2169629.459999999962747,2051372.750000000000000,2122608.640000000596046,10545699.530000001192093
20131219,2071216.600000000093132,2111206.469999999739230,2150056.830000000074506,2045581.639999999897555,2129704.959999999962747,10507766.500000000000000
20131220,2104104.000000000000000,2134140.100000000558794,2182677.879999999888241,2067251.599999999860302,2128522.240000000223517,10616695.820000000298023
20131223,2128473.799999999813735,2135870.940000000409782,2172001.899999999906868,2070240.559999999823049,2149022.719999999739230,10655609.920000001788139
20131224,2150950.799999999813735,2138034.490000000223517,2199284.959999999962747,2082383.209999999962747,2155724.799999999813735,10726378.260000001639128
20131226,2156629.200000000186265,2151448.500000000000000,2220636.919999999925494,2105174.030000000260770,2170311.679999999701977,10804200.330000000074506
20131227,2150004.400000000372529,2154477.469999999739230,2211740.270000000018626,2107228.939999999478459,2165186.560000000521541,10788637.640000000596046
20131230,2150004.400000000372529,2160968.120000000111759,2211740.270000000018626,2105921.269999999552965,2177408.000000000000000,10806042.060000000521541
20131231,2148584.799999999813735,2165727.929999999701977,2218857.589999999850988,2125909.939999999478459,2194754.560000000521541,10853834.819999998435378
