訓練日期,20100111 - 20100414
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11060763.489999998360872
真實報酬,1060763.489999998360872

夏普值報酬,0.097376349000000
夏普值風險,0.029685979372949
夏普值,3.280213456212708

預期報酬,17617.806599049788929
風險,101172.388831976801157
趨勢值,0.174136509006511
找到最佳解世代,2395
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),TRV[22](2),
Stock#,MCD[15](1),TRV[22](2),
張數,80853,102965,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,50.479999999515712,19.599999999627471,
20100111,5038809.439999999478459,4997940.699999999254942,10036750.139999998733401
20100112,5066299.459999999031425,5029859.849999999627471,10096159.309999998658895
20100113,5060639.750000000000000,5047363.900000000372529,10108003.650000000372529
20100114,5065490.929999999701977,5074134.799999999813735,10139625.730000000447035
20100115,5035575.319999999366701,5023681.949999999254942,10059257.269999999552965
20100119,5132598.919999998994172,5089579.549999999813735,10222178.469999998807907
20100120,5094598.009999999776483,5038097.049999999813735,10132695.059999998658895
20100121,5109960.080000000074506,5040156.349999999627471,10150116.429999999701977
20100122,5125322.149999999441206,4974258.750000000000000,10099580.899999998509884
20100125,5101066.250000000000000,5033978.449999999254942,10135044.699999999254942
20100126,5159280.410000000149012,5171951.549999998882413,10331231.959999999031425
20100127,5152812.169999998994172,5240938.099999999627471,10393750.269999999552965
20100128,5080044.469999999739230,5176070.150000000372529,10256114.620000001043081
20100129,5047703.269999999552965,5217256.149999999441206,10264959.419999998062849
20100201,5165748.649999999441206,5219315.449999999254942,10385064.099999997764826
20100202,5177068.069999999366701,5260501.450000000186265,10437569.519999999552965
20100203,5272474.609999999403954,5206959.649999999441206,10479434.259999997913837
20100204,5179493.660000000149012,5120469.049999998882413,10299962.709999999031425
20100205,5123705.089999998919666,5177099.799999999813735,10300804.889999998733401
20100208,5087321.239999999292195,5050452.849999999627471,10137774.089999999850988
20100209,5139875.689999999478459,5103994.649999999441206,10243870.339999999850988
20100210,5114002.729999999515712,5116350.449999999254942,10230353.179999999701977
20100211,5157663.349999999627471,5168862.599999999627471,10326525.949999999254942
20100212,5141492.750000000000000,5194603.849999999627471,10336096.599999999627471
20100216,5175451.009999999776483,5314043.250000000000000,10489494.259999999776483
20100217,5195664.259999999776483,5328458.349999999627471,10524122.609999999403954
20100218,5213451.919999999925494,5430393.700000000186265,10643845.620000001043081
20100219,5234473.699999999254942,5444808.799999999813735,10679282.500000000000000
20100222,5236899.289999999105930,5461283.199999999254942,10698182.489999998360872
20100223,5244984.589999999850988,5391267.000000000000000,10636251.589999999850988
20100224,5276517.259999999776483,5435541.949999999254942,10712059.209999999031425
20100225,5205366.619999999180436,5431423.349999999627471,10636789.969999998807907
20100226,5162514.529999999329448,5414948.950000000186265,10577463.480000000447035
20100301,5173025.419999998994172,5465401.799999999813735,10638427.219999998807907
20100302,5180302.189999998547137,5487024.449999999254942,10667326.639999996870756
20100303,5144726.870000000111759,5469520.399999999441206,10614247.269999999552965
20100304,5128556.269999999552965,5513795.349999999627471,10642351.619999999180436
20100305,5147960.989999999292195,5553951.699999999254942,10701912.689999997615814
20100308,5265197.839999999850988,5539536.599999999627471,10804734.439999999478459
20100309,5263580.779999999329448,5515854.649999999441206,10779435.429999999701977
20100310,5250644.299999998882413,5445838.449999999254942,10696482.749999998137355
20100311,5272474.609999999403954,5521002.899999999441206,10793477.509999997913837
20100312,5298347.569999999366701,5473638.999999999068677,10771986.569999998435378
20100315,5330688.770000000484288,5429364.049999998882413,10760052.820000000298023
20100316,5342008.189999998547137,5441719.849999999627471,10783728.039999999105930
20100317,5367072.619999999180436,5456134.950000000186265,10823207.570000000298023
20100318,5391328.520000000484288,5496291.299999999813735,10887619.820000000298023
20100319,5379200.569999999366701,5504528.500000000000000,10883729.070000000298023
20100322,5418010.009999999776483,5497320.949999999254942,10915330.959999999031425
20100323,5445500.029999999329448,5549833.099999999627471,10995333.129999998956919
20100324,5401030.879999998956919,5566307.500000000000000,10967338.379999998956919
20100325,5409116.179999999701977,5568366.799999999813735,10977482.980000000447035
20100326,5438223.259999999776483,5596167.349999999627471,11034390.609999999403954
20100329,5422861.189999998547137,5638382.999999999068677,11061244.189999997615814
20100330,5436606.199999999254942,5552922.049999999813735,10989528.250000000000000
20100331,5394562.639999999664724,5553951.699999999254942,10948514.339999999850988
20100401,5464096.219999999739230,5551892.399999999441206,11015988.619999999180436
20100405,5500480.069999999366701,5491143.049999999813735,10991623.119999999180436
20100406,5482692.410000000149012,5414948.950000000186265,10897641.359999999403954
20100407,5473798.580000000074506,5405682.099999999627471,10879480.679999999701977
20100408,5559502.759999999776483,5380970.499999999068677,10940473.259999997913837
20100409,5553034.520000000484288,5395385.599999999627471,10948420.120000001043081
20100412,5540906.569999999366701,5356258.900000000372529,10897165.469999998807907
20100413,5572439.239999999292195,5376851.899999999441206,10949291.139999998733401
20100414,5612865.739999999292195,5447897.749999999068677,11060763.489999998360872
