訓練日期,20110203 - 20110506
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10843502.480000000447035
真實報酬,843502.480000000447035

夏普值報酬,0.075650248000000
夏普值風險,0.024183736853751
夏普值,3.128145516033726

預期報酬,15035.923373405203165
風險,101580.390257770355674
趨勢值,0.148019941006823
找到最佳解世代,2021
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](2),MCD[15](7),PFE[20](1),TRV[22](6),
Stock#,CVX[5](2),MCD[15](7),PFE[20](1),TRV[22](6),
張數,25912,33948,131856,44083,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.239999999757856,69.279999999795109,10.239999999757856,53.069999999832362,
20110203,2521506.959999999962747,2506450.119999999646097,2527689.759999999776483,2523804.819999999832362,10079451.660000000149012
20110204,2516324.559999999590218,2513918.679999999701977,2544831.040000000037253,2530858.099999999627471,10105932.379999998956919
20110207,2530576.159999999683350,2493549.879999999888241,2510548.479999999515712,2520719.009999999776483,10055393.529999997466803
20110208,2532649.119999999646097,2558390.559999999590218,2526371.199999999720603,2551577.109999999869615,10168987.989999998360872
20110209,2493781.119999999646097,2577740.919999999925494,2511867.040000000037253,2592574.299999999813735,10175963.379999998956919
20110210,2505700.639999999664724,2571969.759999999776483,2509229.919999999925494,2577145.250000000000000,10164045.570000000298023
20110211,2499222.639999999664724,2584870.000000000000000,2482858.719999999739230,2600509.239999999757856,10167460.599999999627471
20110214,2512178.639999999664724,2588264.799999999813735,2511867.040000000037253,2593896.790000000037253,10206207.269999999552965
20110215,2496372.319999999832362,2585209.479999999981374,2511867.040000000037253,2616379.120000000111759,10209827.960000000894070
20110216,2504664.159999999683350,2580796.239999999757856,2542193.919999999925494,2621228.250000000000000,10248882.570000000298023
20110217,2517879.279999999795109,2579438.319999999832362,2554060.959999999962747,2635334.810000000055879,10286713.369999999180436
20110218,2558042.879999999888241,2584530.519999999552965,2530326.879999999888241,2685589.429999999701977,10358489.709999999031425
20110222,2599502.079999999608845,2569932.879999999888241,2490770.079999999608845,2668397.060000000055879,10328602.099999999627471
20110223,2650030.479999999515712,2552619.399999999906868,2473628.799999999813735,2663547.929999999701977,10339826.609999999403954
20110224,2643811.599999999627471,2553298.359999999403954,2492088.639999999664724,2615497.459999999962747,10304696.059999998658895
20110225,2645625.439999999478459,2527158.399999999906868,2486814.399999999906868,2627399.870000000111759,10286998.109999999403954
20110228,2688380.239999999757856,2569253.919999999925494,2536919.679999999701977,2641947.259999999776483,10436501.099999999627471
20110301,2666355.040000000037253,2542435.000000000000000,2523734.079999999608845,2610648.329999999608845,10343172.449999999254942
20110302,2681124.879999999888241,2535645.399999999906868,2530326.879999999888241,2592574.299999999813735,10339671.459999999031425
20110303,2699781.519999999552965,2588264.799999999813735,2606803.359999999869615,2603154.219999999739230,10498003.899999998509884
20110304,2688380.239999999757856,2581135.719999999739230,2592299.199999999720603,2608885.009999999776483,10470700.169999998062849
20110307,2669205.359999999869615,2589962.200000000186265,2585706.399999999906868,2599186.750000000000000,10444060.710000000894070
20110308,2688898.479999999515712,2564501.200000000186265,2594936.319999999832362,2603595.049999999813735,10451931.050000000745058
20110309,2646661.919999999925494,2572648.719999999739230,2592299.199999999720603,2618583.269999999552965,10430193.109999999403954
20110310,2567371.199999999720603,2603201.919999999925494,2552742.399999999906868,2579790.229999999981374,10303105.750000000000000
20110311,2589396.399999999906868,2604899.319999999832362,2567246.559999999590218,2595660.109999999869615,10357202.389999998733401
20110314,2611939.839999999850988,2568914.439999999944121,2612077.599999999627471,2594778.449999999720603,10387710.329999998211861
20110315,2623082.000000000000000,2550243.040000000037253,2605484.799999999813735,2579790.229999999981374,10358600.070000000298023
20110316,2578513.359999999869615,2491173.519999999552965,2544831.040000000037253,2559071.219999999739230,10173589.139999998733401
20110317,2649253.119999999646097,2491852.479999999981374,2621307.519999999552965,2586843.509999999776483,10349256.629999998956919
20110318,2663763.839999999850988,2477933.799999999813735,2660864.319999999832362,2559512.049999999813735,10362074.009999997913837
20110321,2725693.519999999552965,2504073.759999999776483,2634493.119999999646097,2598745.919999999925494,10463006.319999998435378
20110322,2726730.000000000000000,2507808.040000000037253,2629218.879999999888241,2569210.310000000055879,10432967.230000000447035
20110323,2733208.000000000000000,2530213.719999999739230,2626581.759999999776483,2575822.759999999776483,10465826.239999998360872
20110324,2730616.799999999813735,2543792.919999999925494,2676687.040000000037253,2593455.959999999962747,10544552.719999998807907
20110325,2766893.599999999627471,2554656.279999999795109,2683279.839999999850988,2600068.409999999683350,10604898.129999998956919
20110328,2747718.719999999739230,2546169.279999999795109,2672731.359999999869615,2596982.599999999627471,10563601.959999999031425
20110329,2782181.679999999701977,2558730.040000000037253,2687235.519999999552965,2612411.649999999906868,10640558.889999998733401
20110330,2798765.359999999869615,2573667.159999999683350,2681961.279999999795109,2618142.439999999944121,10672536.239999998360872
