訓練日期,20120206 - 20120508
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11268664.980000000447035
真實報酬,1268664.980000000447035

夏普值報酬,0.118166498000000
夏普值風險,0.041353401519454
夏普值,2.857479521833530

預期報酬,21781.443205252762709
風險,91296.015122206255910
趨勢值,0.238580437230439
找到最佳解世代,2643
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](2),
Stock#,HD[9](1),KO[14](2),
張數,110692,146886,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,42.359999999403954,0.560000000521541,
20120206,5003320.759999999776483,4997062.280000001192093,10000383.040000000968575
20120207,5032100.679999999701977,5035252.640000000596046,10067353.320000000298023
20120208,5000000.000000000000000,5019095.180000000633299,10019095.179999999701977
20120209,5011069.200000000186265,4992655.700000001117587,10003724.900000002235174
20120210,5017710.719999998807907,4989717.980000000447035,10007428.699999999254942
20120213,5084125.919999998994172,5026439.480000000447035,10110565.399999998509884
20120214,5098515.879999999888241,5060223.260000000707805,10158739.140000000596046
20120215,5059773.679999999701977,5023501.760000000707805,10083275.440000001341105
20120216,5084125.919999998994172,5057285.540000000037253,10141411.459999999031425
20120217,5170465.679999999701977,5071974.140000000596046,10242439.820000000298023
20120221,5193711.000000000000000,5054347.820000000298023,10248058.820000000298023
20120222,5154968.799999999813735,5086662.740000001154840,10241631.540000000968575
20120223,5197031.759999999776483,5080787.300000000745058,10277819.060000000521541
20120224,5200352.519999998621643,5067567.560000000521541,10267920.079999998211861
20120227,5194817.919999998994172,5055816.680000000633299,10250634.599999999627471
20120228,5228025.519999998621643,5055816.680000000633299,10283842.199999999254942
20120229,5265660.799999999813735,5130728.540000000037253,10396389.339999999850988
20120301,5253484.679999999701977,5111633.360000000335276,10365118.039999999105930
20120302,5247950.079999999143183,5080787.300000000745058,10328737.379999998956919
20120305,5245736.239999999292195,5085193.879999999888241,10330930.119999999180436
20120306,5135044.239999999292195,5049941.240000001154840,10184985.480000000447035
20120307,5245736.239999999292195,5052878.959999999962747,10298615.199999999254942
20120308,5293333.799999999813735,5088131.600000000558794,10381465.400000000372529
20120309,5324327.559999999590218,5105757.919999999925494,10430085.480000000447035
20120312,5378566.639999999664724,5152761.440000000409782,10531328.080000000074506
20120313,5439447.239999999292195,5160105.740000001154840,10599552.980000000447035
20120314,5475975.599999999627471,5157168.020000000484288,10633143.620000001043081
20120315,5446088.759999999776483,5165981.180000000633299,10612069.940000001341105
20120316,5429484.959999999031425,5152761.440000000409782,10582246.399999998509884
20120319,5405132.719999998807907,5170387.760000000707805,10575520.480000000447035
20120320,5466013.319999999366701,5185076.360000000335276,10651089.679999999701977
20120321,5511397.039999999105930,5223266.720000000670552,10734663.759999999776483
20120322,5499220.919999998994172,5245299.620000001043081,10744520.539999999105930
20120323,5483724.039999999105930,5249706.200000001117587,10733430.240000000223517
20120326,5549032.319999999366701,5280552.260000000707805,10829584.580000000074506
20120327,5539070.039999999105930,5279083.400000000372529,10818153.439999999478459
20120328,5524680.079999999143183,5336368.940000000409782,10861049.019999999552965
20120329,5524680.079999999143183,5421562.820000000298023,10946242.899999998509884
20120330,5568956.879999999888241,5436251.419999999925494,11005208.300000000745058
20120402,5533535.439999999478459,5445064.580000001005828,10978600.019999999552965
20120403,5534642.359999999403954,5417156.240000001154840,10951798.600000001490116
20120404,5518038.559999999590218,5395123.339999999850988,10913161.899999998509884
20120405,5603271.399999999441206,5396592.200000001117587,10999863.600000001490116
20120409,5598843.719999998807907,5352526.400000000372529,10951370.119999999180436
20120410,5463799.479999999515712,5289365.419999999925494,10753164.899999998509884
20120411,5506969.359999999403954,5296709.720000000670552,10803679.080000000074506
20120412,5604378.319999999366701,5304054.020000000484288,10908432.339999999850988
20120413,5640906.679999999701977,5283489.980000000447035,10924396.660000000149012
20120416,5721711.839999998919666,5320211.480000000447035,11041923.320000000298023
20120417,5759347.119999999180436,5431844.839999999850988,11191191.959999999031425
20120418,5734994.879999999888241,5448002.300000000745058,11182997.179999999701977
20120419,5707321.879999999888241,5421562.820000000298023,11128884.699999999254942
20120420,5696252.679999999701977,5445064.580000001005828,11141317.260000001639128
20120423,5656403.559999999590218,5412749.660000001080334,11069153.220000000670552
20120424,5670793.519999998621643,5443595.720000000670552,11114389.239999998360872
20120425,5746064.079999999143183,5503818.980000000447035,11249883.059999998658895
20120426,5741636.399999999441206,5559635.660000001080334,11301272.060000000521541
20120427,5750491.759999999776483,5628672.080000001005828,11379163.839999999850988
20120430,5732781.039999999105930,5605170.320000000298023,11337951.359999999403954
20120501,5791447.799999999813735,5650704.980000000447035,11442152.780000001192093
20120502,5834617.679999999701977,5666862.440000000409782,11501480.120000001043081
20120503,5808051.599999999627471,5687426.480000000447035,11495478.080000000074506
20120504,5751598.679999999701977,5655111.560000000521541,11406710.240000000223517
20120507,5688504.239999999292195,5675675.600000000558794,11364179.839999999850988
20120508,5603271.399999999441206,5665393.580000001005828,11268664.980000000447035
