訓練日期,20150312 - 20150612
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11326147.579999998211861
真實報酬,1326147.579999998211861

夏普值報酬,0.123914758000000
夏普值風險,0.036023938143674
夏普值,3.439789328578970

預期報酬,20836.712943895792705
風險,91167.826190701118321
趨勢值,0.228553359387010
找到最佳解世代,2180
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](2),GS[8](1),JPM[13](3),
Stock#,DD[7](2),GS[8](1),JPM[13](3),
張數,50035,18098,55334,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.299999999813735,43.359999999869615,12.839999999850988,
20150312,3381866.950000000186265,3437758.459999999497086,3395860.419999999925494,10215486.830000000074506
20150313,3352346.299999999813735,3426718.679999999701977,3375386.839999999850988,10154452.820000000298023
20150316,3351345.600000000093132,3473049.560000000055879,3422420.739999999757856,10246816.900000000372529
20150317,3322825.649999999441206,3448979.219999999739230,3409140.579999999608845,10180946.449999999254942
20150318,3387370.799999999813735,3480650.719999999739230,3416887.339999999850988,10284909.859999999403954
20150319,3329830.549999999813735,3438120.419999999925494,3386453.640000000130385,10154405.609999999403954
20150320,3369858.549999999348074,3495310.099999999627471,3416887.339999999850988,10282056.989999998360872
20150323,3365355.399999999906868,3474135.439999999944121,3383133.600000000093132,10222625.439999999478459
20150324,3363854.350000000093132,3461828.799999999813735,3345506.479999999981374,10171190.630000000819564
20150325,3336835.449999999720603,3390703.659999999683350,3298472.579999999608845,10026012.689999999478459
20150326,3338836.850000000093132,3388712.879999999888241,3294599.199999999720603,10022149.929999999701977
20150327,3402881.649999999906868,3403553.239999999757856,3295152.539999999571592,10101588.429999999701977
20150330,3468427.499999999534339,3457123.319999999832362,3373173.479999999981374,10298725.299999998882413
20150331,3418892.849999999627471,3401924.419999999925494,3352146.559999999590218,10172964.829999998211861
20150401,3412888.649999999441206,3479021.899999999906868,3317286.140000000130385,10209197.689999999478459
20150402,3437405.799999999813735,3466715.260000000242144,3348826.520000000018626,10252948.580000000074506
20150406,3468427.499999999534339,3475764.260000000242144,3346059.819999999832362,10290252.580000000074506
20150407,3457419.799999999348074,3481917.579999999608845,3367086.739999999757856,10306425.119999999180436
20150408,3446412.099999999627471,3484994.239999999757856,3378153.539999999571592,10309560.879999998956919
20150409,3472930.649999999441206,3527162.579999999608845,3401393.819999999832362,10401488.049999998882413
20150410,3447913.149999999441206,3540736.079999999608845,3414120.640000000130385,10402770.869999999180436
20150413,3439407.199999999720603,3539650.200000000186265,3434594.219999999739230,10413652.620000001043081
20150414,3479435.200000000186265,3578379.919999999925494,3488268.199999999720603,10546084.320000000298023
20150415,3570498.899999999906868,3639551.159999999683350,3553008.979999999515712,10763060.039999999105930
20150416,3544981.049999999348074,3623443.939999999944121,3530875.379999999888241,10699301.369999999180436
20150417,3538476.499999999534339,3571683.659999999683350,3477201.399999999906868,10587362.559999998658895
20150420,3568997.849999999627471,3585257.159999999683350,3499335.000000000000000,10653591.009999999776483
20150421,3537976.149999999441206,3562453.679999999701977,3447874.379999999888241,10548305.209999999031425
20150422,3563994.350000000093132,3589238.719999999739230,3482734.799999999813735,10635968.870000001043081
20150423,3634043.349999999627471,3607155.739999999757856,3474988.039999999571592,10716188.129999998956919
20150424,3642549.299999999813735,3583266.379999999888241,3463921.239999999757856,10689737.919999999925494
20150427,3667566.799999999813735,3556662.319999999832362,3449534.399999999906868,10673764.519999999552965
20150428,3692584.299999999813735,3574217.379999999888241,3472774.679999999701977,10739577.359999999403954
20150429,3677573.799999999813735,3593582.239999999757856,3519255.239999999757856,10790412.279999999329448
20150430,3634043.349999999627471,3554852.519999999552965,3500441.679999999701977,10689338.549999998882413
20150501,3683077.649999999906868,3574941.299999999813735,3519808.579999999608845,10777828.529999999329448
20150504,3680075.549999999813735,3606974.760000000242144,3581229.319999999832362,10868280.630000000819564
20150505,3659060.849999999627471,3570597.779999999795109,3563522.439999999944121,10793182.069999998435378
20150506,3625537.399999999441206,3551775.859999999869615,3536962.120000000111759,10714276.379999998956919
20150507,3608525.500000000000000,3572407.579999999608845,3569055.839999999850988,10749989.919999999925494
20150508,3694585.700000000186265,3628692.359999999869615,3623836.499999999534339,10947115.560000000521541
20150511,3698088.149999999441206,3650952.899999999906868,3621623.140000000130385,10970665.189999999478459
20150512,3630540.899999999906868,3629235.299999999813735,3616643.079999999608845,10876420.279999999329448
20150513,3614529.699999999720603,3645523.500000000000000,3625496.519999999552965,10885550.719999998807907
20150514,3651055.249999999534339,3667060.120000000111759,3654823.539999999571592,10972939.909999998286366
20150515,3670068.549999999348074,3673394.419999999925494,3645416.759999999776483,10988880.729999998584390
