訓練日期,20170811 - 20171110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11053736.719999998807907
真實報酬,1053736.719999998807907

夏普值報酬,0.096673672000000
夏普值風險,0.031367947746771
夏普值,3.081925307337041

預期報酬,17328.569961138106009
風險,47545.333091913205863
趨勢值,0.364464161553754
找到最佳解世代,2552
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,8
BA[2](2),CAT[3](1),CSCO[4](3),CVX[5](14),MSFT[18](7),PG[21](26),UNH[23](12),V[25](4),
Stock#,BA[2](2),CAT[3](1),CSCO[4](3),CVX[5](14),MSFT[18](7),PG[21](26),UNH[23](12),V[25](4),
張數,5367,11047,40322,11352,17504,13625,6491,12564,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,133.040000000037253,31.949999999953434,18.000000000000000,31.280000000027940,39.360000000102445,42.500000000000000,28.130000000121072,7.640000000130385,
20170811,1260734.000000000000000,1246685.899999999906868,1268951.339999999850988,1240010.239999999990687,1269079.360000000102445,1244550.000000000000000,1252920.950000000186265,1257538.400000000139698,10040470.189999999478459
20170814,1272917.090000000083819,1256186.319999999832362,1283870.479999999981374,1234107.199999999953434,1288158.720000000204891,1248773.750000000000000,1257399.740000000223517,1279902.320000000298023,10121315.620000001043081
20170815,1283758.429999999934807,1255523.500000000000000,1293950.980000000214204,1232517.919999999925494,1281682.239999999990687,1256267.500000000000000,1262527.630000000121072,1289450.959999999962747,10155679.160000000149012
20170816,1275278.570000000065193,1260715.590000000083819,1304031.480000000214204,1212878.959999999962747,1289208.960000000195578,1259537.500000000000000,1257789.200000000186265,1298120.120000000111759,10157560.380000002682209
20170817,1264544.570000000065193,1249889.530000000027940,1251612.879999999888241,1202435.120000000111759,1267328.960000000195578,1254496.250000000000000,1250843.830000000074506,1283545.880000000121072,10024697.020000001415610
20170818,1265510.630000000121072,1258506.189999999944121,1224597.140000000130385,1208792.239999999990687,1268904.320000000065193,1259946.250000000000000,1238640.750000000000000,1287943.280000000260770,10012840.800000000745058
20170821,1265027.600000000093132,1254971.149999999906868,1237096.959999999962747,1200845.840000000083819,1262952.960000000195578,1265260.000000000000000,1246494.860000000102445,1296863.720000000204891,10029513.089999999850988
20170822,1286871.290000000037253,1279495.489999999990687,1260886.939999999944121,1207430.000000000000000,1280632.000000000000000,1264306.250000000000000,1264410.020000000018626,1307543.120000000111759,10151575.109999999403954
20170823,1277962.070000000065193,1267675.199999999953434,1246774.239999999990687,1210268.000000000000000,1272930.239999999990687,1259537.500000000000000,1260839.970000000204891,1296361.160000000149012,10092348.380000000819564
20170824,1281450.620000000111759,1268006.609999999869615,1259677.280000000027940,1219690.159999999916181,1272405.120000000111759,1257221.250000000000000,1264150.380000000121072,1296863.720000000204891,10119465.140000000596046
20170825,1266154.669999999925494,1274303.399999999906868,1267741.680000000167638,1228658.239999999990687,1274680.639999999897555,1260491.250000000000000,1261618.890000000130385,1298497.040000000037253,10132145.809999998658895
20170828,1273078.100000000093132,1271210.239999999990687,1271773.879999999888241,1223322.800000000046566,1274855.680000000167638,1259946.250000000000000,1266357.320000000065193,1303899.560000000055879,10144443.830000000074506
20170829,1290842.870000000111759,1281594.419999999925494,1269354.560000000055879,1224458.000000000000000,1278706.560000000055879,1257902.500000000000000,1277002.560000000055879,1303773.920000000158325,10183635.390000000596046
20170830,1290681.860000000102445,1298606.799999999813735,1289918.780000000027940,1222982.239999999990687,1295510.400000000139698,1251771.250000000000000,1271485.210000000195578,1303271.360000000102445,10224227.900000000372529
20170831,1286388.260000000009313,1297943.979999999981374,1298789.620000000111759,1221733.520000000018626,1308813.439999999944121,1257221.250000000000000,1291088.030000000260770,1300632.920000000158325,10262611.020000001415610
20170901,1289984.150000000139698,1306671.109999999869615,1302418.599999999860302,1234674.800000000046566,1294285.120000000111759,1260763.750000000000000,1296605.380000000121072,1305407.240000000223517,10290810.150000000372529
20170905,1272112.040000000037253,1306892.049999999813735,1274999.640000000130385,1242394.159999999916181,1288508.800000000046566,1263352.500000000000000,1293749.340000000083819,1294225.280000000260770,10236233.809999998658895
20170906,1259338.580000000074506,1292310.010000000009313,1285080.140000000130385,1269071.360000000102445,1284832.960000000195578,1263352.500000000000000,1287712.710000000195578,1296361.160000000149012,10238059.419999999925494
20170907,1268408.810000000055879,1301037.139999999897555,1280644.719999999972060,1269184.879999999888241,1301286.720000000204891,1266758.750000000000000,1286349.600000000093132,1313699.480000000214204,10287370.099999999627471
20170908,1281665.300000000046566,1301589.489999999990687,1269354.560000000055879,1257605.840000000083819,1294985.280000000260770,1264987.500000000000000,1283623.380000000121072,1312066.160000000149012,10265877.510000001639128
20170911,1291379.570000000065193,1313188.840000000083819,1297983.179999999934807,1277358.320000000065193,1308638.400000000139698,1280656.250000000000000,1295501.910000000149012,1333676.240000000223517,10398382.710000000894070
20170912,1291325.900000000139698,1336056.129999999888241,1306854.019999999785796,1277017.760000000009313,1307238.080000000307336,1274116.250000000000000,1281805.900000000139698,1334430.080000000074506,10408844.119999999180436
20170913,1298571.350000000093132,1321584.559999999823049,1297579.959999999962747,1296202.640000000130385,1316515.199999999953434,1274661.250000000000000,1287388.160000000149012,1329655.760000000009313,10422158.880000000819564
20170914,1316282.449999999953434,1330974.510000000009313,1297983.179999999934807,1299267.680000000167638,1308813.439999999944121,1274661.250000000000000,1283493.560000000055879,1332796.760000000009313,10444272.830000000074506
20170915,1336516.040000000037253,1340806.340000000083819,1308063.679999999934807,1301311.040000000037253,1318265.600000000093132,1270846.250000000000000,1286414.510000000242144,1322996.840000000083819,10485220.299999998882413
20170918,1358413.400000000139698,1367981.959999999962747,1311289.440000000176951,1307668.159999999916181,1315640.000000000000000,1269211.250000000000000,1286479.420000000158325,1317091.760000000009313,10533775.390000000596046
20170919,1355085.860000000102445,1378034.729999999981374,1310079.780000000027940,1320722.959999999962747,1320541.120000000111759,1283108.750000000000000,1263501.280000000260770,1324378.880000000121072,10555453.360000001266599
20170920,1371186.860000000102445,1379249.899999999906868,1314515.199999999953434,1321063.520000000018626,1311789.120000000111759,1286242.500000000000000,1270641.380000000121072,1324378.880000000121072,10579067.360000001266599
20170921,1374299.720000000204891,1378587.080000000074506,1318547.400000000139698,1322198.719999999972060,1299011.199999999953434,1262262.500000000000000,1267136.240000000223517,1323122.480000000214204,10545165.339999999850988
20170922,1376500.189999999944121,1374610.159999999916181,1345563.139999999897555,1331507.360000000102445,1302512.000000000000000,1256812.500000000000000,1252985.860000000102445,1326263.480000000214204,10566754.689999999478459
20170925,1365068.479999999981374,1373394.989999999990687,1359675.839999999850988,1339453.760000000009313,1282382.400000000139698,1263352.500000000000000,1244677.380000000121072,1294350.920000000158325,10522356.269999999552965
20170926,1361740.939999999944121,1375493.919999999925494,1361288.719999999972060,1334118.320000000065193,1282382.400000000139698,1262398.750000000000000,1250843.830000000074506,1293345.800000000046566,10521612.680000001564622
20170927,1370220.800000000046566,1375604.389999999897555,1349998.559999999823049,1333323.680000000167638,1292709.760000000009313,1238146.250000000000000,1262462.720000000204891,1305281.600000000093132,10527747.759999999776483
20170928,1364800.130000000121072,1383447.760000000009313,1344756.699999999953434,1335253.520000000018626,1293059.840000000083819,1238418.750000000000000,1272913.229999999981374,1313950.760000000009313,10546600.689999999478459
20170929,1364478.110000000102445,1377703.319999999832362,1356046.860000000102445,1333891.280000000027940,1303912.320000000065193,1239645.000000000000000,1271290.479999999981374,1313950.760000000009313,10560918.130000000819564
20171002,1374031.370000000111759,1377813.790000000037253,1360885.500000000000000,1333096.640000000130385,1306012.800000000046566,1250408.750000000000000,1281611.170000000158325,1324755.800000000046566,10608615.820000002160668
20171003,1371186.860000000102445,1386540.919999999925494,1364917.699999999953434,1337523.919999999925494,1299886.400000000139698,1255177.500000000000000,1289335.460000000195578,1326640.400000000139698,10631209.160000002011657
20171004,1372796.959999999962747,1400128.729999999981374,1348385.679999999934807,1334799.439999999944121,1307413.120000000111759,1259265.000000000000000,1301343.810000000055879,1323122.480000000214204,10647255.220000000670552
20171005,1389595.669999999925494,1396372.750000000000000,1354433.980000000214204,1346151.439999999944121,1329818.239999999990687,1253951.250000000000000,1284597.030000000260770,1334807.000000000000000,10689727.359999999403954
