訓練日期,20150428 - 20150729
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10961874.500000000000000
真實報酬,961874.500000000000000

夏普值報酬,0.087487450000000
夏普值風險,0.027846292472523
夏普值,3.141798861960830

預期報酬,15560.441082901828850
風險,90193.051386385632213
趨勢值,0.172523723764940
找到最佳解世代,1822
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](3),JPM[13](1),NKE[19](2),
Stock#,DIS[6](4),GS[8](3),JPM[13](1),NKE[19](2),
張數,22694,12721,40102,49534,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,28.959999999962747,69.080000000074506,41.319999999832362,19.020000000018626,
20150428,2494553.439999999944121,2512339.370000000111759,2516842.839999999850988,2473251.640000000130385,9996987.290000000968575
20150429,2492057.100000000093132,2525950.840000000316650,2550528.520000000018626,2481177.080000000074506,10049713.540000000968575
20150430,2467320.640000000130385,2498727.899999999906868,2536893.839999999850988,2447989.300000000279397,9950931.679999999701977
20150501,2508169.839999999850988,2512848.209999999962747,2550929.540000000037253,2496037.280000000260770,10067984.870000001043081
20150504,2519743.779999999795109,2535364.380000000353903,2595442.759999999776483,2497523.300000000279397,10148074.220000000670552
20150505,2514751.100000000093132,2509795.169999999925494,2582610.120000000111759,2487121.160000000149012,10094277.550000000745058
20150506,2490014.640000000130385,2496565.330000000074506,2563361.159999999683350,2482167.759999999776483,10032108.890000000596046
20150507,2479575.399999999906868,2511067.270000000018626,2586620.319999999832362,2512878.839999999850988,10090141.830000000074506
20150508,2498865.299999999813735,2550629.580000000074506,2626321.299999999813735,2537150.500000000000000,10212966.679999999701977
20150511,2464597.359999999869615,2566276.410000000149012,2624717.219999999739230,2546066.620000000111759,10201657.609999999403954
20150512,2479121.520000000018626,2551011.209999999962747,2621108.040000000037253,2535664.479999999981374,10186905.250000000000000
20150513,2477986.819999999832362,2562460.110000000335276,2627524.359999999869615,2530215.739999999757856,10198187.029999999329448
20150514,2494780.379999999888241,2577598.100000000093132,2648778.419999999925494,2561917.500000000000000,10283074.400000000372529
20150515,2503177.159999999683350,2582050.450000000186265,2641961.079999999608845,2600058.680000000167638,10327247.369999999180436
20150518,2503857.979999999981374,2603548.939999999944121,2663616.159999999683350,2594609.939999999944121,10365633.019999999552965
20150519,2509077.600000000093132,2612962.479999999981374,2687276.339999999850988,2591637.899999999906868,10400954.320000000298023
20150520,2500907.760000000242144,2608891.760000000242144,2666022.279999999795109,2591142.560000000055879,10366964.360000001266599
20150521,2505219.620000000111759,2607238.029999999795109,2672839.620000000111759,2585693.820000000298023,10370991.089999999850988
20150522,2502269.399999999906868,2643492.880000000353903,2665621.259999999776483,2586684.500000000000000,10398068.039999999105930
20150526,2483660.319999999832362,2625429.060000000055879,2635945.779999999795109,2561422.160000000149012,10306457.320000000298023
20150527,2504765.740000000223517,2659521.340000000316650,2665621.259999999776483,2547057.300000000279397,10376965.640000000596046
20150528,2508396.779999999795109,2652143.160000000149012,2654793.719999999739230,2533683.120000000111759,10349016.779999999329448
20150529,2504765.740000000223517,2623012.069999999832362,2637950.879999999888241,2518327.580000000074506,10284056.269999999552965
20150601,2518155.199999999720603,2643620.090000000316650,2649981.479999999981374,2520308.939999999944121,10332065.709999999031425
