訓練日期,20151117 - 20160222
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11123982.830000000074506
真實報酬,1123982.830000000074506

夏普值報酬,0.103698283000000
夏普值風險,0.032196324060355
夏普值,3.220811258005988

預期報酬,17674.156482037062233
風險,165886.672824546578340
趨勢值,0.106543558810963
找到最佳解世代,2085
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](3),WMT[28](1),
Stock#,PG[21](3),WMT[28](1),
張數,66401,86400,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,4.700000000186265,32.000000000000000,
20151117,4984727.769999999552965,5177120.000000000000000,10161847.769999999552965
20151118,5039840.600000000558794,5264384.000000000000000,10304224.600000001490116
20151119,5061088.919999999925494,5244512.000000000000000,10305600.919999999925494
20151120,5034528.519999999552965,5190080.000000000000000,10224608.519999999552965
20151123,5044488.669999999925494,5206496.000000000000000,10250984.669999999925494
20151124,5076361.150000000372529,5177120.000000000000000,10253481.150000000372529
20151125,5039840.600000000558794,5204768.000000000000000,10244608.600000001490116
20151127,5026560.400000000372529,5174528.000000000000000,10201088.400000000372529
20151130,4969455.540000000037253,5083808.000000000000000,10053263.539999999105930
20151201,5042496.639999999664724,5096768.000000000000000,10139264.640000000596046
20151202,5032536.490000000223517,5041472.000000000000000,10074008.490000000223517
20151203,5029216.439999999478459,5101088.000000000000000,10130304.439999999478459
20151204,5167994.530000000260770,5154656.000000000000000,10322650.530000001192093
20151207,5203851.070000000298023,5227232.000000000000000,10431083.070000000298023
20151208,5162682.450000000186265,5150336.000000000000000,10313018.449999999254942
20151209,5159362.400000000372529,5108864.000000000000000,10268226.400000000372529
20151210,5165338.490000000223517,5146016.000000000000000,10311354.490000000223517
20151211,5164674.480000000447035,5128736.000000000000000,10293410.480000000447035
20151214,5198538.990000000223517,5217728.000000000000000,10416266.990000000223517
20151215,5290836.380000000819564,5152928.000000000000000,10443764.380000000819564
20151216,5377821.689999999478459,5209952.000000000000000,10587773.689999999478459
20151217,5331340.990000000223517,5095904.000000000000000,10427244.990000000223517
20151218,5187914.830000000074506,5084672.000000000000000,10272586.830000000074506
20151221,5242363.650000000372529,5145152.000000000000000,10387515.650000000372529
20151222,5285524.299999999813735,5230688.000000000000000,10516212.300000000745058
20151223,5306772.620000000111759,5278208.000000000000000,10584980.620000001043081
20151224,5298140.490000000223517,5255744.000000000000000,10553884.490000000223517
20151228,5306772.620000000111759,5248832.000000000000000,10555604.620000001043081
20151229,5335989.060000000521541,5323136.000000000000000,10659125.060000000521541
20151230,5316732.769999999552965,5329184.000000000000000,10645916.769999999552965
20151231,5272908.110000000335276,5296352.000000000000000,10569260.109999999403954
20160104,5203851.070000000298023,5310176.000000000000000,10514027.070000000298023
20160105,5220451.320000000298023,5436320.000000000000000,10656771.320000000298023
20160106,5169986.560000000521541,5490752.000000000000000,10660738.560000000521541
20160107,5124833.880000000819564,5618624.000000000000000,10743457.880000000819564
20160108,5044488.669999999925494,5489888.000000000000000,10534376.669999999925494
20160111,5090969.370000000111759,5548640.000000000000000,10639609.370000001043081
20160112,5080345.210000000894070,5496800.000000000000000,10577145.210000000894070
20160113,5036520.549999999813735,5349920.000000000000000,10386440.550000000745058
20160114,5056440.850000000558794,5448416.000000000000000,10504856.850000001490116
20160115,4978751.680000000633299,5350784.000000000000000,10329535.679999999701977
20160119,5094953.430000000633299,5405216.000000000000000,10500169.429999999701977
20160120,5035192.530000000260770,5256608.000000000000000,10291800.530000001192093
20160121,5094289.419999999925494,5346464.000000000000000,10440753.419999999925494
20160122,5136786.060000000521541,5416448.000000000000000,10553234.060000000521541
20160125,5102921.549999999813735,5482112.000000000000000,10585033.550000000745058
20160126,5233067.510000000707805,5529632.000000000000000,10762699.510000001639128
20160127,5232403.500000000000000,5525312.000000000000000,10757715.500000000000000
20160128,5300132.519999999552965,5548640.000000000000000,10848772.519999999552965
20160129,5424302.389999999664724,5733536.000000000000000,11157838.390000000596046
20160201,5386453.820000000298023,5832032.000000000000000,11218485.820000000298023
20160202,5326692.919999999925494,5776736.000000000000000,11103428.919999999925494
20160203,5385125.799999999813735,5725760.000000000000000,11110885.800000000745058
20160204,5358565.400000000372529,5738720.000000000000000,11097285.400000000372529
20160205,5391765.900000000372529,5788832.000000000000000,11180597.900000000372529
20160208,5486055.320000000298023,5780192.000000000931323,11266247.320000000298023
20160209,5487383.339999999850988,5686016.000000000000000,11173399.339999999850988
20160210,5419654.320000000298023,5684288.000000000931323,11103942.320000000298023
20160211,5305444.600000000558794,5643679.999999999068677,10949124.599999999627471
20160212,5377821.689999999478459,5717984.000000000931323,11095805.690000001341105
20160216,5409694.169999999925494,5693792.000000000931323,11103486.170000001788139
20160217,5474767.150000000372529,5711936.000000000000000,11186703.150000000372529
20160218,5443558.680000000633299,5540000.000000000000000,10983558.679999999701977
20160219,5430942.490000000223517,5586656.000000000000000,11017598.490000000223517
20160222,5453518.830000000074506,5670464.000000000000000,11123982.830000000074506
