訓練日期,20161017 - 20170119
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251860.239999998360872
真實報酬,1251860.239999998360872

夏普值報酬,0.116486024000000
夏普值風險,0.037979218103261
夏普值,3.067099056207206

預期報酬,22233.352563390802970
風險,85627.497564015022363
趨勢值,0.259652018287340
找到最佳解世代,1756
找到最佳解實驗#,1
找到最佳解次數,7

stock[index](rank)
投資組合檔數,4
BA[2](2),CVX[5](4),DIS[6](1),V[25](27),
Stock#,BA[2](2),CVX[5](4),DIS[6](1),V[25](27),
張數,18726,24732,27382,30321,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,79.000000000000000,89.439999999944121,23.399999999906868,33.549999999813735,
20161017,2509363.000000000000000,2506924.959999999962747,2487130.459999999962747,2490903.700000000186265,9994322.120000001043081
20161018,2529961.600000000093132,2517559.720000000204891,2496440.339999999850988,2473620.729999999981374,10017582.390000000596046
20161019,2550185.680000000167638,2529431.080000000074506,2517250.660000000149012,2510915.560000000055879,10107782.980000000447035
20161020,2543818.839999999850988,2519538.280000000260770,2519988.859999999869615,2501516.049999999813735,10084862.030000001192093
20161021,2539886.379999999888241,2505441.040000000037253,2547370.859999999869615,2496967.899999999441206,10089666.179999999701977
20161024,2573967.699999999720603,2489612.560000000055879,2556680.740000000223517,2521831.119999999646097,10142092.119999999180436
20161025,2603367.520000000018626,2492333.080000000074506,2539703.899999999906868,2487265.179999999701977,10122669.679999999701977
20161026,2725461.040000000037253,2502720.520000000018626,2559966.579999999608845,2478775.299999999813735,10266923.440000001341105
20161027,2683702.060000000055879,2471310.879999999888241,2574479.039999999571592,2483929.869999999646097,10213421.849999997764826
20161028,2678084.259999999776483,2567765.679999999701977,2569824.099999999627471,2493026.169999999925494,10308700.209999999031425
20161031,2667223.180000000167638,2590766.439999999944121,2538060.979999999981374,2501819.259999999776483,10297869.859999999403954
20161101,2666848.660000000149012,2633552.799999999813735,2529846.379999999888241,2474833.569999999832362,10305081.410000000149012
20161102,2635763.500000000000000,2606594.919999999925494,2516703.020000000018626,2443299.729999999981374,10202361.169999999925494
20161103,2622093.520000000018626,2606594.919999999925494,2556680.740000000223517,2445422.200000000186265,10230791.379999998956919
20161104,2613105.040000000037253,2591508.399999999906868,2531489.299999999813735,2436629.109999999869615,10172731.849999999627471
20161107,2678458.779999999795109,2642703.639999999664724,2585705.660000000149012,2501819.259999999776483,10408687.339999999850988
20161108,2662916.199999999720603,2653585.720000000204891,2584336.559999999590218,2513038.029999999795109,10413876.509999999776483
20161109,2717034.339999999850988,2662241.919999999925494,2591455.879999999888241,2523953.589999999850988,10494685.730000000447035
20161110,2765721.939999999944121,2665951.720000000204891,2600218.119999999646097,2482413.819999999832362,10514305.599999999627471
20161111,2781264.520000000018626,2637509.919999999925494,2674697.160000000149012,2482717.029999999795109,10576188.629999998956919
