訓練日期,20160129 - 20160502
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11370225.289999999105930
真實報酬,1370225.289999999105930

夏普值報酬,0.128322529000000
夏普值風險,0.039109805489047
夏普值,3.281083283217499

預期報酬,21727.369802380831970
風險,62984.698624095392006
趨勢值,0.344962669934390
找到最佳解世代,2666
找到最佳解實驗#,23
找到最佳解次數,2

stock[index](rank)
投資組合檔數,5
AXP[1](6),KO[14](16),MMM[16](5),PFE[20](26),XOM[29](8),
Stock#,AXP[1](6),KO[14](16),MMM[16](5),PFE[20](26),XOM[29](8),
張數,37821,46981,13575,66225,25977,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,25.520000000018626,18.830000000074506,131.000000000000000,5.000000000000000,30.770000000018626,
20160129,2023449.020000000018626,2016443.350000000093132,2049956.000000000000000,2019205.250000000000000,2022340.219999999972060,10131393.839999999850988
20160201,2068834.220000000204891,2020201.830000000074506,2019140.749999999767169,1998013.250000000000000,1981816.100000000093132,10088006.150000000372529
20160202,2029500.379999999888241,1993892.469999999972060,2007466.250000000000000,1996026.500000000000000,1937655.200000000186265,9964540.800000000745058
20160203,2046519.830000000074506,2007047.149999999906868,2070590.000000000232831,1964900.750000000000000,2038705.730000000214204,10127763.460000000894070
20160204,2056731.500000000000000,1998120.760000000242144,2083079.000000000000000,1920530.000000000000000,2073774.679999999934807,10132235.939999999478459
20160205,2041603.099999999860302,1993892.469999999972060,2083486.250000000000000,1922516.750000000000000,2080268.929999999934807,10121767.500000000000000
20160208,1981845.919999999925494,2003758.479999999981374,2089323.500000000000000,1891391.000000000000000,2108324.089999999850988,10074642.990000000223517
20160209,1990544.750000000000000,2034296.129999999888241,2100726.500000000000000,1927152.500000000000000,2080268.929999999934807,10132988.810000000521541
20160210,1977685.610000000102445,1999060.379999999888241,2069639.749999999767169,1952980.250000000000000,2061305.719999999972060,10060671.710000000894070
20160211,1933056.830000000074506,1992483.039999999804422,2045476.249999999767169,1929139.250000000000000,2067799.969999999972060,9967955.339999999850988
20160212,1991679.379999999888241,2025369.739999999990687,2090138.000000000000000,1944371.000000000000000,2104947.080000000074506,10156505.199999999254942
20160216,2011346.300000000046566,2037114.989999999990687,2111450.750000000000000,1974172.250000000000000,2109882.709999999962747,10243967.000000000000000
20160217,2027609.330000000074506,2043222.520000000251457,2126247.500000000000000,1962251.750000000000000,2130144.770000000018626,10289475.870000001043081
20160218,2048032.669999999925494,2048860.239999999990687,2128419.500000000000000,1956953.750000000000000,2141834.419999999925494,10324100.580000000074506
20160219,2069212.429999999934807,2056377.200000000186265,2123939.750000000000000,1952980.250000000000000,2143133.270000000018626,10345642.900000000372529
20160222,2104007.750000000000000,2064363.969999999972060,2140908.500000000000000,1990066.250000000000000,2140275.799999999813735,10439622.269999999552965
20160223,2084340.830000000074506,2052618.719999999972060,2120138.750000000000000,1984106.000000000000000,2110142.479999999981374,10351346.779999999329448
20160224,2066564.959999999962747,2062954.539999999804422,2134392.500000000000000,1988079.500000000000000,2117675.810000000055879,10369667.310000000521541
20160225,2094930.709999999962747,2074699.789999999804422,2158420.250000000000000,2025827.750000000000000,2130404.540000000037253,10484283.039999999105930
20160226,2094552.500000000000000,2026779.170000000158325,2148646.250000000000000,2001986.750000000000000,2123650.520000000018626,10395615.189999999478459
20160229,2102116.700000000186265,2026309.360000000102445,2129641.250000000000000,1964900.750000000000000,2082087.320000000065193,10305055.380000000819564
20160301,2148258.319999999832362,2052618.719999999972060,2166565.250000000000000,1989404.000000000000000,2111441.330000000074506,10468287.620000001043081
