訓練日期,20120410 - 20120711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11500114.720000000670552
真實報酬,1500114.720000000670552

夏普值報酬,0.141311472000000
夏普值風險,0.042150594033162
夏普值,3.352538089708104

預期報酬,24301.331339774733351
風險,91913.370419331855373
趨勢值,0.264393865972991
找到最佳解世代,2045
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),TRV[22](4),VZ[26](1),WMT[28](3),
Stock#,DIS[6](2),TRV[22](4),VZ[26](1),WMT[28](3),
張數,59368,43066,66737,41576,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,13.520000000018626,18.700000000186265,31.979999999981374,35.120000000111759,
20120410,2433507.840000000316650,2487080.200000000186265,2455953.579999999608845,2491684.800000000279397,9868226.420000001788139
20120411,2456067.679999999701977,2505167.920000000391155,2494661.040000000037253,2486279.919999999925494,9942176.559999998658895
20120412,2502374.719999999739230,2545219.300000000279397,2506006.329999999608845,2500415.760000000242144,10054016.109999999403954
20120413,2484564.320000000298023,2503014.620000000111759,2486652.599999999627471,2485032.640000000130385,9959264.179999999701977
20120416,2473284.399999999906868,2547803.260000000242144,2497997.890000000130385,2518709.200000000186265,10037794.750000000000000
20120417,2533839.759999999776483,2583548.040000000502914,2518686.360000000335276,2572342.240000000223517,10208416.400000002235174
20120418,2522559.840000000316650,2561153.720000000204891,2513347.399999999906868,2580241.680000000167638,10177302.640000000596046
20120419,2498218.959999999962747,2657190.900000000372529,2546048.529999999795109,2567353.120000000111759,10268811.510000001639128
20120420,2514248.320000000298023,2702410.200000000186265,2584755.989999999757856,2596456.320000000298023,10397870.830000000074506
20120423,2494063.199999999720603,2709300.760000000242144,2574078.069999999832362,2475470.160000000149012,10252912.189999999478459
20120424,2504155.759999999776483,2729111.120000000111759,2636143.479999999981374,2401880.640000000130385,10271291.000000000000000
20120425,2535027.120000000111759,2746768.180000000167638,2634808.739999999757856,2384834.479999999981374,10301438.520000001415610
20120426,2574210.000000000000000,2789403.520000000018626,2678855.160000000149012,2450940.320000000298023,10493409.000000000000000
20120427,2573616.320000000298023,2756673.360000000335276,2684861.489999999757856,2454266.400000000372529,10469417.570000000298023
20120430,2559368.000000000000000,2770023.819999999832362,2694872.040000000037253,2449277.279999999795109,10473541.140000000596046
20120501,2599738.239999999757856,2782082.299999999813735,2706884.700000000186265,2455929.439999999944121,10544634.679999999701977
20120502,2584896.239999999757856,2788111.540000000037253,2709554.180000000167638,2453434.879999999888241,10535996.839999999850988
20120503,2600925.600000000093132,2788542.200000000186265,2712223.660000000149012,2452603.360000000335276,10554294.820000000298023
20120504,2548681.759999999776483,2777775.700000000186265,2686863.599999999627471,2440546.320000000298023,10453867.379999998956919
20120507,2601519.280000000260770,2781651.640000000130385,2704882.589999999850988,2460918.560000000055879,10548972.070000000298023
20120508,2630015.919999999925494,2773038.440000000409782,2706217.329999999608845,2455097.919999999925494,10564369.609999999403954
20120509,2672760.880000000353903,2752797.420000000391155,2686196.229999999981374,2454266.400000000372529,10566020.930000001564622
20120510,2688196.560000000055879,2783804.940000000409782,2706217.329999999608845,2460918.560000000055879,10639137.390000000596046
20120511,2704819.600000000093132,2782943.620000000577420,2746926.899999999906868,2470481.040000000037253,10705171.160000000149012
20120514,2681666.080000000074506,2776914.380000000353903,2728907.910000000149012,2455929.439999999944121,10643417.810000000521541
20120515,2672167.199999999720603,2762702.600000000558794,2739585.829999999608845,2467570.720000000204891,10642026.350000001490116
20120516,2676322.959999999962747,2739446.959999999962747,2728240.540000000037253,2460918.560000000055879,10604929.019999999552965
20120517,2631796.959999999962747,2700256.900000000372529,2760941.669999999925494,2564442.800000000279397,10657438.330000000074506
20120518,2600925.600000000093132,2677862.580000000074506,2771619.589999999850988,2595624.800000000279397,10646032.570000000298023
20120521,2635359.040000000037253,2700256.900000000372529,2758939.560000000055879,2620986.160000000149012,10715541.660000000149012
20120522,2635359.040000000037253,2705424.820000000298023,2762276.410000000149012,2649673.600000000093132,10752733.870000001043081
20120523,2635359.040000000037253,2705424.820000000298023,2762276.410000000149012,2649673.600000000093132,10752733.870000001043081
20120524,2638327.439999999944121,2721359.240000000223517,2762276.410000000149012,2705385.439999999944121,10827348.529999999329448
20120525,2641889.520000000018626,2695950.300000000279397,2766280.630000000353903,2715363.680000000167638,10819484.130000000819564
20120529,2700070.159999999683350,2708008.780000000260770,2786301.729999999981374,2730746.800000000279397,10925127.470000000670552
20120530,2683447.120000000111759,2665373.440000000409782,2764278.520000000018626,2720768.560000000055879,10833867.640000000596046
20120531,2713724.800000000279397,2691213.040000000502914,2778960.660000000149012,2736567.439999999944121,10920465.940000001341105
20120601,2635952.719999999739230,2608956.979999999981374,2738251.089999999850988,2725341.919999999925494,10708502.709999999031425
20120604,2636546.399999999906868,2600343.780000000260770,2758939.560000000055879,2743635.359999999869615,10739465.099999999627471
20120605,2662074.640000000130385,2618431.500000000000000,2749596.380000000353903,2723263.120000000111759,10753365.640000000596046
20120606,2703038.560000000055879,2654606.940000000409782,2787636.470000000204891,2741140.800000000279397,10886422.770000001415610
20120607,2708975.360000000335276,2666234.760000000242144,2778960.660000000149012,2738646.240000000223517,10892817.020000001415610
20120608,2745189.840000000316650,2676139.940000000409782,2832350.259999999776483,2836349.839999999850988,11090029.880000000819564
20120611,2719067.919999999925494,2651161.660000000149012,2840358.700000000186265,2807662.400000000372529,11018250.679999999701977
20120612,2753501.360000000335276,2667526.740000000223517,2865718.759999999776483,2815561.839999999850988,11102308.699999999254942
20120613,2744596.159999999683350,2655037.600000000093132,2869055.610000000335276,2788537.439999999944121,11057226.810000000521541
20120614,2800995.759999999776483,2718344.620000000111759,2919775.729999999981374,2811820.000000000000000,11250936.109999999403954
20120615,2795652.640000000130385,2730833.760000000242144,2906428.329999999608845,2816809.120000000111759,11249723.850000001490116
20120618,2796246.320000000298023,2716191.320000000298023,2924447.319999999832362,2832192.240000000223517,11269077.200000001117587
20120619,2820587.199999999720603,2732556.400000000372529,2918440.989999999757856,2819303.680000000167638,11290888.269999999552965
20120620,2833648.159999999683350,2749782.800000000279397,2889744.079999999608845,2848822.640000000130385,11321997.679999999701977
20120621,2814056.719999999739230,2695088.979999999981374,2891746.189999999944121,2814730.320000000298023,11215622.209999999031425
20120622,2818212.479999999981374,2728249.800000000279397,2933123.130000000353903,2798099.919999999925494,11277685.330000000074506
20120625,2772499.120000000111759,2676570.600000000093132,2913102.029999999795109,2834686.800000000279397,11196858.550000000745058
20120626,2808119.919999999925494,2676570.600000000093132,2925782.060000000055879,2851317.200000000186265,11261789.780000001192093
20120627,2841959.679999999701977,2705855.479999999981374,2921777.839999999850988,2851732.960000000428408,11321325.960000000894070
20120628,2838991.280000000260770,2706716.800000000279397,2934457.870000000111759,2839675.919999999925494,11319841.869999999180436
20120629,2879361.520000000018626,2749352.140000000130385,2965824.259999999776483,2898713.839999999850988,11493251.759999999776483
20120702,2892422.479999999981374,2752797.420000000391155,2998525.390000000130385,2883330.719999999739230,11527076.010000001639128
20120703,2884704.640000000130385,2761841.279999999795109,2999860.130000000353903,2941537.120000000111759,11587943.170000001788139
20120705,2856208.000000000000000,2754520.060000000055879,2995855.910000000149012,2955257.200000000186265,11561841.170000001788139
20120706,2852052.239999999757856,2724373.859999999869615,2964489.520000000018626,2966898.479999999981374,11507814.099999999627471
20120709,2849677.520000000018626,2716191.320000000298023,2985845.360000000335276,2983528.880000000353903,11535243.080000000074506
20120710,2811682.000000000000000,2722220.560000000055879,2983175.880000000353903,2998080.479999999981374,11515158.920000001788139
20120711,2806338.880000000353903,2692935.680000000167638,2996523.279999999795109,3004316.880000000353903,11500114.720000000670552
