訓練日期,20131219 - 20140325
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11147998.300000000745058
真實報酬,1147998.300000000745058

夏普值報酬,0.106099830000000
夏普值風險,0.030454223273049
夏普值,3.483911871556296

預期報酬,16870.019484973046929
風險,108344.184075414683321
趨勢值,0.155707660996648
找到最佳解世代,2939
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
CSCO[4](12),DD[7](3),MRK[17](1),MSFT[18](10),
Stock#,CSCO[4](12),DD[7](3),MRK[17](1),MSFT[18](10),
張數,119047,40348,51124,68343,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,13.000000000000000,37.919999999925494,36.399999999906868,13.060000000055879,
20131219,2508333.290000000037253,2522594.879999999888241,2494376.359999999869615,2477446.810000000055879,10002751.339999999850988
20131220,2515476.109999999869615,2515735.720000000204891,2521472.080000000074506,2515035.459999999962747,10067719.370000001043081
20131223,2567856.790000000037253,2521384.439999999944121,2523517.040000000037253,2502733.719999999739230,10115491.990000000223517
20131224,2582142.430000000167638,2552452.399999999906868,2526073.239999999757856,2534171.500000000000000,10194839.570000000298023
20131226,2595237.600000000093132,2577468.160000000149012,2541921.679999999701977,2558774.979999999981374,10273402.419999999925494
20131227,2621427.939999999944121,2562539.399999999906868,2545500.359999999869615,2548523.529999999795109,10277991.229999998584390
20131230,2648808.750000000000000,2562539.399999999906868,2553168.959999999962747,2548523.529999999795109,10313040.640000000596046
20131231,2670237.209999999962747,2551241.959999999962747,2558792.599999999627471,2556724.689999999944121,10336996.459999999031425
20140102,2619047.000000000000000,2520577.479999999981374,2530163.160000000149012,2539638.939999999944121,10209426.580000000074506
20140103,2616666.060000000055879,2509280.040000000037253,2542432.919999999925494,2522553.189999999944121,10190932.209999999031425
20140106,2620237.470000000204891,2504841.759999999776483,2542944.160000000149012,2469245.650000000372529,10137269.040000000968575
20140107,2655951.569999999832362,2477001.640000000130385,2561860.040000000037253,2488381.689999999944121,10183194.939999999478459
20140108,2653570.629999999888241,2479826.000000000000000,2545500.359999999869615,2443958.739999999757856,10122855.730000000447035
20140109,2629761.229999999981374,2447951.080000000074506,2531696.879999999888241,2428239.850000000093132,10037649.040000000968575
20140110,2645237.339999999850988,2454003.279999999795109,2550101.520000000018626,2463094.779999999795109,10112436.919999998062849
20140113,2641665.930000000167638,2407199.599999999627471,2715743.279999999795109,2390651.199999999720603,10155260.009999997913837
20140114,2667856.270000000018626,2450775.439999999944121,2709608.399999999906868,2445325.600000000093132,10273565.709999999031425
20140115,2711903.660000000149012,2473773.799999999813735,2685068.879999999888241,2512301.739999999757856,10383048.080000000074506
20140116,2711903.660000000149012,2475791.199999999720603,2684046.399999999906868,2521186.330000000074506,10392927.589999999850988
20140117,2707141.779999999795109,2474984.240000000223517,2655928.200000000186265,2486331.400000000372529,10324385.620000001043081
20140121,2717856.009999999776483,2639200.599999999627471,2649793.319999999832362,2471979.370000000111759,10478829.300000000745058
20140122,2719046.479999999981374,2624675.319999999832362,2625253.799999999813735,2455577.049999999813735,10424552.649999998509884
20140123,2685713.319999999832362,2569802.040000000037253,2638034.799999999813735,2464461.640000000130385,10358011.799999998882413
20140124,2642856.399999999906868,2494351.279999999795109,2657461.919999999925494,2515718.890000000130385,10310388.490000000223517
20140127,2619047.000000000000000,2476598.160000000149012,2685580.120000000111759,2462411.350000000093132,10243636.630000000819564
20140128,2589285.250000000000000,2474177.279999999795109,2702962.279999999795109,2478813.670000000391155,10245238.479999998584390
20140129,2577380.549999999813735,2570205.520000000018626,2669220.439999999944121,2505467.439999999944121,10322273.949999999254942
20140130,2616666.060000000055879,2603694.359999999869615,2735681.639999999664724,2519136.040000000037253,10475178.099999999627471
