訓練日期,20130703 - 20131003
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11574995.669999999925494
真實報酬,1574995.669999999925494

夏普值報酬,0.148799567000000
夏普值風險,0.043749479610161
夏普值,3.401173415681970

預期報酬,27364.052286873418780
風險,126816.975622236190247
趨勢值,0.215775941293426
找到最佳解世代,1514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](7),DD[7](1),NKE[19](8),
Stock#,AAPL[0](3),BA[2](7),DD[7](1),NKE[19](8),
張數,41820,24637,54112,79846,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.399999999906868,83.609999999869615,25.599999999627471,21.740000000223517,
20130703,2513800.600000000093132,2534984.540000000037253,2498917.759999999776483,2509581.520000000018626,10057284.419999999925494
20130705,2493727.000000000000000,2567259.009999999776483,2518939.199999999254942,2540721.460000000428408,10120646.669999999925494
20130708,2479508.199999999720603,2571447.299999999813735,2549783.039999999571592,2543915.300000000279397,10144653.839999999850988
20130709,2523419.200000000186265,2579084.770000000018626,2621752.000000000000000,2552698.360000000335276,10276954.330000001937151
20130710,2513382.399999999906868,2599287.109999999869615,2603895.039999999571592,2539124.540000000502914,10255689.089999999850988
20130711,2552693.199999999720603,2633286.169999999925494,2635280.000000000000000,2543915.300000000279397,10365174.669999999925494
20130712,2548093.000000000000000,2509854.799999999813735,2629327.679999999701977,2542318.380000000353903,10229593.859999999403954
20130715,2553529.600000000093132,2603229.029999999795109,2650972.479999999515712,2529543.020000000018626,10337274.129999998956919
20130716,2570257.600000000093132,2567998.120000000111759,2617964.159999999683350,2503193.840000000316650,10259413.720000000670552
20130717,2570675.799999999813735,2581794.839999999850988,2676405.119999999646097,2528744.560000000521541,10357620.320000000298023
20130718,2579458.000000000000000,2651763.919999999925494,2665041.599999999627471,2527946.100000000093132,10424209.619999999180436
20130719,2538892.600000000093132,2635257.129999999888241,2671535.039999999571592,2529543.020000000018626,10375227.789999999105930
20130722,2546838.399999999906868,2632793.429999999701977,2665582.719999999739230,2527147.640000000130385,10372362.189999999478459
20130723,2503345.600000000093132,2655705.839999999850988,2662336.000000000000000,2523155.340000000316650,10344542.779999999329448
20130724,2631733.000000000000000,2635010.759999999776483,2648808.000000000000000,2500798.460000000428408,10416350.220000000670552
20130725,2619605.199999999720603,2628851.509999999776483,2696426.559999999590218,2495209.240000000223517,10440092.509999997913837
20130726,2634660.399999999906868,2601750.809999999590218,2674240.639999999664724,2496806.160000000149012,10407458.009999997913837
20130729,2675225.799999999813735,2582287.580000000074506,2696967.679999999701977,2503992.300000000279397,10458473.359999999403954
20130730,2708263.600000000093132,2604953.620000000111759,2701837.759999999776483,2509581.520000000018626,10524636.500000000000000
20130731,2703663.400000000372529,2589432.309999999590218,2700214.399999999441206,2511976.900000000372529,10505287.009999999776483
20130801,2728337.199999999720603,2628851.509999999776483,2727811.519999999552965,2634141.280000000260770,10719141.509999997913837
20130802,2763466.000000000000000,2658415.910000000149012,2791122.559999999590218,2646916.640000000130385,10859921.109999999403954
20130805,2804449.600000000093132,2648561.109999999869615,2811144.000000000000000,2650908.940000000409782,10915063.650000000372529
20130806,2779357.599999999627471,2637228.089999999850988,2778676.799999999813735,2656498.160000000614673,10851760.650000000372529
20130807,2778103.000000000000000,2621953.149999999906868,2796533.759999999776483,2620567.460000000428408,10817157.370000001043081
20130808,2754265.600000000093132,2607663.689999999944121,2844152.319999999832362,2637335.120000000111759,10843416.730000000447035
20130809,2714954.799999999813735,2595098.819999999832362,2931272.639999999664724,2647715.100000000093132,10889041.359999999403954
20130812,2792321.799999999813735,2568244.489999999757856,2887983.039999999571592,2655699.700000000186265,10904249.029999997466803
20130813,2924891.199999999720603,2617272.120000000111759,2918826.879999999422580,2627753.600000000093132,11088743.799999998882413
20130814,2978002.599999999627471,2566273.529999999795109,2909086.719999999739230,2568667.560000000521541,11022030.409999998286366
20130815,2974656.999999999534339,2531042.620000000111759,2863091.519999999552965,2535132.240000000223517,10903923.379999998956919
20130816,3001003.600000000093132,2549274.000000000000000,2842528.959999999497086,2541519.919999999925494,10934326.479999998584390
20130819,3033205.000000000000000,2580070.250000000000000,2822507.519999999552965,2583039.840000000316650,11018822.609999999403954
20130820,2993476.000000000000000,2577852.919999999925494,2847399.039999999571592,2580644.460000000428408,10999372.419999999925494
20130821,3001421.799999999813735,2560114.279999999795109,2862009.279999999795109,2560682.960000000428408,10984228.320000000298023
20130822,3004767.399999999441206,2590417.790000000037253,2865797.119999999646097,2589427.520000000018626,11050409.829999998211861
20130823,2993057.799999999813735,2598794.370000000111759,2985384.639999999664724,2563078.340000000316650,11140315.149999998509884
20130826,3004767.399999999441206,2600026.219999999739230,2978350.079999999608845,2551899.900000000372529,11135043.599999999627471
20130827,2919036.399999999906868,2542868.379999999888241,2894476.479999999515712,2507984.600000000093132,10864365.859999999403954
20130828,2932836.999999999534339,2544346.599999999627471,2885818.559999999590218,2530341.480000000447035,10893343.640000000596046
20130829,2937437.199999999720603,2585244.020000000018626,2891229.759999999776483,2534333.780000000260770,10948244.760000001639128
20130830,2910672.399999999441206,2560360.649999999906868,2882030.719999999739230,2507984.600000000093132,10861048.369999999180436
20130903,2919036.399999999906868,2587214.979999999981374,2885277.439999999478459,2567070.640000000130385,10958599.460000000894070
20130904,2979257.199999999720603,2620721.299999999813735,2911251.199999999254942,2600605.960000000428408,11111835.660000000149012
20130905,2958765.399999999906868,2627619.660000000149012,2959952.000000000000000,2610187.479999999981374,11156524.540000000968575
20130906,2976329.799999999813735,2613330.199999999720603,2971315.519999999552965,2594218.280000000260770,11155193.800000000745058
20130909,3024004.600000000093132,2640923.639999999664724,2990795.839999999850988,2610985.940000000409782,11266710.019999999552965
20130910,2955001.599999999627471,2665067.899999999906868,3081162.879999999422580,2667676.600000000093132,11368908.979999998584390
20130911,2794412.799999999813735,2691183.120000000111759,3070881.599999999627471,2698816.540000000037253,11255294.059999998658895
20130912,2824105.000000000000000,2705226.209999999962747,2994583.679999999701977,2717979.580000000074506,11241894.470000000670552
20130913,2777266.599999999627471,2742920.819999999832362,3072504.959999999497086,2711591.900000000372529,11304284.279999999329448
20130916,2689026.399999999906868,2849845.399999999906868,3067093.759999999776483,2722770.340000000316650,11328735.899999998509884
20130917,2720391.399999999906868,2885322.679999999701977,3060059.199999999254942,2727561.100000000093132,11393334.379999998956919
20130918,2776011.999999999534339,2917104.410000000149012,3148802.879999999422580,2773871.780000000260770,11615791.070000000298023
20130919,2821595.799999999813735,2932872.089999999850988,3129322.559999999590218,2774670.240000000223517,11658460.689999999478459
20130920,2792321.799999999813735,2873496.919999999925494,3059518.079999999608845,2769879.479999999981374,11495216.279999999329448
20130923,2931164.200000000186265,2895177.479999999981374,3023804.159999999683350,2753910.280000000260770,11604056.120000001043081
20130924,2921963.800000000279397,2931886.609999999869615,3014064.000000000000000,2772274.860000000335276,11640189.269999999552965
20130925,2876798.200000000186265,2919814.479999999981374,3071422.719999999739230,2751514.900000000372529,11619550.299999998882413
20130926,2904817.599999999627471,2941248.669999999925494,3081704.000000000000000,2808205.560000000521541,11735975.830000000074506
20130927,2883907.599999999627471,2925480.989999999757856,3007029.439999999478459,2939951.460000000428408,11756369.490000000223517
20130930,2848360.600000000093132,2894931.109999999869615,2959410.879999999422580,2900028.460000000428408,11602731.050000000745058
20131001,2915272.599999999627471,2901090.359999999869615,2952376.319999999832362,2891245.400000000372529,11659984.679999999701977
20131002,2924891.199999999720603,2903307.689999999944121,2982137.919999999459833,2870485.440000000409782,11680822.250000000000000
20131003,2888089.600000000093132,2839251.489999999757856,2987549.119999999646097,2860105.460000000428408,11574995.669999999925494
