訓練日期,20111228 - 20120330
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12605290.549999998882413
真實報酬,2605290.549999998882413

夏普值報酬,0.251829055000000
夏普值風險,0.069933761882284
夏普值,3.600965373833211

預期報酬,41140.059406822190795
風險,91151.176483580857166
趨勢值,0.451338764829138
找到最佳解世代,2224
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](2),GS[8](7),HD[9](1),IBM[10](11),JPM[13](4),MSFT[18](6),UNH[23](16),V[25](15),
Stock#,AAPL[0](2),GS[8](7),HD[9](1),IBM[10](11),JPM[13](4),MSFT[18](6),UNH[23](16),V[25](15),
張數,21522,13601,29606,6758,37844,48003,24342,49058,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,2.239999999990687,68.099999999860302,34.679999999934807,107.900000000139698,12.679999999934807,1.880000000121072,38.300000000046566,2.159999999916181,
20111228,1237947.680000000167638,1225790.219999999972060,1229571.859999999869615,1243512.320000000298023,1235619.279999999795109,1239439.340000000083819,1234421.120000000111759,1235282.599999999860302,9881584.419999999925494
20111229,1245480.379999999888241,1237895.109999999869615,1243782.739999999990687,1258312.340000000083819,1264759.159999999916181,1249039.940000000176951,1245861.860000000102445,1265207.979999999981374,10010339.509999999776483
20111230,1245265.159999999916181,1230006.530000000027940,1244670.919999999925494,1242768.940000000176951,1258325.679999999934807,1246159.760000000242144,1233690.860000000102445,1245094.199999999953434,9945982.049999998882413
20120103,1264419.739999999990687,1297059.459999999962747,1247631.520000000018626,1259123.300000000279397,1323795.799999999813735,1285042.190000000176951,1253407.880000000121072,1263245.659999999916181,10193725.550000000745058
20120104,1271091.560000000055879,1288626.839999999850988,1265395.119999999878928,1253987.219999999972060,1322660.479999999981374,1315284.080000000074506,1271664.380000000121072,1240678.979999999981374,10229388.660000000149012
20120105,1285296.080000000074506,1286450.679999999934807,1275757.219999999972060,1248040.180000000167638,1350286.599999999860302,1328724.920000000158325,1280184.080000000074506,1250000.000000000000000,10304739.759999999776483
20120106,1298639.719999999972060,1270673.519999999785796,1279013.880000000121072,1233713.219999999972060,1338176.520000000018626,1349366.210000000195578,1284809.060000000055879,1235282.599999999860302,10289674.729999998584390
20120109,1296702.739999999990687,1287946.789999999804422,1279902.059999999823049,1227293.120000000111759,1335905.879999999888241,1331605.100000000093132,1283348.540000000037253,1225471.000000000000000,10268175.230000000447035
20120110,1301222.360000000102445,1337454.429999999934807,1288783.859999999869615,1225400.880000000121072,1364288.879999999888241,1336405.400000000139698,1280914.340000000083819,1223999.259999999776483,10358469.410000000149012
20120111,1299070.159999999916181,1356903.859999999869615,1286711.439999999944121,1232226.460000000195578,1387373.719999999739230,1330645.040000000037253,1290407.719999999972060,1215659.399999999906868,10398997.800000000745058
20120112,1295626.640000000130385,1376625.309999999823049,1284639.020000000018626,1220264.800000000279397,1394564.080000000074506,1344085.880000000121072,1286999.840000000083819,1243131.879999999888241,10445937.449999999254942
20120113,1290676.580000000074506,1346023.059999999823049,1288191.739999999990687,1210871.180000000167638,1359369.159999999916181,1356086.630000000121072,1282861.700000000186265,1235773.179999999934807,10369853.230000000447035
20120117,1305741.979999999981374,1328613.780000000027940,1295001.119999999878928,1216547.900000000139698,1321146.719999999739230,1356566.660000000149012,1304039.239999999990687,1257358.699999999953434,10385016.099999999627471
20120118,1319300.839999999850988,1418788.409999999916181,1328751.959999999962747,1223778.960000000195578,1382832.439999999944121,1355126.570000000065193,1313045.780000000027940,1273057.259999999776483,10614682.219999998807907
20120119,1315211.659999999916181,1464623.780000000027940,1344443.139999999897555,1220062.060000000288710,1397591.599999999860302,1349846.240000000223517,1273611.739999999990687,1255396.379999999888241,10620786.600000001490116
20120120,1292183.119999999878928,1479040.839999999850988,1317797.739999999990687,1274126.060000000288710,1413864.520000000018626,1426171.010000000242144,1272394.640000000130385,1233810.859999999869615,10709388.790000000968575
20120123,1314135.560000000055879,1471560.289999999804422,1328751.959999999962747,1283992.739999999990687,1425217.719999999739230,1427131.070000000065193,1276289.360000000102445,1221546.359999999869615,10748625.059999998658895
20120124,1292613.560000000055879,1480808.969999999972060,1331120.439999999944121,1297170.840000000083819,1425217.719999999739230,1408409.900000000139698,1249513.159999999916181,1238716.659999999916181,10723571.250000000000000
20120125,1373321.060000000055879,1472648.369999999878928,1340002.239999999990687,1295819.239999999990687,1422947.080000000074506,1418970.560000000055879,1255355.239999999990687,1233320.280000000027940,10812384.070000000298023
20120126,1367079.680000000167638,1476592.659999999916181,1330824.380000000121072,1290750.739999999990687,1418784.239999999990687,1416090.380000000121072,1225658.000000000000000,1237244.919999999925494,10763025.000000000000000
20120127,1375258.040000000037253,1520251.869999999878928,1328455.899999999906868,1287236.580000000307336,1408187.919999999925494,1403129.570000000065193,1241967.140000000130385,1239207.239999999990687,10803694.260000001639128
20120130,1392906.080000000074506,1492505.829999999841675,1325495.300000000046566,1301022.900000000139698,1400619.119999999878928,1421370.710000000195578,1243184.239999999990687,1224980.419999999925494,10802084.599999999627471
20120131,1403451.859999999869615,1516171.569999999832362,1314245.020000000018626,1301698.700000000186265,1411593.879999999888241,1417530.470000000204891,1260710.479999999981374,1234301.439999999944121,10859703.419999999925494
20120201,1402590.979999999981374,1543101.549999999813735,1316613.500000000000000,1301833.860000000102445,1422947.080000000074506,1434811.550000000046566,1296493.219999999972060,1257358.699999999953434,10975750.439999999478459
20120202,1399362.679999999934807,1542285.489999999757856,1316317.439999999944121,1294467.640000000130385,1421054.879999999888241,1437691.729999999981374,1278966.979999999981374,1301020.319999999832362,10991167.160000000149012
