訓練日期,20160915 - 20161215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11686827.000000000000000
真實報酬,1686827.000000000000000

夏普值報酬,0.159982700000000
夏普值風險,0.046250201784243
夏普值,3.459070313818687

預期報酬,24299.313445150259213
風險,109284.013233896650490
趨勢值,0.222350119894877
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CVX[5](2),MSFT[18](3),
Stock#,BA[2](1),CVX[5](2),MSFT[18](3),
張數,26108,33868,59248,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,124.640000000130385,44.439999999944121,40.520000000018626,
20160915,3335943.799999999813735,3369910.439999999944121,3388433.639999999664724,10094288.879999998956919
20160916,3308008.240000000223517,3313689.560000000055879,3391988.520000000018626,10013687.320000000298023
20160919,3328372.480000000447035,3320463.160000000149012,3373029.160000000149012,10021865.800000000745058
20160920,3336465.960000000428408,3308948.040000000037253,3365919.400000000372529,10011334.400000000372529
20160921,3408785.120000000111759,3374313.279999999795109,3422205.000000000000000,10205304.400000000372529
20160922,3442986.600000000093132,3386167.080000000074506,3425759.879999999888241,10254914.559999998658895
20160923,3440636.880000000353903,3360427.399999999906868,3402653.160000000149012,10203718.440000001341105
20160926,3409046.199999999720603,3345525.479999999981374,3371251.719999999739230,10125824.399999998509884
20160927,3428627.199999999720603,3352299.080000000074506,3433462.120000000111759,10214389.399999998509884
20160928,3452385.479999999981374,3459660.640000000130385,3438201.959999999962747,10350249.080000000074506
20160929,3421055.880000000353903,3429856.799999999813735,3400875.719999999739230,10251789.399999998509884
20160930,3439592.560000000521541,3485739.000000000000000,3412725.320000000298023,10338057.880000000819564
20161003,3456301.680000000167638,3469821.040000000037253,3402060.680000000167638,10328184.400000000372529
20161004,3452907.640000000130385,3429856.799999999813735,3391396.040000000037253,10274161.480000000447035
20161005,3515827.919999999925494,3462370.080000000074506,3415095.240000000223517,10393294.240000000223517
20161006,3509562.000000000000000,3460676.680000000167638,3421020.040000000037253,10391259.719999998807907
20161007,3494680.439999999944121,3463724.799999999813735,3424574.919999999925494,10382981.160000000149012
20161010,3546635.360000000335276,3521639.080000000074506,3438794.439999999944121,10507069.880000000819564
20161011,3491808.560000000521541,3489803.160000000149012,3388433.639999999664724,10370046.359999999403954
20161012,3476665.919999999925494,3459660.640000000130385,3383693.799999999813735,10320021.359999999403954
20161013,3482409.680000000167638,3413600.160000000149012,3372436.680000000167638,10268447.519999999552965
20161014,3485542.640000000130385,3423421.879999999888241,3402060.680000000167638,10311026.199999999254942
20161017,3498596.640000000130385,3432904.919999999925494,3390211.080000000074506,10321713.640000000596046
20161018,3527315.439999999944121,3447468.160000000149012,3416280.199999999720603,10391064.799999998882413
20161019,3555512.080000000540167,3463724.799999999813735,3408577.959999999962747,10427815.839999999850988
20161020,3546635.360000000335276,3450177.600000000093132,3391988.520000000018626,10388802.480000000447035
20161021,3541152.680000000167638,3430872.839999999850988,3534776.199999999720603,10506802.719999998807907
20161024,3588669.239999999757856,3409197.319999999832362,3614168.520000000018626,10612036.080000000074506
20161025,3629658.800000000279397,3412922.799999999813735,3613576.040000000037253,10656158.640000000596046
20161026,3799882.959999999962747,3427147.359999999869615,3592246.760000000242144,10819278.080000000074506
20161027,3741662.120000000111759,3384135.000000000000000,3560845.320000000298023,10686643.440000001341105
20161028,3733829.719999999739230,3516220.199999999720603,3547218.279999999795109,10797269.199999999254942
