訓練日期,20140708 - 20141007
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10918186.560000000521541
真實報酬,918186.560000000521541

夏普值報酬,0.083118656000000
夏普值風險,0.033580927617450
夏普值,2.475174508187411

預期報酬,16778.930107190517447
風險,119770.358415070208139
趨勢值,0.140092509776436
找到最佳解世代,2586
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](1),HD[9](3),INTC[11](4),MSFT[18](2),NKE[19](11),PG[21](5),
Stock#,GS[8](1),HD[9](3),INTC[11](4),MSFT[18](2),NKE[19](11),PG[21](5),
張數,9933,20469,53711,39691,42376,20783,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,107.260000000009313,80.020000000018626,13.669999999925494,40.909999999916181,17.920000000158325,77.229999999981374,
20140708,1638158.290000000037253,1653156.460000000195578,1653775.359999999869615,1658330.889999999897555,1645901.760000000242144,1674355.709999999962747,9923682.469999998807907
20140709,1635774.369999999878928,1652542.390000000130385,1659146.459999999962747,1653964.879999999888241,1667513.520000000251457,1697424.840000000083819,9966370.460000000894070
20140710,1623358.119999999878928,1625318.620000000111759,1679019.530000000027940,1654758.699999999720603,1642087.920000000158325,1696177.859999999869615,9920724.750000000000000
20140711,1637065.660000000149012,1629617.110000000102445,1678482.419999999925494,1670635.100000000093132,1637850.320000000065193,1686825.510000000009313,9940480.120000001043081
20140714,1658918.260000000009313,1626546.759999999776483,1691373.059999999823049,1672619.649999999906868,1651834.400000000139698,1690150.789999999804422,9991446.919999998062849
20140715,1680472.869999999878928,1634734.360000000102445,1703189.479999999981374,1684923.860000000102445,1653529.440000000176951,1688903.810000000055879,10045757.820000000298023
20140716,1693385.770000000018626,1630640.560000000055879,1861099.819999999832362,1749620.189999999944121,1629798.880000000121072,1682253.250000000000000,10246802.470000000670552
20140717,1690107.879999999888241,1628388.969999999972060,1810074.370000000111759,1767481.139999999897555,1621747.440000000176951,1671030.430000000167638,10188834.229999998584390
20140718,1703318.770000000018626,1639237.540000000037253,1810074.370000000111759,1773831.699999999720603,1642511.680000000167638,1674147.879999999888241,10243125.939999997615814
20140721,1705802.020000000018626,1631664.009999999776483,1829410.330000000074506,1779785.350000000093132,1627680.080000000074506,1668536.469999999972060,10242882.259999999776483
20140722,1738580.920000000158325,1648653.280000000260770,1868619.359999999869615,1779388.439999999944121,1632341.440000000176951,1664795.529999999795109,10332382.969999998807907
20140723,1756460.319999999832362,1658478.399999999906868,1853043.169999999925494,1780976.079999999841675,1639545.360000000102445,1662509.399999999906868,10351016.730000000447035
20140724,1750897.839999999850988,1662162.820000000065193,1839615.419999999925494,1762321.309999999823049,1665394.719999999972060,1668120.810000000055879,10348516.919999999925494
20140725,1742355.459999999962747,1658683.090000000083819,1839615.419999999925494,1766290.409999999916181,1646749.280000000027940,1653572.709999999962747,10307270.370000001043081
20140728,1747818.609999999869615,1659501.849999999860302,1838541.199999999720603,1745254.179999999934807,1661157.120000000344589,1647337.810000000055879,10299614.770000001415610
